,year,title,copyright,AU,SO
1754,2015,Life cycle assessment of hydrogenated biodiesel production from waste cooking oil using the catalytic cracking and hydrogenation method, Elsevier Ltd. All rights reserved.,"Yano, J|Aoki, T|Nakamura, K|Yamada, K|Sakai, S",WASTE MANAGEMENT
1758,2012,Stochastic variability of effective properties via the generalized variability response function, Elsevier Ltd. All rights reserved.,"Teferra, K|Arwade, SR|Deodatis, G",COMPUTERS & STRUCTURES
1761,2010,FORMATION OF A STRATIFORM Zn-Pb-Ag SEDEX DEPOSIT - NUMERICAL SIMULATION,,"Radulescu, M",CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES
1786,2014,A Bayesian hierarchical model for maximizing the vascular adhesion of nanoparticles,,"Fronczyk, K|Guindani, M|Vannucci, M|Palange, A|Decuzzi, P",COMPUTATIONAL MECHANICS
1792,2011,Dynamics analysis and characteristics of the 8-PSS flexible redundant parallel manipulator, Elsevier Ltd. All rights reserved.,"Zhao, YJ|Gao, F|Dong, XJ|Zhao, XC",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING
1794,2005,A Newton method using exact jacobians for solving fluid-structure coupling, Elsevier Ltd. All rights reserved.,"Fernandez, MA|Moubachir, M",COMPUTERS & STRUCTURES
1799,2012,Stochastic Model for Damage Accumulation in Rubble-Mound Breakwaters Based on Compatibility Conditions and the Central Limit Theorem, (C) 2012 American Society of Civil Engineers.,"Castillo, C|Castillo, E|Fernandez-Canteli, A|Molina, R|Gomez, R",JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING-ASCE
1802,2009,SENSITIVITY ANALYSIS FOR HIDDEN VARIABLE FRACTAL INTERPOLATION FUNCTIONS AND THEIR MOMENTS,,"Wang, HY",FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY
1803,2013,"Economic viability analysis of a construction and demolition waste recycling plant in Portugal - part I: location, materials, technology and economic analysis", Elsevier Ltd. All rights reserved.,"Coelho, A|de Brito, J",JOURNAL OF CLEANER PRODUCTION
1805,2009,Estimation of Biodegradation and Liquid-Solid Partitioning Coefficients for Selected PAHs in Municipal Wastewater Treatment,,"Parker, WJ|Monteith, HD|Pileggi, V",WATER QUALITY RESEARCH JOURNAL OF CANADA
1836,2003,Parametric optimization of complex systems using a multi-domain FRF-based substructuring method, Elsevier Ltd. All rights reserved.,"Lee, DH|Hwang, WS",COMPUTERS & STRUCTURES
1839,2004,Optimal reconstruction of historical water supply to a distribution system: A. Methodology,,"Aral, MM|Guan, J|Maslia, ML|Sautner, JB|Gillig, RE|Reyes, JJ|Williams, RC",JOURNAL OF WATER AND HEALTH
1854,2010,Urban solid waste collection system using mathematical modelling and tools of geographic information systems,,"Arribas, CA|Blazquez, CA|Lamas, A",WASTE MANAGEMENT & RESEARCH
1865,2008,THE EFFECT OF ENVIRONMENTAL CONDITIONS ON ERGOSTEROL AND TRICHOTHECENE CONTENT OF NATURALLY CONTAMINATED OAT GRAIN,,"Perkowski, J|Basinski, T|Wiwart, M|Kostecki, M|Busko, M|Matysiak, A",ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE
1871,2001,Visualization methods in analysis of detailed chemical kinetics modelling, (C) 2001 Elsevier Science Ltd. All rights reserved.,"Bendtsen, AB|Glarborg, P|Dam-Johansen, K",COMPUTERS & CHEMISTRY
1872,2005,El Nino southern-oscillation prediction using southern oscillation index and Nino3 as onset indicators: Application of artificial neural networks,,"Baawain, MS|Nour, MH|El-Din, AG|El-Din, MG",JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE
1881,2013,Energy and economic assessment of prune production in Tehran province of Iran, Elsevier Ltd. All rights reserved.,"Tabatabaie, SMH|Rafiee, S|Keyhani, A|Ebrahimi, A",JOURNAL OF CLEANER PRODUCTION
1884,2008,Estimating the contribution of precursor compounds in consumer exposure to PFOS and PFOA, Elsevier Ltd. All rights reserved.,"Vestergren, R|Cousins, IT|Trudel, D|Wormuth, M|Scheringer, M",CHEMOSPHERE
1887,2013,Environmental performance of municipal solid waste strategies based on LCA method: a case study of Macau, Elsevier Ltd. All rights reserved.,"Song, QB|Wang, ZS|Li, JH",JOURNAL OF CLEANER PRODUCTION
1891,2006,Systems Biology Toolbox for MATLAB: a computational platform for research in systems biology,,"Schmidt, H|Jirstrand, M",BIOINFORMATICS
1894,2017,Hong Kong's greenhouse gas emissions from the waste sector and its projected changes by integrated waste management facilities, Elsevier Ltd. All rights reserved.,"Dong, YH|An, AK|Yan, YS|Yi, S",JOURNAL OF CLEANER PRODUCTION
1900,2005,An integrated methodology for recording uncertainties about environmental data,,"Brown, JD|Heuvelink, GBM|Refsgaard, JC",WATER SCIENCE AND TECHNOLOGY
1903,2006,Evaluation of solid waste management strategies in the Taipei metropolitan area of Taiwan,,"Lin, MD|Wang, CC|Lin, CF",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
1907,2013,A general material perturbation method using fixed mesh for stress sensitivity analysis and structural shape optimization, Elsevier Ltd. All rights reserved.,"Wang, D|Zhang, WH",COMPUTERS & STRUCTURES
1908,2016,Carbon footprint of a pale lager packed in different formats: assessment and sensitivity analysis based on transparent data, Elsevier Ltd. All rights reserved.,"Cimini, A|Moresi, M",JOURNAL OF CLEANER PRODUCTION
1913,2015,Comparative life cycle assessment of three representative feed cereals production in the Po Valley (Italy), Elsevier Ltd. All rights reserved.,"Noya, I|Gonzalez-Garcia, S|Bacenetti, J|Arroja, L|Moreira, MT",JOURNAL OF CLEANER PRODUCTION
1919,2003,A Sensitivity Analysis of Electrical Resistivity Tomography Array Types Using Analytical Element Modeling,,"Furman, A|Ferre, TPA|Warrick, AW",VADOSE ZONE JOURNAL
1921,2014,Innovative membrane filtration system for micropollutant removal from drinking water - prospective environmental LCA and its integration in business decisions, Elsevier Ltd. All rights reserved.,"Manda, BMK|Worrell, E|Patel, MK",JOURNAL OF CLEANER PRODUCTION
1923,2012,On the use of possibility theory in uncertainty analysis of life cycle inventory,,"Andre, JCS|Lopes, DR",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1926,2011,"INFLUENCE OF CROP ROTATION, LIMING AND GREEN MANURING ON SOIL PROPERTIES AND YIELDS",,"Spoljar, A|Kisic, I|Birkas, M|Gunjaca, J|Kvaternjak, I",JOURNAL OF ENVIRONMENTAL PROTECTION AND ECOLOGY
1927,2014,Error propagation methods for LCA-a comparison,,"Heijungs, R|Lenzen, M",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
1935,2012,Life Cycle Assessment of Medium Surge Arresters in the Context of Size-Reduction Design,,"Hassanzadeh, M|Metz, R",JOURNAL OF INDUSTRIAL ECOLOGY
1963,2013,Integrated profiling of three dimensional cell culture models and 3D microscopy,,"Bilgin, CC|Kim, S|Leung, E|Chang, H|Parvin, B",BIOINFORMATICS
1966,2017,"Get in sanitation 2.0 by opportunity of rural China: Scheme, simulating application and life cycle assessment", Elsevier Ltd. All rights reserved.,"Fan, B|Hu, M|Wang, HL|Xu, MJ|Qu, B|Zhu, SK",JOURNAL OF CLEANER PRODUCTION
1970,2009,Optimization of express line performance: numerical examination and management considerations,,"Koltai, T|Kallo, N|Lakatos, L",OPTIMIZATION AND ENGINEERING
1979,2008,Evaluation of a Telemedicine-Based Service for the Follow-Up and Monitoring of Patients Treated With Oral Anticoagulant Therapy,,"Salvador, CH|Ruiz-Sanchez, A|de Mingo, MAG|Rodriguez, MC|Carrasco, MP|Sagredo, PG|Fragua, JA|Caballero-Martinez, F|Garcia-Lopez, F|Marquez-Montes, J|Monteaaudo, JL",IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE
1990,2016,A pairwise exact placement algorithm for the irregular nesting problem,,"Sato, AK|Martins, TD|Tsuzuki, MDG",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING
1996,2003,A conceptual model for Cryptosporidium transport in watersheds,,"Park, CH|Huck, PM",WATER QUALITY RESEARCH JOURNAL OF CANADA
2006,2013,"Material Flows and Energy Analysis of Glass Containers Discarded in New Jersey, USA",,"Tsai, CL|Krogmann, U",JOURNAL OF INDUSTRIAL ECOLOGY
2018,2015,Critical Components of Uncertainty Communication in Life Cycle Assessments of Emerging Technologies: Nanotechnology as a Case Study,,"Gavankar, S|Anderson, S|Keller, AA",JOURNAL OF INDUSTRIAL ECOLOGY
2026,2008,A sensitivity analysis concept for life insurance with respect to a valuation basis of infinite dimension, (c) 2007 Elsevier B.V. All rights reserved.,"Christiansen, MC",INSURANCE MATHEMATICS & ECONOMICS
2027,2017,Dynamic simulation analysis of a construction and demolition waste management model under penalty and subsidy mechanisms, Elsevier Ltd. All rights reserved.,"Jia, SW|Yan, GL|Shen, AZ|Zheng, J",JOURNAL OF CLEANER PRODUCTION
2043,2013,Computation of Greeks for asset price dynamics driven by stable and tempered stable processes,,"Kawai, R|Takeuchi, A",QUANTITATIVE FINANCE
2046,2004,Improving the quality of semantic retrieval in DNA-based memories with learning,,"Neel, A|Garzon, M|Penumatsa, P","KNOWLEDGE-BASED INTELLIGENT INFORMATION AND ENGINEERING SYSTEMS, PT 1, PROCEEDINGS"
2047,2013,Substance Flow Analysis of Wastes Containing Polybrominated Diphenyl Ethers The Need for More Information and for Final Sinks,,"Vyzinkarova, D|Brunner, PH",JOURNAL OF INDUSTRIAL ECOLOGY
2063,2011,HEALTH RISK ASSESSMENT CASE STUDY OF TRACE METALS IN COLLECTED RAINWATER FOR DOMESTIC USES,,"Busset, G|Vialle, C|Montrejaud-Vignoles, M|Huau, M|Jacobs, S|Sablayrolles, C",FRESENIUS ENVIRONMENTAL BULLETIN
2080,2016,AN EVALUATION OF BLUE WATER PREDICTION IN SOUTHERN PART OF IRAN USING THE SOIL AND WATER ASSESSMENT TOOL (SWAT),,"Jajarmizadeh, M|Harun, S|Abdullah, R|Salarpour, M",ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL
2083,2013,"The determination of an optimal waste management scenario for Kampala, Uganda",,"Oyoo, R|Leemans, R|Mol, APJ",WASTE MANAGEMENT & RESEARCH
2087,2014,"Air pollutant emissions from the development, production, and processing of Marcellus Shale natural gas",,"Roy, AA|Adams, PJ|Robinson, AL",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
2108,2011,Uncertainty-based quantitative assessment of sustainability for higher education institutions, Elsevier Ltd. All rights reserved.,"Waheed, B|Khan, FI|Veitch, B|Hawboldt, K",JOURNAL OF CLEANER PRODUCTION
2111,2013,INFLUENCE OF CHROMIUM (III) AND (VI) ON THE CONCENTRATION OF MINERAL ELEMENTS IN OAT (Avena sativa L.),,"Wyszkowski, M|Radziemska, M",FRESENIUS ENVIRONMENTAL BULLETIN
2118,2003,A distributed model of solid waste anaerobic digestion: sensitivity analysis,,"Vavilin, VA|Rytov, SV|Pavlostathis, SG|Jokela, J|Rintala, J",WATER SCIENCE AND TECHNOLOGY
2132,2013,Life cycle assessment of bio-based products: a disposable diaper case study,,"Mirabella, N|Castellani, V|Sala, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2147,2011,Sensitivity analysis of Ria de Aveiro hydro-morphodynamics to the sea level rise integration period,,"Lopes, CL|Silva, PA|Rocha, A|Dias, JM",JOURNAL OF COASTAL RESEARCH
2156,2001,"Uncertainty analysis of exposure to radon released from the former Feed Materials Production Center (vol 49, pg 127, 2000)",,"Killough, GG|Schmidt, DW",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY
2166,2008,Adjoint estimation using direct transcription multipliers: compressed trapezoidal method,,"Engelsone, A|Campbell, SL",OPTIMIZATION AND ENGINEERING
2169,2005,Joint optimization for area traffic control and network flow, Elsevier Ltd. All rights reserved.,"Chiou, SW",COMPUTERS & OPERATIONS RESEARCH
2172,2012,An eco-profile of thermoplastic protein derived from blood meal Part 1: allocation issues,,"Bier, JM|Verbeek, CJR|Lay, MC",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2175,2007,Sensitivity analysis: When a little means a lot,,"O'Leary, DP",COMPUTING IN SCIENCE & ENGINEERING
2179,2017,Liquefied natural gas for the UK: a life cycle assessment,,"Tagliaferri, C|Clift, R|Lettieri, P|Chapman, C",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2183,2009,Uncertainty Analysis for a Particle Model of Granular Chute Flow,,"Fleissner, F|Haag, T|Hanss, M|Eberhard, P",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
2189,2017,Environmental assessment of green concretes for structural use, Elsevier Ltd. All rights reserved.,"Marinkovic, S|Dragas, J|Ignjatovic, I|Tosic, N",JOURNAL OF CLEANER PRODUCTION
2194,2016,3D geostatistical modelling and uncertainty analysis of clay minerals distribution in reservoir rocks,,"Ashoori, S|Abdideh, M|Alavi, A",GEOCARTO INTERNATIONAL
2199,2011,Structural reliability analysis based on random distributions with interval parameters, Elsevier Ltd. All rights reserved.,"Jiang, C|Li, WX|Han, X|Liu, LX|Le, PH",COMPUTERS & STRUCTURES
2206,2017,An uncertainty management framework for industrial applications,,"Zyngier, D",OPTIMIZATION AND ENGINEERING
2212,2008,RESPONSE OF BACTERIA TO SOIL CONTAMINATION WITH HEAVY METALS,,"Wyszkowska, J|Kucharski, J|Borowik, A|Boros, E",JOURNAL OF ELEMENTOLOGY
2217,2013,Sensitivity Analysis of METRIC-Based Evapotranspiration Algorithm,,"Mokhtari, MH|Ahmad, B|Hoveidi, H|Busu, I",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH
2221,2014,Carbon balance impacts of land use changes related to the life cycle of Malaysian palm oil-derived biodiesel,,"Hansen, SB|Olsen, SI|Ujang, Z",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2224,2002,Profitability and nutrient losses of alternative manure application strategies with conservation tillage,,"Wang, E|Harman, WL|Williams, JR|Sweeten, JM",JOURNAL OF SOIL AND WATER CONSERVATION
2228,2013,Life cycle assessment of a waste lubricant oil management system,,"Pires, A|Martinho, G",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2230,2000,Evolutionary structural optimization for stress minimization problems by discrete thickness design, (C) 2000 Elsevier Science Ltd. All rights reserved.,"Li, Q|Steven, GP|Xie, YM",COMPUTERS & STRUCTURES
2232,2011,THERMAL ANALYSIS AND DESIGN UNDER UNCERTAINTIES OF AIRCRAFT STRUCTURES,,"Diaz, J|Hernandez, S|Romera, LE|Fontan, AN",REVISTA INTERNACIONAL DE METODOS NUMERICOS PARA CALCULO Y DISENO EN INGENIERIA
2233,2013,Ecodesign requirements for televisions-is energy consumption in the use phase the only relevant requirement?,,"Huulgaard, RD|Dalgaard, R|Merciai, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2250,2015,Modeling of an Optimized Electrostimulative Hip Revision System Under Consideration of Uncertainty in the Conductivity of Bone Tissue,,"Schmidt, C|Zimmermann, U|van Rienen, U",IEEE JOURNAL OF BIOMEDICAL AND HEALTH INFORMATICS
2256,2006,"Evaluation of environmental impacts from municipal solid waste management in the municipality of Aarhus, Denmark (EASEWASTE)",,"Kirkeby, JT|Birgisdottir, H|Hansen, TL|Christensen, TH|Bhander, GS|Hauschild, M",WASTE MANAGEMENT & RESEARCH
2267,2003,About finite element sensitivity analysis of elastoplastic systems at large strains, Elsevier Ltd. All rights reserved.,"Rojc, T|Stok, B",COMPUTERS & STRUCTURES
2279,2016,Adaptation of the Product Structure-based Integrated Life cycle Analysis (PSILA) technique for carbon footprint modelling and analysis of closed-loop production systems, Elsevier Ltd. All rights reserved.,"Low, JSC|Tjandra, TB|Lu, WF|Lee, HM",JOURNAL OF CLEANER PRODUCTION
2285,2014,Communal rainwater tank systems design and economies of scale, Elsevier Ltd. All rights reserved.,"Gurung, TR|Sharma, A",JOURNAL OF CLEANER PRODUCTION
2290,2011,Sensitivity analysis and optimization of vehicle-bridge systems based on combined PEM-PIM strategy, Elsevier Ltd. All rights reserved.,"Xu, WT|Zhang, YH|Lin, JH|Kennedy, D|Williams, FW",COMPUTERS & STRUCTURES
2292,2017,In quest of environmental hotspots of sewage sludge treatment combining anaerobic digestion and mechanical dewatering: A life cycle assessment approach, Elsevier Ltd. All rights reserved.,"Gourdet, C|Girault, R|Berthault, S|Richard, M|Tosoni, J|Pradel, M",JOURNAL OF CLEANER PRODUCTION
2296,2012,Quantifying uncertainty in LCA-modelling of waste management systems, Elsevier Ltd. All rights reserved.,"Clavreul, J|Guyonnet, D|Christensen, TH",WASTE MANAGEMENT
2306,2004,Article: Collating texts using progressive multiple alignment,,"Spencer, M|Howe, CJ",COMPUTERS AND THE HUMANITIES
2322,2010,A joint diagonalisation approach for linear stochastic systems, Crown Copyright (C) 2010 Published by Elsevier Ltd. All rights reserved.,"Li, CF|Adhikari, S|Cen, S|Feng, YT|Owen, DRJ",COMPUTERS & STRUCTURES
2340,2014,"Benzene and hydrocarbons profile from the soil light fraction of the environmental liability of the ""18 de marzo"" ex-refinery, Mexico City",,"Garcia Villanueva, LA|Fernandez-Villagomez, G",REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL
2348,2016,"Cradle-to-gate Life Cycle Assessment of traditional gravel ballasted, white reflective, and vegetative roofs: A Lebanese case study", Elsevier Ltd. All rights reserved.,"El Bachawati, M|Manneh, R|Belarbi, R|Dandres, T|Nassab, C|El Zakhem, H",JOURNAL OF CLEANER PRODUCTION
2368,2015,"Phytoremediating coastal saline soils with oats: accumulation and distribution of sodium, potassium, and chloride ions in plant organs", Elsevier Ltd. All rights reserved.,"Han, LP|Wang, WH|Eneji, AE|Liu, JT",JOURNAL OF CLEANER PRODUCTION
2373,2017,"Food Chain Evaluator, a tool for analyzing the impacts and designing scenarios for the institutional catering in Lombardy (Italy)", Elsevier Ltd. All rights reserved.,"Caputo, P|Clementi, M|Ducoli, C|Corsi, S|Scudo, G",JOURNAL OF CLEANER PRODUCTION
2376,2009,Predicting physical properties of emerging compounds with limited physical and chemical data: QSAR model uncertainty and applicability to military munitions, Published by Elsevier Ltd.,"Bennett, ER|Clausen, J|Linkov, E|Linkov, I",CHEMOSPHERE
2377,2013,Triangular labyrinth side weirs with one and two cycles,,"Borghei, SM|Nekooie, MA|Sadeghian, H|Ghazizadeh, MRJ",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT
2378,2016,A Novel Approach to Characterize Data Uncertainty in Material Flow Analysis and its Application to Plastics Flows in Austria,,"Laner, D|Feketitsch, J|Rechberger, H|Fellner, J",JOURNAL OF INDUSTRIAL ECOLOGY
2379,2010,Probabilistic Assessment of Industrial Synergistic Systems,,"Hsu, YC|Rohmer, S",JOURNAL OF INDUSTRIAL ECOLOGY
2412,2010,Sensitivity analysis for the design of profile extrusion dies, Elsevier Ltd. All rights reserved.,"Sienz, J|Goublomme, A|Luege, M",COMPUTERS & STRUCTURES
2416,2016,"Appraisal of environmental profiles of pasture-based milk production: a case study of dairy farms in the Waikato region, New Zealand",,"Chobtang, J|Ledgard, SF|McLaren, SJ|Zonderland-Thomassen, M|Donaghy, DJ",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2419,2016,Capital depreciation and the underdetermination of rate of return: A unifying perspective, (C) 2016 Elsevier B.V. All rights reserved.,"Magni, CA",JOURNAL OF MATHEMATICAL ECONOMICS
2426,2017,"Emergy based sustainability evaluation for Yunnan Province, China", Elsevier Ltd. All rights reserved.,"Chen, W|Zhong, SZ|Geng, Y|Chen, YH|Cui, XW|Wu, Q|Pan, HY|Wu, R|Sun, L|Tian, X",JOURNAL OF CLEANER PRODUCTION
2435,2007,Fuzziness and randomness in investment project risk appraisal, Elsevier Ltd. All rights reserved.,"Rebiasz, B",COMPUTERS & OPERATIONS RESEARCH
2449,2016,Thermodynamic feasibility and life cycle assessment of hydrogen production via reforming of poultry fat, Elsevier Ltd. All rights reserved.,"Hajjaji, N|Houas, A|Pons, MN",JOURNAL OF CLEANER PRODUCTION
2457,2001,Modelling of a falling sludge bed reactor using AQUASIM,,"Ristow, NE|Hansford, GS",WATER SA
2462,2015,Comparing Three Life Cycle Impact Assessment Methods from an Endpoint Perspective,,"Weidema, BP",JOURNAL OF INDUSTRIAL ECOLOGY
2466,2015,Carbon footprint of milk production in Brazil: a comparative case study,,"de Leis, CM|Cherubini, E|Ruviaro, CF|da Silva, VP|Lampert, VD|Spies, A|Soares, SR",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2479,2004,Reliability-based analysis and design optimization of electrostatically actuated MEMS, Elsevier Ltd. All rights reserved.,"Allen, M|Raulli, M|Maute, K|Frangopol, DM",COMPUTERS & STRUCTURES
2488,2016,Multidirectional Gaussian Mixture Models for Nonlinear Uncertainty Propagation,,"Vittaldev, V|Russell, RP",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
2492,2014,Reducing the impact of irrigated crops on freshwater availability: the case of Brazilian yellow melons,,"de Figueiredo, MCB|de Boer, IJM|Kroeze, C|Barros, VD|de Sousa, JA|de Aragao, FAS|Gondim, RS|Potting, J",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2497,2017,Assessing the Vulnerability of Winter Maintenance Material Storage Facilities, (C) 2016 American Society of Civil Engineers.,"Holik, WA|Schneider, WH|Huang, QD",JOURNAL OF COLD REGIONS ENGINEERING
2502,2017,Experimental and modelling studies on a laboratory scale anaerobic bioreactor treating mechanically biologically treated municipal solid waste,,"Lakshmikanthan, P|Sughosh, P|White, J|Babu, GLS",WASTE MANAGEMENT & RESEARCH
2513,2012,Characterization of the olfactory impact around a wastewater treatment plant: Optimization and validation of a hydrogen sulfide determination procedure based on passive diffusion sampling,,"Colomer, FL|Espinos-Morato, H|Iglesias, EM|Perez, TG|Campos-Candel, A|Lozano, CC",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
2517,2007,Modelling of environmental impacts of solid waste landfilling within the life-cycle analysis program EASEWASTE, (c) 2006 Published by Elsevier Ltd.,"Kirkeby, JT|Birgisdottir, H|Bhander, GS|Hauschild, M|Christensen, TH",WASTE MANAGEMENT
2519,2016,Life Cycle Energy and Greenhouse Gas Emissions of Automobiles Using Aluminum in China,,"Ding, N|Gao, F|Wang, ZH|Yang, JX",JOURNAL OF INDUSTRIAL ECOLOGY
2530,2013,SPSens: a software package for stochastic parameter sensitivity analysis of biochemical reaction networks,,"Sheppard, PW|Rathinam, M|Khammash, M",BIOINFORMATICS
2531,2017,Assessing Space Heating Demandon a Regional Level: Evaluation of a Bottom-Up Model in the Scope of a Case Study,,"Froemelt, A|Hellweg, S",JOURNAL OF INDUSTRIAL ECOLOGY
2544,2010,Energy-saving policies and low-energy residential buildings: an LCA case study to support decision makers in Piedmont (Italy),,"Blengini, GA|Di Carlo, T",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2547,2014,Well-to-wheel analysis on greenhouse gas emission and energy use with natural gas in Korea,,"Choi, W|Song, HH",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2549,2015,Quantifying uncertainty for temperature maps derived from computer models, (C) 2015 Elsevier B.V. All rights reserved.,"Paci, L|Gelfand, AE|Cocchi, D",SPATIAL STATISTICS
2554,2005,Sensitivity analysis of the Pennsylvania phosphorus index for agricultural recycling of municipal biosolids,,"Brandt, RC|Elliott, HA",JOURNAL OF SOIL AND WATER CONSERVATION
2555,2017,Comparative attributional life cycle assessment of European cellulase enzyme production for use in second-generation lignocellulosic bioethanol production,,"Gilpin, GS|Andrae, ASG",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2557,2015,A social life cycle assessment model for building construction in Hong Kong,,"Dong, YH|Ng, ST",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2569,2013,An algorithm to estimate aircraft cruise black carbon emissions for use in developing a cruise emissions inventory,,"Peck, J|Oluwole, OO|Wong, HW|Miake-Lye, RC",JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION
2587,2009,Associating Colours with Musical Genres,,"Holm, J|Aaltonen, A|Siirtola, H",JOURNAL OF NEW MUSIC RESEARCH
2589,2014,"Is land use impact assessment in LCA applicable for forest biomass value chains? Findings from comparison of use of Scandinavian wood, agro-biomass and peat for energy",,"Helin, T|Holma, A|Soimakallio, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2591,2016,A NEW COMBINATIVE DISTANCE-BASED ASSESSMENT (CODAS) METHOD FOR MULTI-CRITERIA DECISION-MAKING,,"Keshavarz Ghorabaee, M|Zavadskas, EK|Turskis, Z|Antucheviciene, J",ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH
2595,2016,"A feasibility study for the locations of waste transfer stations in urban centers: a case study on the city of Nashik, India", Elsevier Ltd. All rights reserved.,"Yadav, V|Karmakar, S|Dikshit, AK|Vanjari, S",JOURNAL OF CLEANER PRODUCTION
2598,2016,Fuzzy multi-criteria-based impact category weighting in life cycle assessment, Elsevier Ltd. All rights reserved.,"Agarski, B|Budak, I|Vukelic, D|Hodolic, J",JOURNAL OF CLEANER PRODUCTION
2604,2003,Evaluation of the WAVE Model for Predicting Nitrate Leaching for Two Contrasted Soil and Climate Conditions,,"Duwig, C|Normand, B|Vauclin, M|Vachaud, G|Green, SR|Becquer, T",VADOSE ZONE JOURNAL
2606,2011,Multidisciplinary approach to the assessment of historic structures based on the case of a masonry bridge in Galicia (Spain), Elsevier Ltd. All rights reserved.,"Lubowiecka, I|Arias, P|Riveiro, B|Solla, M",COMPUTERS & STRUCTURES
2620,2016,Bayesian Solution Uncertainty Quantification for Differential Equations,,"Cockayne, J",BAYESIAN ANALYSIS
2633,2004,A new response surface methodology for reliability-based design optimization, Elsevier Ltd. All rights reserved.,"Youn, BD|Choi, KK",COMPUTERS & STRUCTURES
2641,2014,Gradient based optimal seismic retrofitting of 3D irregular buildings using multiple tuned mass dampers, Elsevier Ltd. All rights reserved.,"Daniel, Y|Lavan, O",COMPUTERS & STRUCTURES
2642,2001,Numerical modelling for temperature distribution in steel bridges," (C) 2001 Elsevier Science Ltd, All rights reserved.","Tong, M|Tham, LG|Au, FTK|Lee, PKK",COMPUTERS & STRUCTURES
2668,2014,Detecting the causes of ill-conditioning in structural finite element models, Elsevier Ltd. All rights reserved.,"Kannan, R|Hendry, S|Higham, NJ|Tisseur, F",COMPUTERS & STRUCTURES
2690,2006,Using LCA to assess eco-design in the automotive sector - Case study of a polyolefinic door panel,,"Munoz, I|Rieradevall, J|Domenech, X|Gazulla, C",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT
2694,2002,"Environmental concentrations of agricultural herbicides: 2,4-D and triallate",,"Waite, DT|Cessna, AJ|Grover, R|Kerr, LA|Snihura, AD",JOURNAL OF ENVIRONMENTAL QUALITY
2706,2004,Identification and ranking of black spots - Sensitivity analysis,,"Geurts, K|Wets, G|Brijs, T|Vanhoof, K",STATISTICAL METHODS AND SAFETY DATA ANALYSIS AND EVALUATION
2714,2016,Simulation of the transfer and fate of gamma-HCH in epikarst system, Elsevier Ltd. All rights reserved.,"Sun, YC|Liang, ZB|Xiang, XY|Lan, JC|Zhang, Q|Yuan, DX",CHEMOSPHERE
2738,2013,A Moving Kriging Interpolation Response Surface Method for Structural Reliability Analysis,,"Zhao, W|Liu, JK|Li, XY|Yang, QW|Chen, YY",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES
2745,2010,LCA comparison of container systems in municipal solid waste management, Elsevier Ltd. All rights reserved.,"Rives, J|Rieradevall, J|Gabarrell, X",WASTE MANAGEMENT
2746,2002,Combined shape and sizing optimization of truss structures,,"Wang, D|Zhang, WH|Jiang, JS",COMPUTATIONAL MECHANICS
