relevant,DOI,title,1,2,3,4,5
Yes,10.1016/j.jcp.2017.01.034,On the variational data assimilation problem solving and sensitivity analysis (2017),"We present a computing approach to solve the main computational kernel at the heart of the VarDA problem, which outperforms the technique nowadays employed by the oceanographic operative software.",We provide the sensitivity analysis of this approach and we also study its performance in terms of the accuracy gain on the computed solution.,"We consider the Variational Data Assimilation (VarDA) problem in an operational framework, namely, as it results when it is employed for the analysis of temperature and salinity variations of data collected in closed and semi closed seas.",,
Yes - PEST,10.1007/s11270-013-1677-z,Nitrous Oxide Emissions from Cropland: a Procedure for Calibrating the DayCent Biogeochemical Model Using Inverse Modelling (2013),We coupled DayCent with the parameter estimation (PEST) software for inverse modelling.,The aim of this study is to establish and demonstrate a procedure for calibration of DayCent to improve estimation of GHG emissions.,"The DayCent model was analysed and calibrated using NO flux data collected over  years at the Iowa State University Agronomy and Agricultural Engineering Research Farms, Boone, IA.",Crop year  data were used for model calibration and  data were used for validation.,The PEST software can be used for calibration through regularized inversion as well as model sensitivity and uncertainty analysis.
No (not related to environment),10.1016/j.cie.2017.10.019,Optimal design of a multi-echelon supply chain in a system thinking framework: An integrated financial-operational approach (2017),"Furthermore, a sensitivity analysis is performed on such factors as demand, return of equity rate, tax rate, production capacity and supplier capacity while the impacts of their changes on multi-objective function and satisfaction coefficient are simultaneously calculated.","For modeling and solving the mathematical model, GAMS  software and CPLEX solver are employed.","Within this framework, a comparison is primarily made between profit and each of corporate value, change in equity and economic value added two by two (in the form of traditional approach (scenario A) and new approach (scenario B)).","Besides highlighting the significance of the financial dimension and its integration with the operational dimension in gaining sustainable competitive advantage, the research results revealed that CVM- in contrast to change in equity and EVA- is much more favorable than the other objectives.","In this process, the effectiveness and efficiency of the scenario B is analyzed and assessed."
No,10.1016/j.chemolab.2012.03.018,MVC3: A MATLAB graphical interface toolbox for third-order multivariate calibration (2012),Multivariate calibration  (MVC) is a sequel of the already described first-order (MVC) and second-order (MVC) toolboxes.,"Prediction results are provided along with analytical figures of merit and standard concentration errors, as calculated by modern concepts of uncertainty propagation.",A new MATIAB graphical interface toolbox for implementing third-order multivariate calibration methodologies is discussed.,Quadrilinear decomposition techniques and latent structured models based on partial least-squares regression and residual trilinearization are included in the software.,Model development and its subsequent application to unknown samples are straightforward from the interface.
Yes - MCAT,10.1016/j.envsoft.2006.06.017,Numerical and visual evaluation of hydrological and environmental models using the Monte Carlo analysis toolbox (2007),"The MCAT contains tools for the evaluation of performance, identitiability, sensitivity, predictive uncertainty and also allows for the testing of hypotheses with respect to the model structure used.","The detailed evaluation of mathematical models and the consideration of uncertainty in the modeling of hydrological and environmental systems are of increasing importance, and are sometimes even demanded by decision makers.","In addition to research applications, the MCAT can be used as a teaching tool in courses that include the use of mathematical models.","The MCAT can be used off-line, i.e.","At the same time, the growing complexity of models to represent real-world systems makes it more and more difficult to understand model behavior, sensitivities and uncertainties."
?,10.1016/j.cma.2017.01.041,Accelerating Monte Carlo estimation with derivatives of high-level finite element models (2017),In this paper we demonstrate the ability of a derivative-driven Monte Carlo estimator to accelerate the propagation of uncertainty through two high-level non-linear finite element models.,We parallelise the task of the repeated forward model evaluations across a cluster using the ipyparallel and mpipy software tools.,We find similar trends when comparing with a modern non-intrusive multi-level polynomial chaos expansion method.,A complete working example showing the solution of the stochastic viscous Burgers equation is included as supplementary material.,The use of derivative information amounts to a correction to the standard Monte Carlo estimation procedure that reduces the variance under certain conditions.
No (not related to environment),10.1016/j.advengsoft.2016.09.001,GTApprox: Surrogate modeling for industrial design (2016),"Compared to existing software, GTApprox brings several innovations: a few novel approximation algorithms, several advanced methods of automated model selection, novel options in the form of hints.",We demonstrate the efficiency of GTApprox on a large collection of test problems.,,,
Yes,10.1016/j.jhydrol.2015.07.024,Using an ensemble smoother to evaluate parameter uncertainty of an integrated hydrological model of Yanqi basin (2015),Model uncertainty needs to be quantified to provide objective assessments of the reliability of model predictions and of the risk associated with management decisions that rely on these predictions.,"The results show that the uncertainty in many of the parameters is reduced during the smoother updating process, reflecting information obtained from the observations.","This model is constructed using MIKESHE/MIKEsoftware, which provides for coupling between surface and subsurface processes (DHI, a-d).",Some of the parameters are insensitive and do not benefit from measurement information.,The posterior forecast samples are obtained from model runs that use the corresponding posterior parameter samples.
No (not related to environment),10.1615/IntJMultCompEng.2013005821,UNCERTAINTY QUANTIFICATION IN DAMAGE MODELING OF HETEROGENEOUS MATERIALS (2013),"The epistemic and aleatory uncertainties inherent in the model prediction due to model parameter uncertainty, model form error, solution approximations, and measurement errors are investigated.",This manuscript investigates the use of Bayesian statistical methods for calibration and uncertainty quantification in rate-dependent damage modeling of composite materials.,A viscous damage model is employed with a solution algorithm designed for implementation within a commercial finite element software package (Abaqus).,Experimental results from a suite of monotonic load tests conducted on unidirectional glass fiber reinforced epoxy composite samples at multiple strain rates and strain orientations are used to quantify the uncertainty in the prediction of the composite response within a Bayesian framework.,
Yes - GLUE,10.5194/hess-21-6345-2017,Parameter sensitivity analysis of a 1-D cold region lake model for land-surface schemes (2017),"The generalized likelihood uncertainty estimation (GLUE) was applied to quantify the fluxes' uncertainty, comparing daily-averaged eddy-covariance observations to the output of CSLM.","Despite the ubiquity of the equifinality issue - different parameter-value combinations yielding equivalent results-the answer to the question was unequivocal: K-d, a measure of how much light penetrates the lake, dominates sensible and latent heat fluxes, and the uncertainty in their estimates is strongly related to the accuracy with which K-d is determined.","Lakes might be sentinels of climate change, but the uncertainty in their main feedback to the atmosphere heat- exchange fluxes - is often not considered within climate models.","Analysis of the Canadian Small Lake Model (CSLM), a one-dimensional integral lake model, was performed to assess its ability to reproduce diurnal and seasonal variations in heat fluxes and the sensitivity of simulated fluxes to changes in model parameters, i.e., turbulent transport parameters and the light extinction coefficient (K-d).","A C++ open-source software package, Problem Solving environment for Uncertainty Analysis and Design Exploration (PSUADE), was used to perform sensitivity analysis (SA) and identify the parameters that dominate model behavior."
Yes,10.1016/j.ijggc.2016.01.021,Model development and process simulation of postcombustion carbon capture technology with aqueous AMP/PZ solvent (2016),The uncertainty analysis shows that the model is well capable of predicting experimental and pilot result.,The remaining uncertainty is mostly in the reaction kinetics and in the flowsheet design.,"This study presents the development, application, and uncertainty analysis of a process simulation model for postcombustion CO capture with an AMP/PZ solvent blend based on state of the art knowledge on AMP/PZ solvent technology.",The development includes the improvement of the physical property models of a software package designed for simulation of acid gas treatment and CO capture technologies.,g/t CO to .
No (not related to environment),10.1155/2013/696374,Optimal Design of Signal Controlled Road Networks Using Differential Evolution Optimization Algorithm (2013),"In this model, the TRANSYT traffic simulation software is combined with Differential Evolution (DE) optimization algorithm, which is based on the natural selection paradigm.",This study proposes a traffic congestion minimization model in which the traffic signal setting optimization is performed through a combined simulation-optimization model.,"In the lower level, the traffic assignment problem, which represents the route choice behavior of the road users, is solved using the Path Flow Estimator (PFE) as a stochastic user equilibrium assessment.","The solution of the bilevel EQND problem is carried out by the proposed Differential Evolution and TRANSYT with PFE, the so-called DETRANSPFE model, on a well-known signal controlled test network.",Results show that the DETRANSPFE model outperforms the GA- and HS-based models in terms of the network performance index and the computational time required.
No,10.1016/j.agee.2006.01.013,Simulation modeling of soil and plant nitrogen use in a potato cropping system in the humid and cool environment (2006),"With rising environmental concerns for current practices of fertilizer N management in the humid and cool areas, we simulated soil N dynamics and plant N use in the potato (Solanum tuberosum L.) cropping system using the software Stella.","The objectives were to predict in-season N requirements by the potato crop, tuber yield, N uptake, N partitioning within root, leaf, stem and tuber, and N loss in the plant-soil system, and to examine the accuracy of using model predictions for N management in potato.",The model estimated loss of N was % of the field measurements.,The model was unidimensional and used a daily time step.,"Simultaneously, high daily N uptake occurred when N concentrations in the root zone ranged between  and  kg ha(-)."
No,10.1016/j.jenvman.2012.07.010,"Integrating environmental gap analysis with spatial conservation prioritization: A case study from Victoria, Australia (2012)",Conservation prioritization software can identify those areas outside existing conservation areas that contribute to the efficient covering of gaps in biodiversity features.,"We show how environmental gap analysis can be implemented using high-resolution information about environmental variables and ecosystem condition with the publicly available conservation prioritization software, Zonation.",Our method is based on the conversion of combinations of environmental variables into biodiversity features.,"When it is applied to identify gaps in the coverage of environmental variables, it embodies the assumption that combinations of environmental variables are effective surrogates for biodiversity attributes.",The question remains of how to fill gaps in conservation systems efficiently.
Yes - custom,10.1016/j.apm.2009.04.010,"Controlling setup cost in (Q, r, L) inventory model with defective items (2010)","Finally we develop two computational algorithms to obtain the optimal ordering policy, A computer code using the software Matlab is developed to derive the optimal solution and present numerical examples to illustrate the models.","Additionally, sensitivity analysis is conducted with respect to the various system parameters.","This study discusses a mixture inventory model with back orders and lost sales in which the order quantity, reorder point, lead time and setup cost are decision variables.",,
Yes - Crystal Ball (Excel),10.1016/j.scitotenv.2012.10.032,Stochastic approach to municipal solid waste landfill life based on the contaminant transit time modeling using the Monte Carlo (MC) simulation (2013),Additional CB options provide a sensitivity analysis with tornado diagrams.,"In order to simplify the task of determining the uncertainty of parameters by the MC simulation, the parameters corresponding to the expression Z taken from this program were used for the study.","The software Crystal Ball (R) (CB), simulation program that helps analyze the uncertainties associated with Microsoft (R) Excel models by MC simulation, was proposed to calculate the transit time contaminants in porous media.","The principal output report provided by CB and presented in the study consists of the frequency chart, percentiles summary and statistics summary.","The data that was used include available published figures as well as data concerning the Mittal Steel Poland (MSP) S.A. in Krakow, Poland."
Yes - MICA,10.2166/wst.2013.360,Uncertainty analysis in urban drainage modelling: should we break our back for normally distributed residuals? (2013),"The modelling implications of such scenarios were analysed in terms of model efficiency, sensitivity and uncertainty assessment.","The software MICA was adopted, in which the prior information about the parameters is updated to generate the parameter posterior distribution.",This study presents results on the assessment of the application of a Bayesian approach to evaluate the sensitivity and uncertainty associated with urban rainfall-runoff models.,This is a trait of many uncertainty/sensitivity procedures.,Such an outcome provided important information about the advantages and limitations of the models' structure.
No (not related to environment),10.1080/10705511.2016.1250635,Pattern Mixture Models for Quantifying Missing Data Uncertainty in Longitudinal Invariance Testing (2017),"In an empirical example assessing longitudinal invariance of a harsh parenting construct, we employ PM-LFMs to assess sensitivity of results to assumptions about nonignorable missingness.","In this article we develop pattern mixture longitudinal factor models (PM-LFMs) for quantifying uncertainty in longitudinal invariance testing due to an unknown, but potentially nonignorable, dropout mechanism.","On the other hand, when dropout is ignorable, PM-LFMs are shown to provide results comparable to conventional LFMs.","In the presence of nonignorable dropout, fitting a conventional longitudinal factor model (LFM) to assess longitudinal measurement invariance can yield misleading inferences about the level of invariance, along with biased parameter estimates.","Many psychology applications assess measurement invariance of a construct (e.g., depression) over time."
No,10.1016/j.psep.2016.08.008,Simulation of environmental impact of an existing natural gas dehydration plant using a combination of thermodynamic models (2016),"A new approach was presented to improve the simulation results of an existing TEG based natural gas dehydration plant, using Aspen Plus software.",It was found that a proper combination of thermodynamic models may improve the simulation results.,The most accurate model combination was found to be RKSMHV for the absorber and stripper and PSRK for the flash tank and regenerator.,"In the first step of the study, only one thermodynamic model was assigned to all of the units while in other steps, combinations of thermodynamic models were employed.","Furthermore, the environmental impact of the plant was investigated."
Yes,10.1016/j.jcp.2007.12.002,Numerical simulation of 3D bubbles rising in viscous liquids using a front tracking method (2008),"The numerical model is integrated with the software package PARAMESH, a block-based adaptive mesh refinement (AMR) tool developed for parallel computing.","In addition, we applied this model to simulate the interaction between two bubbles rising in a liquid, which illustrated the model's capability in predicting the interaction dynamics of rising bubbles.",Detailed sensitivity analysis about the numerical modeling algorithm has been performed.,Simulation results are compared with experimental observations both in aspect of terminal bubble shapes and terminal bubble velocities.,"Further, Peskin distribution function is applied to interpolate the variable values between the front and the background meshes."
?,10.1080/19443994.2015.1102774,Pressure drop across wire mesh demister in desalination plants using Eulerian-Eulerian modeling and computational fluid dynamics simulation (2016),An Eulerian model was used to model the system and the resulting model equations were solved using a commercial computational fluid dynamics software (FLUENT).,"A sensitivity analysis of the model revealed that vapor velocity, demister packing density and height, and the inlet flashed-off vapor composition are the main parameters that affect demister performance.","The system model was formed of three zones, which include the vapor space above and below the demister and the demister.","This study focuses on the development of design correlation for pressure drop in wire mesh demisters, used in the multistage flash desalination process (MSF) as well as similar evaporation and flashing units found in other industrial processes.","In addition, the demister was approximated as a porous media."
No,10.1016/j.chemolab.2009.02.005,MVC2: A MATLAB graphical interface toolbox for second-order multivariate calibration (2009),"This work reports the release of Multivariate Calibration  (MVC), a MATLAB graphical interface toolbox for implementing several second-order multivariate calibration methodologies.","Prediction results are produced along with analytical figures of merit and standard concentration errors, as calculated by modern concepts of uncertainty propagation.","The toolbox accepts a variety of input data formats, arranged in either matrices or vectors (i.e., unfolded matrices), and contained in ASCII files.",,
No (not related to environment),10.1007/s10666-012-9310-x,A Computational Fluid Dynamic Model for Prediction of Organic Dyes Adsorption from Aqueous Solutions (2012),The governing equation of the model was numerically solved using PHOENICS software to simulate synthetic dyes adsorption from the aqueous system.,A sensitivity analysis of the major parameters that influence the percent of dye removal from solution phase has been carried out.,The experimental results presented in this study and taken from the literature for the removal of synthetic dyes were compared with those results predicted by the numerical model.,This effect is most obvious at the early stages of the adsorption process when the rate of dye removal is very fast.,Quantification of the reaction mechanism allows developing an appropriate remediation strategy based on the adsorption process.
Yes - DAKOTA,10.1016/j.cageo.2016.03.005,Towards uncertainty quantification and parameter estimation for Earth system models in a component-based modeling framework (2016),This paper identifies and then examines the key issues that must be addressed in order to make a component-based modeling framework interoperable with general-purpose packages for model analysis.,"However, they do not typically provide tools for uncertainty quantification or data-based model verification and calibration.","To better address these important issues, modeling frameworks should be integrated with existing, general-purpose toolkits for optimization, parameter estimation and uncertainty quantification.","As a motivating example, one of these packages, DAKOTA, is applied to a representative but nontrivial surface process problem of comparing two models for the longitudinal elevation profile of a river to observational data.","Component-based modeling frameworks make it easier for users to access, configure, couple, run and test numerical models."
Yes,10.1016/j.cej.2008.09.008,Kinetic modelling of methane decomposition in a tubular solar reactor (2009),"Chemical reaction modelling is carried out thanks to the Dsmoke software, using a detailed kinetic scheme for the wide range modelling of alkane transformation.",a kinetic analysis of the chemical system is presented to determine the sequence of methane cracking and a sensitivity analysis of the results on temperature (in the range - K) and on natural gas composition is performed.,A kinetic simulation of the methane decomposition in a tubular solar chemical reactor prototype is presented.,This reactor is composed of four independent tubular reaction zones inserted in a graphite cavity receiver.,"Then, a kinetic simulation of the solar reactor is proposed and implemented, in which each tubular reaction zone is modelled by three plug-flow reactors in series representing the pre-heating, isothermal, and cooling zones of the reactor."
Yes - R,10.1016/j.jhydrol.2013.08.047,Addressing ten questions about conceptual rainfall-runoff models with global sensitivity analyses in R (2013),Results presented demonstrate the sensitivity of four target functions to parameter variations of four rainfall runoff models of varying complexity (- parameters).,Answering these ten questions in other case studies is relatively easy using freely available software with the Hydromad and Sensitivity packages in R. (C)  Elsevier B.V. All rights reserved.,The length of data period required to characterize the sensitivities assuredly is a minimum of five years.,"Sensitivity analysis (SA) is generally recognized as a worthwhile step to diagnose and remedy difficulties in identifying model parameters, and indeed in discriminating between model structures.","It is shown how modelers can easily identify parameters that are insensitive, and how they might improve identifiability."
No (not related to environment),10.1016/j.simpat.2013.05.007,Comparative study on simulation performances of CORSIM and VISSIM for urban street network (2013),"With the progress of simulation technologies, many transportation simulation packages were developed.","Sensitivity analysis was carried out to compare the performance of both models based on four key indices, namely software usability, average control delay, average queuing length, and cross-sectional traffic volume.","However, little information is available to the users in applying these models to the most appropriate situations, or even seldom with the simulation accuracy of the individual model.",Advantages of each simulator were identified based on comparison analyses of simulations with different levels of congestion and intersection geospatial scales.,"Consequently, it was recommended that analysts should choose their appropriate tools based on intersection type and level of saturation within the simulation case."
Yes,10.1016/j.compfluid.2010.01.001,Numerical analysis of the unsteady flow in the near-tongue region in a volute-type centrifugal pump for different operating points (2010),"An investigation is presented on the unsteady flow behaviour near the tongue region of a single-suction volute-type centrifugal pump with a specific speed of .. For this study, the flow through the test pump, which was available at laboratory, was simulated by means of a commercial CFD software that solved the Navier-Stokes equations for three-dimensional unsteady flow (D-URANS).","A sensitivity analysis of the numerical model was performed in order to impose appropriate parameters regarding grid size, time step size and turbulence model.","Once validated, the model was used to study the flow pulsations associated to the interaction between the impeller blades and the volute tongue as a function of the flow rate, for several flow rates ranging from % to % of the nominal flow rate.",,
Yes,10.1080/1573062X.2012.724077,Modelling of groundwater infiltration into sewer systems (2013),The hydrodynamic groundwater software MODFLOW is used to analyse the influencing variables of the infiltration processes.,By additional sensitivity analysis it was found that the infiltration factor and the conductivity of the backfill are very important for the calculation of the leak area.,Monte Carlo simulations and the developed one-dimensional model are used to assess the leak area and the range of pressure loss in the vicinity of the pipe leaks.,"Besides the hydraulic conductivity of the soil and the piezometric head in the vicinity of the sewer pipe, properties of the sewer trench, the shape and the size of leaks are important influencing factors.",
No (not related to environment),10.1061/(ASCE)0887-3801(2000)14:4(241),Estimating labor productivity using probability inference neural network (2000),"In addition, the effectiveness of PINN for estimating labor production rates in the context of the application domain was validated through sensitivity analysis.","Portable computer software was developed to implement the training, testing, and recall for PINN.",This paper discusses the derivation of a probabilistic neural network classification model and its application in the construction industry.,The topology and algorithm of the developed model was presented and explained in detail.,
No,10.1016/j.envsoft.2013.11.002,Parallel flow routing in SWMM 5 (2014),The enhanced software was first tested for coherence against the original code and then benchmarked on four different input scenarios ranging from a very small village to a medium sized urban area.,The hydrodynamic rainfall-runoff and urban drainage simulation model SWMM (Storm Water Management Model) is a state of the art software tool applied likewise in research and practice.,The challenge has been to modify the software in such minimal way that the resulting code enhancement may find its way into the commercial and non-commercial software tools that depend on SWMM for its calculation engine.,A pragmatic approach to identify and enhance only the critical parts of the software in terms of run-time was chosen in order to keep the code changes as low as possible.,"In order to reduce the computational burden of long simulation runs and to use the extra power of modern multicore computers, a parallel version of SWMM is presented herein."
Yes - GSAT,10.1016/j.cageo.2012.03.008,Sensitivity analysis for volcanic source modeling quality assessment and model selection (2012),"Results show the validity of the method, against the traditional approaches, in supporting the volcanic model selection and the flexibility of the GSAT software tool in analyzing the model sensitivity.",We also introduce a new criterion for model selection based on sensitivity analysis.,The analysis of sensitivity can help us in identifying the parameters that significantly affect the model's output and in assessing its quality factor.,"In this paper, we describe the Global Sensitivity Analysis (GSA) methods based both on Fourier Amplitude Sensitivity Test and on the Sobol' approach and discuss their implementation in a Mat lab software tool (GSAT).",The increasing knowledge and understanding of volcanic sources has led to the development and implementation of sophisticated and complex mathematical models with the main goal of describing field and experimental data.
Yes,10.1016/j.asoc.2011.11.021,Yield improvement analysis with parameter-screening factorials (2012),"After the results were validated by the experts, we designed software that automates the critical parameter analysis process.","From our initial experiments, we found that the sensitivity analysis results were not sufficiently good and the interactions between parameters were not identified.",The software should greatly benefit the daily yield analysis at the disk drive manufacturing plant greatly.,"Several techniques were studied including the sensitivity analysis framework, which is currently used at several disk drive plants.",The objective of the work is to improve the manufacturing yield by tuning the parameters that significantly affect the yield.
Yes - IPH-TRIM3D,10.1016/j.envsoft.2009.05.006,IPH-TRIM3D-PCLake: A three-dimensional complex dynamic model for subtropical aquatic ecosystems (2009),"The software, which is freely available for research purposes, has a graphical user-friendly interface and a flexible design that allows the user to vary the complexity of the model.","It also has built-in analysis tools such as Monte Carlo sensitivity analysis, a genetic algorithm for calibration, and plotting tools.","This paper presents IPH-TRIMD-PCLake, a three-dimensional complex dynamic model for subtropical aquatic ecosystems.",,
Yes - custom,10.1007/s10584-010-9919-1,Uncertainty analysis for estimation of landfill emissions and data sensitivity for the input variation (2010),"Landfills are the key source of CH() emissions in the emissions inventory of Slovakia, and the actual emission factors are estimated with a high uncertainty level.","The results, sensitivity analysis, and computational methodology of the CH() emissions from SWDS are presented in this paper.",The software package that works with the probabilistic distributions and their combination was developed with this purpose in mind.,The calculation of emission uncertainty of the landfills using the more sophisticated Tier  Monte Carlo method is evaluated in this article.,One of the sectors identified as a significant source of methane (CH()) emissions are solid waste disposal sites (SWDS).
Yes,10.1016/j.envsoft.2013.01.005,A long-term sensitivity analysis of the denitrification and decomposition model (2013),"We used a method of Bayesian analysis of computer code outputs (BACCO) with the Gaussian emulation machine for sensitivity analysis software (GEM-SA) to conduct a long-term SA of DNDC for predicting the annual change of soil organic carbon (dSOC), nitrous oxide emission (NO) and grain yield of spring wheat.","Although sensitivity analysis (SA) was conducted on the DeNitrification-DeComposition (DNDC) model, a global SA over a long period of time is lacking.",This indicates that a single year SA may overestimate or underestimate a long-term parameter effect on the model prediction.,"Twenty seven non-weather input parameters with wide ranges were selected for SA using weather data recorded from Three Hills, Alberta over  years (-).",In the second step of BACCO GEM-SA there were only three (in the case of dSOC) and six (in the cases of NO and yield) input parameters whose influence contributed to more than % of the total output variances by their total effects.
No (not related to environment),10.1002/nme.4669,"A computational framework for dynamic data-driven material damage control, based on Bayesian inference and model selection (2015)","The methodology involves (i) data data from uniaxial tensile experiments conducted on a composite material; (ii) continuum damage mechanics based material constitutive models; (iii) a Bayesian framework for uncertainty quantification, calibration, validation, and selection of models; and (iv) general Bayesian filtering, as well as Kalman and extended Kalman filters.","In the present study, a general dynamic data-driven application system (DDDAS) is developed for real-time monitoring of damage in composite materials using methods and models that account for uncertainty in experimental data, model parameters, and in the selection of the model itself.",A software infrastructure is developed and implemented in order to integrate the various parts of the DDDAS.,"Moreover, using such DDDAS infrastructure for real-time monitoring of the damage and degradation in materials results in results in an improved prediction of failure in the system.","The outcomes of computational analyses using the experimental data prove the feasibility of the Bayesian-based methods for model calibration, validation, and selection."
Yes,10.2136/vzj2005.0151,Colloid-facilitated solute transport in variably saturated porous media: Numerical model and experimental verification (2006),A sensitivity analysis of the model to various parameters is also presented.,"To address this problem, we developed a one-dimensional numerical model based on the HYDRUS-D software package that incorporates mechanisms associated with colloid and colloid-facilitated solute transport in variably saturated porous media.","Numerical results simulating bacteria transport, as well as the bacteria-facilitated Cd transport, are compared with experimental results.","Application of the model is demonstrated using selected experimental data from published saturated column experiments, conducted to investigate the transport of Cd in the presence of Bacillus subtilis spores in alluvial gravel aquifer media.",Various blocking and depth dependent functions can be used to modify the attachment and straining coefficients.
No (not related to environment),10.1061/(ASCE)0887-3801(2007)21:3(151),Methods and object-oriented software for FE reliability and sensitivity analysis with application to a bridge structure (2007),The product is a comprehensive and freely available library of software tools for finite-element reliability and response sensitivity analysis.,This paper addresses the growing demand for finite-element software with capabilities to incorporate uncertainty in the input parameters.,"Reliability and response sensitivity algorithms are implemented in the general-purpose finite-element software OpenSees, which employs an object-oriented programming approach to achieve a sustainable software with focus on maintainability and extensibility.",A numerical example involving a detailed model of a highway bridge with inelastic material behavior and  random variables is presented to demonstrate features of the methodology and the software.,The required response sensitivities are obtained by an extensive implementation of the direct differentiation method.
?,10.1016/j.scitotenv.2011.07.024,Modelling nitrogen transformations in waters receiving mine effluents (2011),"The model was programmed in the software Powersim using  data, whilst validation was performed using data from  to .",The sensitivity analysis showed that the state variables are most sensitive to changes in the coefficients related to the temperature dependence of the transformation processes.,It also simulates the rate of  N transformation processes occurring in the water column and sediment as well as water-sediment and water-atmosphere interactions.,"The calibrated model rendered coefficients of determination (R()) of ., .",A six-year simulation of N(am) showed stable behaviour over time.
Yes - iSIGHT,10.1007/s12665-011-0908-0,Modeling the effects of completion techniques and formation heterogeneity on CO2 sequestration in shallow and deep saline aquifers (2011),Sensitivity analysis was carried out using iSIGHT software (design of experiments) to determine the dominant factors affecting CO storage capacity and injectivity.,"This work studied the effect of completion techniques and reservoir heterogeneity on CO storage and injectivity in saline aquifers using a compositional reservoir simulator, CMG-GEM.","Mean permeability has the most effect on CO storage capacity and injectivity; k(v)/k(h) affects CO injectivity storage capacity more than permeability variation, V-k. More CO can be stored in the heterogeneous reservoirs with low mean permeability; however, high injectivity can be achieved in the uniform reservoirs with high mean permeability.","The heterogeneity effect was addressed by considering three parameters: mean permeability, the vertical to horizontal permeability ratio, and permeability variation.",Simulation results show that the most favorable option is the perforation of all layers with horizontal wells - m long set in the upper layers.
Yes - COMPARE,10.1016/j.advengsoft.2004.03.010,Interactive software for material parameter characterization of advanced engineering constitutive models (2004),The procedure is automated through the integrated software COMPARE (Constitutive Material PARameter Estimator) that enables the determination of an 'optimum' set of material parameters by minimizing the errors between the experimental test data and the model's predicted response.,"The core ingredients of COMPARE are (i) primal analysis, which utilizes a finite element-based solution scheme, (ii) sensitivity analysis utilizing a direct-differentiation approach for the material response sensitivities, and (iii) a gradient-based optimization technique of an error/cost function.","By using C+ + and the Microsoft Foundation Classes to develop a GUI, it is believed that an advanced code such as COMPARE can now make the transition to general usability in an engineering environment.",The development of an overall strategy to estimate the material parameters for a class of viscoplastic material models is presented.,
Yes - UQPyL,10.1016/j.envsoft.2015.11.004,A GUI platform for uncertainty quantification of complex dynamical models (2016),We illustrate the different functions of UQ-PyL by applying it to the uncertainty analysis of the Sacramento Soil Moisture Accounting Model.,It is equipped with a model driver generator that allows any computer model to be linked with the software.,"This paper describes a UQ platform called UQ-PyL (Uncertainty Quantification Python Laboratory), a flexible software platform designed to quantify uncertainty of complex dynamical models.","UQ-PyL integrates different kinds of UQ methods, including experimental design, statistical analysis, sensitivity analysis, surrogate modeling and parameter optimization.",(C)  The Authors.
No (not related to environment),10.1016/j.apm.2017.06.034,NHPP software reliability model considering the uncertainty of operating environments with imperfect debugging and testing coverage (2017),"Many NHPP software reliability growth models (SRGMs) have been developed to estimate the software reliability measures, but most of the underlying common assumptions of these models are that the operating environment is the same as the developing environment.","In this paper, a new model is proposed with the consideration of the fault detection rate based on the testing coverage and examined to cover ID subject to the uncertainty of operating environments.","But in fact, due to the unpredictability of the uncertainty in the operating environments for the software, environments may considerably influence the reliability and software's performance in an unpredictable way.","So when a software system works in a field environment, its reliability is usually different from the theory reliability, and also from all its similar applications in other fields.",We compare the performance of the proposed model with several existing NHPP SRGMs using three sets of real software failure data based on seven criteria.
?,10.1016/j.envsoft.2005.07.009,The comparison of four dynamic systems-based software packages: Translation and sensitivity analysis (2006),"For both academic research and project management, understanding the benefits and limitations of systems-based software could improve the accuracy of results and enlarge the user audience.","These constraints may include user demographics, budget limitations, built-in sensitivity and optimization tools, and the preference of user friendliness vs. computational power.","Furthermore, the multitude of closed proprietary software may present a disservice to the modeling community, creating model artifacts that originate somewhere deep inside the undocumented features of the software, and masking the underlying properties of the model.",A Surface Wetness Energy Balance (SWEB) model for canopy surface wetness has been translated into four software packages and their strengths and weaknesses were compared based on 'novice' user interpretations.,"Although the original objective of this study was to identify an 'appropriate' software package for predicting canopy surface wetness using SWEB, our outcomes suggest that many factors must be considered by the stakeholders when selecting a model because the modeling software becomes part of the model and of the calibration process."
Yes,10.1016/j.pce.2008.10.041,Modeling of radionuclide transport through repository components using finite volume finite element and multidomain methods (2008),This paper presents D saturated flow and transport calculations performed using numerical methods developed within the MELODIE software in the framework of assessing the performance of a radioactive waste geological repository.,"On the contrary, the migration and release at the host rock exits of ()I, which is a non-sorbed and soluble radionuclide, is shown to be influenced by the radionuclide source term, i.e.","IRSN calculations based on the French ""spent fuel/iron canister/clay"" concept designed by Andra in the framework of its feasibility study of a deep geological repository are then presented.",The sensitivity analysis has shown that strongly sorbed and/or weakly soluble radionuclides are less influenced by activity release mechanisms and by seal efficiency.,"Through sensitivity analyses based on various evolution scenarios, these calculations aim at assessing the possible influence of design features, waste degradation mechanisms or radionuclide transfer properties of repository components on the behavior of the containment system as a whole."
Yes - Pi 4U,10.1016/j.jcp.2014.12.006,Pi 4U: A high performance computing framework for Bayesian uncertainty quantification of complex models (2015),"In addition to the software framework, we also provide guidelines as to the applicability and efficiency of Bayesian tools when applied to computationally demanding physical models.",The optimization tasks associated with the asymptotic approximations are treated via the Covariance Matrix Adaptation Evolution Strategy (CMA-ES).,The framework accommodates scheduling of multiple physical model evaluations based on an adaptive load balancing library and shows excellent scalability.,,
