# Data from Clarivate Analytics' Web of Science, retrieved 5 December 2018
# This file generated on 2019-01-31 11:21:20
item,id,year,title,AU,SO,DE
2944,WOS:000381039000006,2016,Sensitivity of Flood-Depth Frequency to Watershed-Runoff Change and Sea-Level Rise Using a One-Dimensional Hydraulic Model,"Feng, YL|Brubaker, KL",JOURNAL OF HYDROLOGIC ENGINEERING,
2945,WOS:000401375800017,2017,Crop evapotranspiration calculation using infrared thermometers aboard center pivots,"Colaizzi, PD|O'Shaughnessy, SA|Evett, SR|Mounce, RB",AGRICULTURAL WATER MANAGEMENT,two source energy balance model soil water balance remote sensing texas
2946,WOS:000271359400015,2009,Long-run determinants of pollution: A robustness analysis,"Lamla, MJ",ECOLOGICAL ECONOMICS,pollution environmental kuznets curve sensitivity analysis bayesian model averaging
2947,WOS:000372528400015,2016,Estimating ozone and secondary PM2.5 impacts from hypothetical single source emissions in the central and eastern United States,"Baker, KR|Kotchenruther, RA|Hudman, RC",ATMOSPHERIC POLLUTION RESEARCH,photochemical model ozone pm single source source apportionment
2948,WOS:000296826200046,2011,A coupled model tree (MT) genetic algorithm (GA) scheme for biofouling assessment in pipelines,"Opher, T|Ostfeld, A",WATER RESEARCH,biofouling data mining pipeline model trees genetic algorithms evolutionary optimization
2949,WOS:000253839200016,2008,Multicriteria evaluation of power plants impact on the living standard using the analytic hierarchy process,"Chatzimouratidis, AI|Pilavachi, PA",ENERGY POLICY,analytic hierarchy process living standard power plant evaluation
2950,WOS:000243858700014,2007,Introducing probability and uncertainty in groundwater modeling with FEMWATER-LHS,"Hardyanto, W|Merkel, B",JOURNAL OF HYDROLOGY,groundwater numerical model latin hypercube sampling probability uncertainty
2951,WOS:000324664100020,2013,A new variance-based global sensitivity analysis technique,"Wei, PF|Lu, ZZ|Song, JW",COMPUTER PHYSICS COMMUNICATIONS,variance-based sensitivity analysis sobol's indices variance ratio function w-indices monte carlo simulation model emulation
2952,WOS:000176046800008,2002,Model decomposition based method for solving general dynamic optimization problems,"Huang, YJ|Reklaitis, GV|Venkatasubramanian, V",COMPUTERS & CHEMICAL ENGINEERING,nonlinear programming dynamic optimization differential and algebraic equations collocation method
2953,WOS:000290553400024,2011,Comparative antioxidative responses and proline metabolism in two wheat cultivars under short term lead stress,"Yang, YL|Zhang, YY|Wei, XL|You, J|Wang, WR|Lu, J|Shi, RX",ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,lead wheat seedling chlorophyll antioxidant enzyme proline oxidative stress
2954,WOS:000251778000006,2008,The recycling of plastic wastes from discarded TV sets: comparing energy recovery with mechanical recycling in the context of life cycle assessment,"Dodbiba, G|Takahashi, K|Sadaki, J|Fujita, T",JOURNAL OF CLEANER PRODUCTION,life cycle assessment plastic wastes enery recovery mechanical recycling sensitivity analysis
2955,WOS:000186643400001,2003,On local influence analysis of full information item factor models,"Lee, SY|Xu, L",PSYCHOMETRIKA,dichotomous variables monte carlo em algorithm q-displacement function gibbs sampler conformal normal curvature
2956,WOS:000340319600006,2014,Uncertainty analyses of CO2 plume expansion subsequent to wellbore CO2 leakage into aquifers,"Hou, ZS|Bacon, DH|Engel, DW|Lin, G|Fang, YL|Ren, HY|Fang, ZF",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,carbon sequestration uncertainty quantification wellbore leakage response surface adaptive sampling
2957,WOS:000251001100010,2008,Simulation of food intake dynamics of holometabolous insect using functional link artificial neural network,"Zhang, WJ|Liu, GH|Dai, HQ",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,functional link artificial neural network conventional models modeling holometabolous insect food intake dynamics
2958,WOS:000252847100068,2007,Bonner sphere neutron spectrometry at nuclear workplaces in the framework of the EVIDOS project,"Lacoste, V|Reginatto, M|Asselineau, B|Muller, H",RADIATION PROTECTION DOSIMETRY,
2959,WOS:000383292100052,2016,Towards a consensus-based biokinetic model for green microalgae - The ASM-A,"Wagner, DS|Valverde-Perez, B|Saebo, M|de la Sotilla, MB|Van Wagenen, J|Smets, BF|Plosz, BG",WATER RESEARCH,process modelling green microalgal growth nutrient storage parameter identifiability uncertainty and global sensitivity analysis
2960,WOS:000413662500013,2017,Numerical study of surface radiation and combined natural convection heat transfer in a solar cavity receiver,"Shirvan, KM|Mamourian, M|Mirzakhanlari, S|Rahimi, AB|Ellahi, R",INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,natural convection surface thermal radiation combined heat transfer solar cavity receiver
2961,WOS:000246358100002,2007,A fixed-path Markov chain algorithm for conditional simulation of discrete spatial variables,"Li, WD",MATHEMATICAL GEOLOGY,markov chain random field spatial markov chain transiogram multinomial classes interclass relationship nearest known neighbor
2962,WOS:000234338400008,2006,Integrated inventory control and inspection policies with deterministic demand,"Ben-Daya, M|Noman, SM|Hariga, M",COMPUTERS & OPERATIONS RESEARCH,inventory control economic order quantity inspection integrated model
2963,WOS:000388785100066,2016,Incorporating species losses and gains into a fish-based index for stream bioassessment increases the detection of anthropogenic disturbances,"Rose, PM|Kennard, MJ|Moffatt, DB|Butler, GL|Sheldon, F",ECOLOGICAL INDICATORS,ensemble model alien species bc index rivpacs disturbance gradient sensitivity
2964,WOS:000296242100001,2011,A practical protocol for calibration of nutrient removal wastewater treatment models,"Mannina, G|Cosenza, A|Vanrolleghem, PA|Viviani, G",JOURNAL OF HYDROINFORMATICS,asm calibration protocol glue identifiability sensitivity analysis wastewater treatment modelling
2965,WOS:000303957700003,2012,Uncertainty in sewer sediment deposit modelling: Detailed vs simplified modelling approaches,"Mannina, G|Schellart, ANA|Tait, S|Viviani, G",PHYSICS AND CHEMISTRY OF THE EARTH,water quality sewer sediments sensitivity analysis mathematical models
2966,WOS:000336705500005,2014,The response of soil organic carbon and nitrogen 10 years after returning cultivated alpine steppe to grassland by abandonment or reseeding,"Shang, ZH|Cao, JJ|Guo, RY|Long, RJ|Deng, B",CATENA,alpine steppe returning of cropland back to grassland reseeding abandonment carbon and nitrogen restoration
2967,WOS:000412192800042,2017,Dynamic optimization of beer fermentation: Sensitivity analysis of attainable performance vs. product flavour constraints,"Rodman, AD|Gerogiorgis, DI",COMPUTERS & CHEMICAL ENGINEERING,beer fermentation dynamic optimization multi-objective optimization orthogonal collocation on finite elements sensitivity analysis flavour constraints
2968,WOS:000347848900001,2015,Application of the WEPP model to determine sources of run-off and sediment in a forested watershed,"Saghafian, B|Meghdadi, AR|Sima, S",HYDROLOGICAL PROCESSES,run-off sediment yield wepp model unit response approach subwatershed prioritization kasilian watershed
2969,WOS:000399845800057,2017,"Risk assessment of pesticides and other stressors in bees: Principles, data gaps and perspectives from the European Food Safety Authority","Rortais, A|Arnold, G|Dorne, JL|More, SJ|Sperandio, G|Streissl, F|Szentes, C|Verdonck, F",SCIENCE OF THE TOTAL ENVIRONMENT,multiple stressors honeybee colony health modelling indicator data collection research needs
2970,WOS:000343814000005,2014,Cost-effective maintenance scheduling of cutting arms of drum shearer machine,"Hoseinie, SH|Ghodrati, B|Kumar, U",INTERNATIONAL JOURNAL OF MINING RECLAMATION AND ENVIRONMENT,reliability drum shearer power law process maintenance
2971,WOS:000089186600004,2000,Processing expert judgements in accident consequence modelling,"Kraan, BCP|Cooke, RM",RADIATION PROTECTION DOSIMETRY,
2972,WOS:000270615300003,2009,Estimating the consequences for projections of river discharges resulting from uncertainties in climate-change modelling - Analysis of an application of a multi-model ensemble in the catchment of the River Rhine,"Krahe, P|Nilson, E|Carambia, M|Maurer, T|Tomassini, L|Bulow, K|Jacob, D|Moser, H",HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG,adaptation measures climate change discharge projection global climate projections inland navigation multimodel ensemble regional climate projections uncertainty analysis
2973,WOS:000333056600011,2014,A methodology for the conceptual design of concentration circuits: Group contribution method,"Sepulveda, FD|Cisternas, LA|Elorza, MA|Galvez, ED",COMPUTERS & CHEMICAL ENGINEERING,process design group contribution concentration circuit flotation
2974,WOS:000266801800003,2009,Entropy generation analysis for the free surface turbulent flow during laser material processing,"Chatterjee, D|Chakraborty, S",INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,thermodynamic properties modelling turbulent flow heat transfer
2975,WOS:000419133800016,2017,Uncertainty Quantification for the Horseshoe (with Discussion) comment,"Polson, NG",BAYESIAN ANALYSIS,
2976,WOS:000256087600006,2008,Aero-structural optimization using adjoint coupled post-optimality sensitivities,"Chittick, IR|Martins, JRRA",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,aero-structural optimization subspace optimization asymmetric suboptimization coupled post-optimality sensitivity analysis coupled-adjoint sensitivity analysis
2977,WOS:000362007900004,2015,Estimation of evapotranspiration from ground-based meteorological data and global land data assimilation system (GLDAS),"Park, J|Choi, M",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,evapotranspiration reference evapotranspiration gldas sensitivity analysis
2978,WOS:000384704600002,2016,A NEW COMBINATIVE DISTANCE-BASED ASSESSMENT (CODAS) METHOD FOR MULTI-CRITERIA DECISION-MAKING,"Keshavarz Ghorabaee, M|Zavadskas, EK|Turskis, Z|Antucheviciene, J",ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH,multi-criteria decision-making mcdm madm euclidean distance taxicab distance codas
2979,WOS:000320969300042,2013,Prognostication of environmental indices in potato production using artificial neural networks,"Khoshnevisan, B|Rafiee, S|Omid, M|Mousazadeh, H|Sefeedpari, P",JOURNAL OF CLEANER PRODUCTION,artificial neural network potato lca environmental indices prediction modeling
2980,WOS:000412878800020,2017,Techno-economic and environmental analysis of an integrated solar vacuum membrane distillation system for the treatment of reverse osmosis desalination brine,"Triki, Z|Bouaziz, MN|Boumaza, M",DESALINATION AND WATER TREATMENT,reverse osmosis desalination brine disposal vacuum membrane distillation solar energy economic study sensitivity analysis
2981,WOS:000418262400039,2017,Floods and food security: A method to estimate the effect of inundation on crops availability,"Pacetti, T|Caporali, E|Rulli, MC",ADVANCES IN WATER RESOURCES,water footprint human energy requirements bangladesh 2007 pakistan 2010 remote sensing data
2982,WOS:000333563900058,2014,Estimation of land surface water and energy balance parameters using conditional sampling of surface states,"Farhadi, L|Entekhabi, D|Salvucci, G|Sun, J",WATER RESOURCES RESEARCH,estimation and forecasting evapotranspiration modeling uncertainty assessment water energy interactions
2983,WOS:000298366200014,2011,Effect of radar rainfall time resolution on the predictive capability of a distributed hydrologic model,"Atencia, A|Mediero, L|Llasat, MC|Garrote, L",HYDROLOGY AND EARTH SYSTEM SCIENCES,
2984,WOS:000220656100004,2004,A framework of synthesizing tutoring conversation capability with web-based distance education courseware,"Song, KS|Hu, XG|Olney, A|Graesser, AC",COMPUTERS & EDUCATION,distance education and telelearning distributed learning environments intelligent tutoring systems interactive learning environments multimedia/hypermedia system
2985,WOS:000222986800003,2004,Differential impacts of climate change on the hydrology of two alpine river basins,"Jasper, K|Calanca, P|Gyalistras, D|Fuhrer, J",CLIMATE RESEARCH,climate change impact regional climate scenarios uncertainty analysis mountain hydrology distributed hydrological modeling wasim-eth
2986,WOS:000413389300005,2017,Detailed analysis of reverse osmosis systems in hot climate conditions,"Shaaban, S|Yahya, H",DESALINATION,desalination reverse osmosis membrane sensitivity analysis optimization
2987,WOS:000242980600012,2006,The effects of copper on soil biochemical properties and its interaction with other heavy metals,"Wyszkowska, J|Kucharski, J|Lajszner, W",POLISH JOURNAL OF ENVIRONMENTAL STUDIES,acid phosphatase alkaline phosphatase dehydrogenases heavy metals oat yield urease
2988,WOS:000271559400009,2009,Nonparametric density estimation. for randomly perturbed elliptic problems II: Applications and adaptive modeling,"Estep, D|Malqvist, A|Tavener, S",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,a posteriori error analysis adaptive modeling adjoint problem density estimation elliptic problem nonparametric density estimation random diffusion sensitivity analysis random perturbation
2989,WOS:000293633900012,2011,Measuring and Improving Eco-efficiency Using Data Envelopment Analysis A Case Study of Mahon-Menorca Cheese,"Sanjuan, N|Ribal, J|Clemente, G|Fenollosa, ML",JOURNAL OF INDUSTRIAL ECOLOGY,cost assessment data envelopment analysis (dea) industrial ecology life cycle assessment (lca) price simulation scenario building
2990,WOS:000269228000019,2009,Contributors to ozone episodes in three US/Mexico border twin-cities,"Shi, CN|Fernando, HJS|Yang, J",SCIENCE OF THE TOTAL ENVIRONMENT,us/mexico border cities ozone 3d air quality modeling back trajectory process analysis
2991,WOS:000252527700004,2008,The generalized sequential compound options pricing and sensitivity analysis,"Lee, MY|Yell, FB|Chen, AP",MATHEMATICAL SOCIAL SCIENCES,sequential compound option project valuation real option leibnitz's rule option pricing risk-neutral
2992,WOS:000305993100001,2012,"Global importance, patterns, and controls of dissolved silica retention in lakes and reservoirs","Harrison, JA|Frings, PJ|Beusen, AHW|Conley, DJ|McCrackin, ML",GLOBAL BIOGEOCHEMICAL CYCLES,
2993,WOS:000233164200002,2005,Finite element tree crown hydrodynamics model (FETCH) using porous media flow within branching elements: A new representation of tree hydrodynamics,"Bohrer, G|Mourad, H|Laursen, TA|Drewry, D|Avissar, R|Poggi, D|Oren, R|Katul, GG",WATER RESOURCES RESEARCH,
2994,WOS:000182780700011,2003,Kinetic model for polycrystalline Pd/PdOx in oxidation/reduction cycles,"Wolf, MM|Zhu, HY|Green, WH|Jackson, GS",APPLIED CATALYSIS A-GENERAL,adsorption catalysis reaction kinetics oxygen palladium thermal desorption thermogravimetric analysis
2995,WOS:000270914000008,2009,Sensitivity Analysis for Hydraulic Models,"Hall, JW|Boyce, SA|Wang, YL|Dawson, RJ|Tarantola, S|Saltelli, A",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,
2996,WOS:000367533700016,2015,Uncertainty Analysis in the Evaluation of Extreme Rainfall Trends and Its Implications on Urban Drainage System Design,"Notaro, V|Liuzzo, L|Freni, G|La Loggia, G",WATER,extreme rainfall trend analysis climate change uncertainty analysis urban drainage system design
2997,WOS:000350918600016,2015,Dynamic successive assessment method of water environment carrying capacity and its application,"Wang, TX|Xu, SG",ECOLOGICAL INDICATORS,water environment carrying capacity temporal and spatial variability dynamic assessment method class
2998,WOS:000309789900002,2012,An integrated framework for finite-element modeling of mitral valve biomechanics from medical images: Application to MitralClip intervention planning,"Mansi, T|Voigt, I|Georgescu, B|Zheng, XD|Mengue, EA|Hackl, M|Ionasec, RI|Noack, T|Seeburger, J|Comaniciu, D",MEDICAL IMAGE ANALYSIS,mitral valve apparatus patient-specific anatomy machine-learning finite-element biomechanical models mitral valve therapy planning
2999,WOS:000087117400002,2000,The economic viability of commercial wind plants in Greece - A complete sensitivity analysis,"Kaldellis, JK|Gavras, TJ",ENERGY POLICY,wind plant economic viability sensitivity analysis
3000,WOS:000406709500199,2017,Spatial Modelling of Urban Physical Vulnerability to Explosion Hazards Using GIS and Fuzzy MCDA,"Ghajari, YE|Alesheikh, AA|Modiri, M|Hosnavi, R|Abbasi, M",SUSTAINABILITY,urban sustainability urban physical vulnerability intentional explosion hazards fuzzy set theory multi-criteria decision analysis (mcda) geospatial information systems (gis)
3001,WOS:000414179500005,2017,Integrating multiple vegetation indices via an artificial neural network model for estimating the leaf chlorophyll content of Spartina alterniflora under interspecies competition,"Liu, PD|Shi, RH|Zhang, C|Zeng, YY|Wang, JP|Tao, Z|Gao, W",ENVIRONMENTAL MONITORING AND ASSESSMENT,spartina alterniflora interspecies competition multiple vegetation indices artificial neural network chlorophyll
3002,WOS:000332264400020,2014,Forecasting GHG emissions using an optimized artificial neural network model based on correlation and principal component analysis,"Antanasijevic, DZ|Ristic, MD|Peric-Grujic, AA|Pocajt, VV",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL,general regression neural network ghg emission forecasting principal component analysis principal component regression
3003,WOS:000330147000006,2014,Inference for longitudinal data with nonignorable nonmonotone missing responses,"Sinha, SK|Kaushal, A|Xiao, WZ",COMPUTATIONAL STATISTICS & DATA ANALYSIS,false discovery rate importance sampling incomplete data linear mixed model longitudinal study maximum likelihood proteomics experiment
3004,WOS:000286960700006,2011,Sensitivity analysis and optimization of vehicle-bridge systems based on combined PEM-PIM strategy,"Xu, WT|Zhang, YH|Lin, JH|Kennedy, D|Williams, FW",COMPUTERS & STRUCTURES,coupled vehicle-bridge systems pseudo-excitation method precise integration method sensitivity analysis
3005,WOS:000306870400038,2012,Global sensitivity analysis of ozone production and O-3-NOx-VOC limitation based on field data,"Chen, S|Brune, WH",ATMOSPHERIC ENVIRONMENT,global sensitivity analysis chemical mechanism high dimensional model representation ozone sensitivity atmospheric chemistry air quality
3006,WOS:000306887900046,2012,Modeling the transmission dynamics of dengue fever: Implications of temperature effects,"Chen, SC|Hsieh, MH",SCIENCE OF THE TOTAL ENVIRONMENT,dengue fever temperature models biting rate taiwan
3007,WOS:000256856000019,2008,Static frame challenge problem: Summary,"Babuska, I|Tempone, R",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,model validation uncertainty quantification failure probability
3008,WOS:000345804400029,2014,A modeling analysis of alternative primary and secondary US ozone standards in urban and rural areas,"Nopmongcol, U|Emery, C|Sakulyanontvittaya, T|Jung, J|Knipping, E|Yarwood, G",ATMOSPHERIC ENVIRONMENT,ozone photochemical modeling hddm us emissions us ozone standard w126
3009,WOS:000317827600040,2013,Parameter estimation and predictive uncertainty in stochastic inverse modeling of groundwater flow: Comparing null-space Monte Carlo and multiple starting point methods,"Yoon, H|Hart, DB|McKenna, SA",WATER RESOURCES RESEARCH,
3010,WOS:000255146500003,2008,Optimum design of cantilever sheet pile walls in sandy soils using inverse reliability approach,"Babu, GLS|Basha, BM",COMPUTERS AND GEOTECHNICS,failure modes optimization reliability safety factors sensitivity analysis sheet pile wall
3011,WOS:000347018100079,2014,Improvement and comparison of likelihood functions for model calibration and parameter uncertainty analysis within a Markov chain Monte Carlo scheme,"Cheng, QB|Chen, X|Xu, CY|Reinhardt-Imjela, C|Schulte, A",JOURNAL OF HYDROLOGY,bayesian inference box-cox transformation nash-sutcliffe efficiency coefficient generalized error distribution swat-wb-vsa
3012,WOS:000295233900044,2011,Assessing the ability of mechanistic volatilization models to simulate soil surface conditions A study with the Volt'Air model,"Garcia, L|Bedos, C|Genermont, S|Braud, I|Cellier, P",SCIENCE OF THE TOTAL ENVIRONMENT,soil surface temperature soil surface water content water retention model hydraulic conductivity model ammonia volatilization pesticide volatilization
3013,WOS:000403994400015,2017,An Adaptive Metamodel-Based Subset Importance Sampling approach for the assessment of the functional failure probability of a thermal-hydraulic passive system,"Pedroni, N|Zio, E",APPLIED MATHEMATICAL MODELLING,nuclear passive safety system small failure probability efficient monte carlo subset simulation non-parametric importance sampling adaptive metamodeling
3014,WOS:000227469200022,2004,Modeling natural attenuation of multicomponent fuel mixtures in the vadose zone: Use of field data and evaluation of biodegradation effects,"Gaganis, P|Kjeldsen, P|Burganos, VN",VADOSE ZONE JOURNAL,
3015,WOS:000270078100005,2009,Parameter estimation and uncertainty analysis of SWAT model in upper reaches of the Heihe river basin,"Li, ZL|Xu, ZG|Shao, QX|Yang, J",HYDROLOGICAL PROCESSES,parameter uncertainty simulation uncertainty aggregate parameter bayesian method
3016,WOS:000183630200006,2003,Design sensitivity analysis and topology optimization of displacement-loaded non-linear structures,"Cho, S|Jung, HS",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,design sensitivity analysis adjoint variable method topology optimization prescribed displacement geometrically nonlinear structures
3017,WOS:000300214800020,2012,Multi-variable sensitivity and identifiability analysis for a complex environmental model in view of integrated water quantity and water quality modeling,"Nossent, J|Bauwens, W",WATER SCIENCE AND TECHNOLOGY,environmental modeling integrated modeling latin-hypercube-one-factor-at-a-time model parameters sensitivity analysis swat
3018,WOS:000207775800008,2000,EVALUATION OF PEAK DISCHARGE TRANSPOSITION,"McCuen, RH|Levy, BS",JOURNAL OF HYDROLOGIC ENGINEERING,
3019,WOS:000308245800029,2012,SWAT use of gridded observations for simulating runoff - a Vietnam river basin study,"Vu, MT|Raghavan, SV|Liong, SY",HYDROLOGY AND EARTH SYSTEM SCIENCES,
3020,WOS:000413280500072,2017,Co-exposure to methylmercury and inorganic arsenic in baby rice cereals and rice-containing teething biscuits,"Rothenberg, SE|Jackson, BP|McCall, GC|Donohue, A|Emmons, AM",ENVIRONMENTAL RESEARCH,neurodevelopment carcinogen baby rice methylmercury inorganic arsenic
3021,WOS:000388775300015,2017,Economic and environmental evaluation of design for active disassembly,"Peeters, JR|Vanegas, P|Dewulf, W|Duflou, JR",JOURNAL OF CLEANER PRODUCTION,design for disassembly active disassembly demanufacturing ecodesign recycling waste electrical and electronic equipment (weee)
3022,WOS:000180909000017,2003,"Quantifying uncertainties in tracer-based hydrograph separations: a case study for two-, three- and five-component hydrograph separations in a mountainous catchment","Uhlenbrook, S|Hoeg, S",HYDROLOGICAL PROCESSES,runoff generation tracer hydrograph separation uncertainty dissolved silica oxygen-18
3023,WOS:000174423000002,2002,Health risk assessment on residents exposed to chlorinated hydrocarbons contaminated in groundwater of a hazardous waste site,"Lee, LJH|Chan, CC|Chung, CW|Ma, YC|Wang, GS|Wang, JD",JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A,
3024,WOS:000337117400014,2014,Deconstructing the surrogate species concept: a life history approach to the protection of ecosystem services,"Banks, JE|Stark, JD|Vargas, RI|Ackleh, AS",ECOLOGICAL APPLICATIONS,agroecosystems beneficial arthropods biological control chemical toxicants ecosystem services environmental risk assessment leslie matrix models parasitoid wasps pesticides population dynamics sensitivity surrogate species
3025,WOS:000348114400002,2015,Integrated strategy for berth allocation and crane assignment on a continuous berth using Monte Carlo simulation,"Ji, MJ|Zhu, HL|Wang, QB|Zhao, R|Yang, YZ",SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,berth allocation crane assignment monte carlo simulation analysis of variance sensitivity analysis
3026,WOS:000419133800014,2017,Uncertainty Quantification for the Horseshoe (with Discussion) comment,"Castillo, I",BAYESIAN ANALYSIS,
3027,WOS:000087158400008,2000,Temperatures in and under a slab-on-ground floor: two- and three-dimensional numerical simulations and comparison with experimental data,"Adjali, MH|Davies, M|Rees, SW|Littler, J",BUILDING AND ENVIRONMENT,
3028,WOS:000360864900005,2015,Comparison of dual crop coefficient method and Shuttleworth-Wallace model in evapotranspiration partitioning in a vineyard of northwest China,"Zhao, P|Li, S|Li, FS|Du, TS|Tong, L|Kang, SZ",AGRICULTURAL WATER MANAGEMENT,dual crop coefficient eddy covariance evapotranspiration partitioning sap flow shuttleworth-wallace model soil evaporation
3029,WOS:000256840200114,2007,Estimating uncertainty on internal dose assessments,"Puncher, M|Birchall, A",RADIATION PROTECTION DOSIMETRY,
3030,WOS:000312614900020,2012,Modeling sediment resuspension-induced DO variation in fine-grained streams,"Zahraeifard, V|Deng, ZQ",SCIENCE OF THE TOTAL ENVIRONMENT,do variation sediment resuspension vart-dos model
3031,WOS:000185781500010,2003,Bayesian method for learning graphical models with incompletely categorical data,"Geng, Z|He, YB|Wang, XL|Zhao, Q",COMPUTATIONAL STATISTICS & DATA ANALYSIS,bayesian learning graphical model hyper markov law incomplete data posterior mean
3032,WOS:000307824500017,2012,Application of Monitored Natural Attenuation and Risk-based Corrective Action at a Chlorinated-Hydrocarbon Contaminated Site for Risk Management,"Tsai, TT|Chen, KF|Tsai, WA|Liu, YH|Kao, CM",RESEARCH JOURNAL OF CHEMISTRY AND ENVIRONMENT,exposure assessment groundwater contamination monte carlo analysis sensitivity analysis risk-based corrective action
3033,WOS:000312255100002,2011,Framework for Enhancing the Supply-Demand Balance of a Tri-Supply Urban Water Scheme in Australia,"Bertone, E|Stewart, RA",WATER,recycled water rain tanks potable source substitution water demand forecasting end use
3034,WOS:000087175600003,2000,A continuum Lagrangian sensitivity analysis for metal forming processes with applications to die design problems,"Zabaras, N|Bao, YG|Srikanth, A|Frazier, WG",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,sensitivity analysis die design metal forming processes large deformation plasticity lagrangian analysis optimization
3035,WOS:000391572300006,2017,Numerical sensitivity analysis of corrosion detection,"Bilotta, A|Turco, E",MATHEMATICS AND MECHANICS OF SOLIDS,corrosion detection cauchy's problem regularization techniques inverse problems damage detection
3036,WOS:000397511200004,2017,AN IMPROVEMENT OF THE UNCERTAINTY QUANTIFICATION IN COMPUTATIONAL STRUCTURAL DYNAMICS WITH NONLINEAR GEOMETRICAL EFFECTS,"Capiez-Lernout, E|Soize, C",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,geometric nonlinearities uncertainty quantification nonlinear reduced-order model nonlinear structural dynamics
3037,WOS:000173906300003,2001,Evaluation of probabilistic flow in two unsaturated soils,"Boateng, S",HYDROGEOLOGY JOURNAL,unsaturated flow probabilistic modeling sensitivity water content hydraulic properties
3038,WOS:000303305600027,2012,A sustainability point of view on sheet metal forming operations: material wasting and energy consumption in incremental forming and stamping processes,"Ingarao, G|Ambrogio, G|Gagliardi, F|Di Lorenzo, R",JOURNAL OF CLEANER PRODUCTION,sustainability evaluation sheet metal forming energy consumption material wasting
3039,WOS:000333204200003,2014,Fusion of conflicting information for improving representativeness of data used in LCAs,"Gavankar, S|Suh, S",INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,data fusion data quality data representativeness epistemic uncertainty life cycle assessment possibility theory
3040,WOS:000390682300015,2016,ASSESSING THE SENSITIVITY OF SWMM TO VARIATIONS IN HYDROLOGICAL AND HYDRAULIC PARAMETERS: A CASE STUDY FOR THE CITY OF ISTANBUL,"Akdogan, Z|Guven, B",GLOBAL NEST JOURNAL,swmm parameter sensitivity analysis catchment hydrology precipitation imperviousness
3041,WOS:000296571300002,2011,"Potential Risks of Copper, Zinc, and Cadmium Pollution due to Pig Manure Application in a Soil-Rice System under Intensive Farming: A Case Study of Nanhu, China","Shi, JC|Yu, XL|Zhang, MK|Lu, SG|Wu, WH|Wu, JJ|Xu, JM",JOURNAL OF ENVIRONMENTAL QUALITY,
3042,WOS:000090065100022,2000,Optimization of a response variable y constrained by principal directions of variations in the observation X-matrix,"Svinning, K|Ingeroyen, O|Dalsveen, K",JOURNAL OF CHEMOMETRICS,optimization pls sensitivity analysis linear programming
3043,WOS:000311644200015,2013,Numerical schemes for dynamically orthogonal equations of stochastic fluid and ocean flows,"Ueckermann, MP|Lermusiaux, PFJ|Sapsis, TP",JOURNAL OF COMPUTATIONAL PHYSICS,uncertainty quantification navier-stokes boussinesq dynamical orthogonality projection methods total variation diminishing error subspace statistical estimation ocean modeling data assimilation
3044,WOS:000332673600006,2014,Sensitivity Analysis of Annual Nitrate Loads and the Corresponding Trends in the Lower Illinois River,"Markus, M|Demissie, M|Short, MB|Verma, S|Cooke, RA",JOURNAL OF HYDROLOGIC ENGINEERING,load factors rivers and streams illinois nonpoint pollution sensitivity analysis nitrates nitrate load estimation lower illinois river trend analysis nonpoint source pollution
3045,WOS:000248636500025,2007,Data quality in water analysis: validation of ion chromatographic method for the determination of routine ions in potable water,"Miskaki, P|Lytras, E|Kousouris, L|Tzoumerkas, P",DESALINATION,water quality ion chromatography method validation data quality
3046,WOS:000320969500001,2013,Surface ozone photolysis rate trends in the Eastern Mediterranean: Modeling the effects of aerosols and total column ozone based on Terra MODIS data,"Benas, N|Mourtzanou, E|Kouvarakis, G|Bais, A|Mihalopoulos, N|Vardavas, I",ATMOSPHERIC ENVIRONMENT,ozone photolysis rate aerosol optical thickness total column ozone enhancement factor
3047,WOS:000315365200001,2013,Integrated topology optimization with embedded movable holes based on combined description by material density and level sets,"Kang, Z|Wang, YQ",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,topology optimization combined topology description level set nodal design variable embedded hole non-overlap constraint
