,AU,SO,copyright,title,year
3059,"Darde, Victor|van Well, Willy J. M.|Stenby, Erling H.|Thomsen, Kaj|Gale, J|Hendriks, C|Turkenberg, W",10TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES, (C) 2011 Published by Elsevier Ltd.,CO2 capture using aqueous ammonia: kinetic study and process simulation,2011
3061,"France, Jessie J.|Gur, Yaniv|Kirby, Robert M.|Johnson, Chris R.|Murray, A","2014 COMPUTING IN CARDIOLOGY CONFERENCE (CINC), VOL 41",,A Bayesian Approach to Quantifying Uncertainty in Tikhonov Solutions for the Inverse Problem of Electrocardiography,2014
3063,"Wei, Yu|Jing, W|Ning, |Huiyu, Z","PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON EDUCATION, MANAGEMENT, INFORMATION AND MECHANICAL ENGINEERING (EMIM 2017)",,Design of Gearbox in Pentahedral Machining Center,2017
3066,"Sheng Shukai, |Jin Weixing, |Wang Chunyan, |Wang, YW|Xia, KW|Shen, QP","PROCEEDINGS OF 2008 INTERNATIONAL CONFERENCE ON CONSTRUCTION & REAL ESTATE MANAGEMENT, VOLS 1 AND 2",,Markov-based Optimization Model for Innovation Management in Construction Industry in China,2008
3079,"Wu Hengbin, |Tan Chunxia, |Zhou, ",2011 INTERNATIONAL CONFERENCE ON ENERGY AND ENVIRONMENTAL SCIENCE-ICEES 2011, Elsevier Ltd. Selection and/or peer-review under responsibility of the Organizers of 2011 International Conference on Energy and Environmental Science.,Effect of the Material Parameters of Rock Mass on Slope Stability (Retracted Article),2011
3081,"Lavric, Elena Daniela|Klemes, JJ|Lam, HL|Varbanov, PS","PRES 2010: 13TH INTERNATIONAL CONFERENCE ON PROCESS INTEGRATION, MODELLING AND OPTIMISATION FOR ENERGY SAVING AND POLLUTION REDUCTION",,Sensitivity analysis of thermoelectric module performance with respect to geometry,2010
3088,"Yang, Lei|Cai, Yiji|Tang, J|Chen, J|Cai, ",2017 14TH INTERNATIONAL CONFERENCE ON SERVICES SYSTEMS AND SERVICES MANAGEMENT (ICSSSM),,Optimal Dynamic Pricing for Fresh Products Under the Cap-and-Trade Scheme,2017
3096,"Brighenti, Tassia Mattos|Bonuma, Nadia Bernardi|Borges Chaffe, Pedro Luiz",RBRH-REVISTA BRASILEIRA DE RECURSOS HIDRICOS,,Hierarchical Calibration of SWAT model for a watershed in southern Brazil,2016
3102,"Zhang, W.|Han, X.|Liu, J.|Tan, Z. H.",CMC-COMPUTERS MATERIALS & CONTINUA,,A Combined Sensitive Matrix Method and Maximum Likelihood Method for Uncertainty Inverse Problems,2011
3104,"Fletcher, NM|Martin, EB|Morris, AJ|Quinn, H|Hinge, B|Dochain, D|Perrier, M",COMPUTER APPLICATIONS IN BIOTECHNOLOGY 2001 (CAB8), Copyright (C) 2001 IFAC.,The monitoring of an industrial fed-batch fermentation process,2002
3107,"Li, Z|He, F|Wu, QJ|Tao, W",JOURNAL OF ENVIRONMENTAL SCIENCES,,Analysis on sensitivity and landscape ecological spatial structure of site resources,2003
3109,"Eastwood, James W.|Morgan, J. Guy|Caruge, D|Calvin, C|Diop, CM|Malvagi, F|Trama, JC",SNA + MC 2013 - JOINT INTERNATIONAL CONFERENCE ON SUPERCOMPUTING IN NUCLEAR APPLICATIONS + MONTE CARLO,,Pathways and Uncertainty Prediction in FISPACT-II,2014
3115,"Yang, Q. W.|Lin, S. Z.|Jin, W. M.|Jiang, Y|Li, J","ICMS2010: PROCEEDINGS OF THE THIRD INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION ICMS2010, VOL 3",,Damage diagnosis by sensitivity analysis using arbitrary-scaled mode shapes,2010
3116,"Mauree, D.|Coccolo, S.|Kampf, J.|Scartezzini, J-L.|Habert, G|Schlueter, A",EXPANDING BOUNDARIES: SYSTEMS THINKING IN THE BUILT ENVIRONMENT,,MULTI-SCALE MODELLING TO ASSESS HUMAN COMFORT IN URBAN CANYONS,2016
3127,"Cappetti, N.|Pisaturo, M.|Senatore, A.|Topping, BHV|Adam, JM|Pallares, FJ|Bru, R|Romero, ML",PROCEEDINGS OF THE SEVENTH INTERNATIONAL CONFERENCE ON ENGINEERING COMPUTATIONAL TECHNOLOGY,,Load-Deflection Curve Sensitivity to Main Shape Parameters in a Dry Clutch Cushion Spring,2010
3129,"Savchenko, I. O.",CYBERNETICS AND SYSTEMS ANALYSIS,,ESTIMATING THE SOLUTION SENSITIVITY IN APPLICATION OF THE MODIFIED MORPHOLOGICAL ANALYSIS METHOD,2016
3131,"Lu, Minjiao|Li, Xiao",HYDROLOGICAL RESEARCH LETTERS,,Strategy to automatically calibrate parameters of a hydrological model: a multi-step optimization scheme and its application to the Xinanjiang model,2015
3136,"Mourad, Boutouchent|Enguerran, Grandchamp|Sylvain, Guillou|Xavier, Goossens|Mynett, A",PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS,,FIRST RESULTS OF THE HYDROKINETIC MODELING IN THE MARONI RIVER,2015
3143,"Sundareswaran, K.|Vigneshkumar, V.|Simon, Sishaj P.|Nayak, P. Srinivasa Rao",2016 IEEE ANNUAL INDIA CONFERENCE (INDICON),,Gravitational search algorithm combined with P&O method for MPPT in PV systems,2016
3153,"Fernando, T. M. K. G.|Maier, H. R.|Dandy, G. C.|Croke, B. F. W.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,Assessing Prediction Uncertainty in the BIGMOD Model: A Shuffled Complex Evolution Metropolis Algorithm Approach,2007
3154,"Glass, JP|DeHainaut, S|Forbes, R|Calabrese, EJ|Kostecki, PT|Dragun, J","CONTAMINATED SOILS, SEDIMENTS AND WATER VOLUME 10: SUCCESSES AND CHALLENGES",,A new method of delineating three-dimensional capture zones with models,2006
3166,"Porzycki, Jakub|Lubas, Robert|Mycek, Marcin|Was, Jaroslaw|Was, J|Sirakoulis, GC|Bandini, S",CELLULAR AUTOMATA: 11TH INTERNATIONAL CONFERENCE ON CELLULAR AUTOMATA FOR RESEARCH AND INDUSTRY,,Application of NIST Technical Note 1822 to CA Crowd Dynamics Models Verification and Validation,2014
3176,"Vadali, Monika|Ramachandran, Gurumurthy|Mulhausen, John",JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,,Exposure Modeling in Occupational Hygiene Decision Making,2009
3177,"Woldegiorgis, Befekadu T.|Van Grinensven, Ann|Pereira, Fernando|Bauwens, Willy|Mynett, A",PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS,,SIMPLE CONCEPTUAL WATER QUALITY MODELS,2015
3182,"Pont, U.|Proskurnina, O.|Taheri, M.|Mahdavi, A.|Sommer, B.|Nawara, G.|Adam, G.|Christodoulou, SE|Scherer, R","EWORK AND EBUSINESS IN ARCHITECTURE, ENGINEERING AND CONSTRUCTION",,Acquisition and processing of input data for building certification: An approach to increase the reproducibility of energy certificates,2016
3194,"Pulch, Roland|Michielsen, B|Poirier, ",SCIENTIFIC COMPUTING IN ELECTRICAL ENGINEERING (SCEE 2010),,Modelling and Simulation of Forced Oscillators with Random Periods,2012
3195,"Siddiqui, A. S.|Deb, Tanmoy|Iqbal, Fahad",2015 ANNUAL IEEE INDIA CONFERENCE (INDICON),,Optimal location of FACTS device using Meta Heuristic Search Algorithm,2015
3206,"Ekwevugbe, Tobore|Brown, Neil|Pakka, Vijay|Fan, Denis",2013 7TH IEEE INTERNATIONAL CONFERENCE ON DIGITAL ECOSYSTEMS AND TECHNOLOGIES (DEST),,Real-time Building Occupancy Sensing Using Neural-Network Based Sensor Network,2013
3208,"Han, Huiqing|Dong, Yuxiang",WATER POLICY,,"Spatio-temporal variation of water supply in Guizhou Province, China",2017
3209,"Gao, Wei|Song, Chongmin|Tin-Loi, Francis",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,,Probabilistic Interval Response and Reliability Analysis of Structures with A Mixture of Random and Interval Properties,2009
3212,"Mu, YK|Cheng, AHD|Badiey, M|Abousleiman, Y|Brebbia, CA|Cheng, AHD",COMPUTER METHODS AND WATER RESOURCES IV,,Water wave driven seepage flux in sea bottom sediment,2000
3218,"Bollen, Johannes|van der Zwaan, Bob|Brink, Corjan|Eerens, Hans",RESOURCE AND ENERGY ECONOMICS, (C) 2009 Elsevier B.V. All rights reserved.,Local air pollution and global climate change: A combined cost-benefit analysis,2009
3220,"Yu, Sheng|Berry, Damon|Bisbal, Jesus|Olive, M|Solomonides, T",2011 24TH INTERNATIONAL SYMPOSIUM ON COMPUTER-BASED MEDICAL SYSTEMS (CBMS),,Performance analysis and assessment of a tf-idf based Archetype-SNOMED-CT binding algorithm,2011
3232,"Saeidi, Rahim|Alku, Paavo","16TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2015), VOLS 1-5",,Accounting For Uncertainty of i-vectors in Speaker Recognition Using Uncertainty Propagation and Modified Imputation,2015
3235,"Kang, Yu|Yin, Baoqun|Shang, Weike|Xi, Hongsheng",2011 9TH WORLD CONGRESS ON INTELLIGENT CONTROL AND AUTOMATION (WCICA 2011),,Performance Sensitivity Analysis and Optimization for a Class of Countable Semi-Markov Decision Processes,2011
3237,"Shaw, Duncan|Blundell, Neil","PROCEEDINGS OF THE 12TH INTERNATIONAL CONFERENCE ON ENVIRONMENTAL REMEDIATION AND RADIOACTIVE WASTE MANAGEMENT 2009, VOL 1",,WASAN: A METHODOLOGY FOR ANALYSING WASTE MINIMISATION,2010
3248,"Datar, M.|Negrut, D.|Gorsich, D.|Lamb, D.","PROCEEDINGS OF ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, VOL 4, PTS A-C",,A FRAMEWORK FOR UNCERTAINTY QUANTIFICATION IN NONLINEAR MULTI-BODY SYSTEM DYNAMICS,2010
3259,"Kampa, D.|Meyer, J.|Mullins, B.|Kasper, G.|Anderssen, RS|Braddock, RD|Newham, LTH",18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,A Model for Steady-State Oil Transport and Saturation in a Mist Filter,2009
3261,"Hsu, Shaohua Marko|Ni, Chuen-Fa|Liu, Chien-Jung|Zhaoyin, W|Lee, JHW|Jizhang, G|Shuyou, C","PROCEEDINGS OF THE 35TH IAHR WORLD CONGRESS, VOLS III AND IV",,"Concept of Sustainable Groundwater Resources in Feng-Lin Areaby Simulating Hua-Lien River Basin, Taiwan, China",2013
3271,"Arrigoni, A.|Collatina, D.|Zucchinelli, M.|Dotelli, G.|Habert, G|Schlueter, A",EXPANDING BOUNDARIES: SYSTEMS THINKING IN THE BUILT ENVIRONMENT,,THE ENVIRONMENTAL RELEVANCE OF THE CONST RUCTION AND END-OFLIFE PHASES OF A BUILDING: A TEMPORARY STRUCTURE LCA CASE STUDY,2016
3273,"Ye, Bojia|Wang, Zhaohui|Tian, Yong|Wan, Lili",2017 IEEE/SICE INTERNATIONAL SYMPOSIUM ON SYSTEM INTEGRATION (SII),,Aircraft-specific Trajectory Optimization of Continuous Descent Approach for Fuel Savings,2017
3280,"Mita, A.|Qian, Y. Y.|Ou, JP|Li, H|Duan, ZD","STRUCTURAL HEALTH MONITORING AND INTELLIGENT INFRASTRUCTURE, VOLS 1 AND 2",,Qualitative and quantitative damage detection algorithm for structures using pattern classification and sensitivity analysis,2006
3286,"Giltrap, D. L.|Thakur, K. P.|Ausseil, A. -G.|Chan, F|Marinova, D|Anderssen, RS",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),,Sensitivity analysis of emission factors for regional-scale nitrous oxide emissions estimates using NZ-DNDC,2011
3296,"Larkina, Olga|Veremey, EI",2014 INTERNATIONAL CONFERENCE ON COMPUTER TECHNOLOGIES IN PHYSICAL AND ENGINEERING APPLICATIONS (ICCTPEA),,The Analyses of 2-D EM Cloaking Problem,2014
3304,"Zhan, F. B.",INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND ENVIRONMENTAL ENGINEERING (CSEE 2015),,Toward an Integrated Biomass Assessment in China,2015
3307,"van der Spoel, WH|van der Pal, M|McLaughlin, JP|Simopoulos, SE|Steinhausler, F",NATURAL RADIATION ENVIRONMENT VII,,Sensitivity analysis of an improved method for measuring the radon diffusion coefficient of porous materials,2005
3309,"Aziz, M. A.|Imteaz, M. A.|Samsuzzoha, M.|Piantadosi, J|Anderssen, RS|Boland, J",20TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2013),,Sensitivity analysis for a proposed sewer overflow screening device,2013
3318,"Hanif, M.|Abu Bakar, M. S.|Mahlia, T. M. I.",WASTE MANAGEMENT,,Techno-economic and sensitivity analysis of bioethanol production from rice straw in Malaysia,2017
3321,"Uittenbogaard, R|Klopman, G|Hanson, H|Larson, M",COASTAL DYNAMICS '01: PROCEEDINGS,,Numerical simulation of wave-current driven sediment transport,2001
3322,"Rush, Scott A.|Romito, Tom|Robison, Terry L.",URBAN ECOSYSTEMS,,Avian diversity in a suburban park system: current conditions and strategies for dealing with anticipated change,2014
3330,"Lee, Kun Chang|Choi, Do Young|Nguyen, NT|Kim, CG|Janiak, A","INTELLIGENT INFORMATION AND DATABASE SYSTEMS, ACIIDS 2011, PT II",,A Bayesian Network-Based Management of Individual Creativity: Emphasis on Sensitivity Analysis with TAN,2011
3331,"Rawat, Satyaveer Singh|Das, Debapriya",2015 ANNUAL IEEE INDIA CONFERENCE (INDICON),,Optimum Placement and Sizing of DGs Using Analytical Method for Different Types of Loads,2015
3338,"Walker, R. Villarroel|Beck, M. B.",URBAN ECOSYSTEMS,,Understanding the metabolism of urban-rural ecosystems A multi-sectoral systems analysis,2012
3340,"Vaze, J.|Teng, J.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,Impact of DEM Resolution on Topographic Indices and Hydrological Modelling Results,2007
3346,"Perraud, J. -M|Kuczera, G.|Bridgart, R. J.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,Towards a Software Architecture to Facilitate Multiple Runs of Simulation Models,2007
3350,"Taugourdeau, O.|Barczi, J. F.|Caraglio, Y.|Kang, M|Dumont, Y|Guo, Y","2012 IEEE FOURTH INTERNATIONAL SYMPOSIUM ON PLANT GROWTH MODELING, SIMULATION, VISUALIZATION AND APPLICATIONS (PMA)",,Simulation of Morphogenetical Gradients Using a Minimal Functional-Structural Plant Model (FSPM),2012
3352,"Iadevaia, M|Moens, |Sas, P","IMAC-XVIII: A CONFERENCE ON STRUCTURAL DYNAMICS, VOLS 1 AND 2, PROCEEDINGS",,Analytical sea for interior noise prediction and control using operational measurements,2000
3371,"Fitamo, Daniel|Lodisso, Tsegaye|Sorsa, Solomon|Deribe, Ermias|Lemma, Bekele|Belay, Gurja|Tadesse, Sisay",INTERNATIONAL JOURNAL OF ECOSYSTEMS AND ECOLOGY SCIENCE-IJEES,,"HEAVY METAL AND METALLOID UPTAKE IN FORAGE PLANTS GROWN ON WASTEWATER CONTAMINATED VERTISOL AND FLUVISOL IN AKAKI, ETHIOPIA: A FIELD EXPERIMENT",2016
3374,"Naz, Aliya|Mishra, Brijesh Kumar|Gupta, Sunil Kumar",EXPOSURE AND HEALTH,,"Human Health Risk Assessment of Chromium in Drinking Water: A Case Study of Sukinda Chromite Mine, Odisha, India",2016
3382,"Ellis, R. J.|Doherty, J.|Searle, R. D.|Moodie, K.|Anderssen, RS|Braddock, RD|Newham, LTH",18TH WORLD IMACS CONGRESS AND MODSIM09 INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,Applying PEST (Parameter ESTimation) to improve parameter estimation and uncertainty analysis in WaterCAST models,2009
3386,"Silva, Filipe|Cortez, Paulo|Cadavez, Vasco|Cadavez, |Thiel, D",6TH INTERNATIONAL CONFERENCE ON SIMULATION AND MODELLING IN THE FOOD AND BIO-INDUSTRY (FOODSIM 2010),,"USING MULTIPLE REGRESSION, NEURAL NETWORKS AND SUPPORT VECTOR MACHINES TO PREDICT LAMB CARCASSES COMPOSITION",2010
3398,"Murcia, Melisa|Rivera, Maria J.|Akhavan-Tabatabaei, Raha|Sarmiento, Olga L.|Tolk, A|Yilmaz, L|Diallo, SY|Ryzhov, IO",PROCEEDINGS OF THE 2014 WINTER SIMULATION CONFERENCE (WSC),,A DISCRETE-EVENT SIMULATION MODEL TO ESTIMATE THE NUMBER OF PARTICIPANTS IN THE CICLOVIA PROGRAM OF BOGOTA,2014
3399,"Bhargava, Ashish|Soni, Durgesh Kumar|Jain, Palash|Dhar, Joydip",2016 5TH INTERNATIONAL CONFERENCE ON RECENT TRENDS IN INFORMATION TECHNOLOGY (ICRTIT),,Dynamics of Attack of Malicious Codes on the Targeted Network: Effect of Firewall,2016
3403,"Venkatesha, S.|Rajender, R.|Manohar, C. S.",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,,Inverse Sensitivity Analysis of Singular Solutions of FRF matrix in Structural System Identification,2008
3405,"Alahmadi, Amani A.|Alamri, Taghreed M.|Hosny, Manar I.",2014 SCIENCE AND INFORMATION CONFERENCE (SAI),,Time Efficient Demon Algorithm for Graph Coloring with Search Cut-off Property,2014
3408,"Dudenhoeffer, Donald|Manic, Milos|Bruzzone, A|Longo, F|Piera, MA|Aguilar, RM|Frydman, C",EMSS 2008: 20TH EUROPEAN MODELING AND SIMULATION SYMPOSIUM,,FUZZY SIMULATION FOR INFRASTRUCTURE EFFECTS UNCERTAINTY ANALYSIS,2008
3410,"Sereno, J. L.|Pereira, J. C. F.",CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,,Uncertainty Quantification of the Interaction of a Vortex Pair With the Ground,2011
3426,"Kim, JG|Hovland, PD|Corliss, G|Faure, C|Griewank, A|Hascoet, L|Naumann, U",AUTOMATIC DIFFERENTIATION OF ALGORITHMS: FROM SIMULATION TO OPTIMIZATION,,Sensitivity analysis and parameter tuning of a sea-ice model,2002
3438,"Alexe, Florin|Cenusa, Victor|Mastorakis, NE|Poulos, M|Mladenov, |Bojkovic, Z|Simian, D|Kartalopoulos, S","PROCEEDINGS OF THE 2ND WSEAS/IASME INTERNATIONAL CONFERENCE ON ENERGY PLANNING, ENERGY SAVING, ENVIRONMENTAL EDUCATION",,"Thermodynamic Processes Irreversibility Influences, on Performances and Design of Helium Joule Cycle for HTGR",2008
3448,"Janicke, L|Janicke, U|Ahrens, D|Hartmann, U|Muller, WJ",ENVIRONMENTAL ODOUR MANAGEMENT,,Development of the odour dispersion model AUSTAL2000G in Germany,2004
3465,"Matthews, C. E.|Wright, L.|Yang, X-S|Pavese, F|Bar, M|Filtz, |Forbes, AB|Pendrill, L|Shirono, K",ADVANCED MATHEMATICAL AND COMPUTATIONAL TOOLS IN METROLOGY AND TESTING IX,,"METROLOGY AND DESIGN WITH CONTINUOUS MODELS: TOOLS FOR OPTIMISATION, SENSITIVITY, AND UNCERTAINTY EVALUATION",2012
3466,"Sagnelli, F.|La Licata, B.|Ruggeri, B.","CONSOIL 2008: THEME D - RISKS & IMPACTS, VOLS 1 AND 2",,SCORING PROCEDURE AND UNCERTAINTY PROPAGATION IN SCENARIO SELECTION,2008
3470,"Babu, K. Suresh|Kumar, R. Sukesh|Ruan, D|DHondt, P|Fantoni, PF|DeCock, M|Nachtegael, M|Kerre, EE",APPLIED ARTIFICIAL INTELLIGENCE,,A Intuitionistic fuzzy feature extraction for query image retrieval from colour images,2006
3477,"Batzias, Dimitris F.|Pollalis, Yannis A.|Simos, TE|Maroulis, G",INTERNATIONAL CONFERENCE OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING 2009 (ICCMSE 2009),,Tracing the Transition Path between Optimal Strategies Combinations within a Competitive Market of Innovative Industrial Products,2012
3490,"Guo, M.|Murphy, R. J.",JOURNAL OF POLYMERS AND THE ENVIRONMENT,,Is There a Generic Environmental Advantage for Starch-PVOH Biopolymers Over Petrochemical Polymers?,2012
3493,"Islam, M. Shafiqul|Sadiq, Rehan|Rodriguez, Manuel J.|Francisque, Alex|Najjaran, Homayoun|Naser, Bahman|Hoorfar, Mina",JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,,Evaluating leakage potential in water distribution systems: a fuzzy-based methodology,2012
3506,"Flach, GP|Crisman, SA|Molz, FJ",GROUND WATER,,Comparison of single-domain and dual-domain subsurface transport models,2004
3511,"Ben-Haim, Gev|Dalyot, Sagi|Doytsher, Yerach",2013 FOURTH INTERNATIONAL CONFERENCE ON COMPUTING FOR GEOSPATIAL RESEARCH AND APPLICATION (COM.GEO),,Geostatistical Approach for Computing Absolute Vertical Accuracy of Digital Terrain Models,2013
3515,"Afshar, Abbas|Mirbabayi, Hediyeh","2011 AASRI CONFERENCE ON ENVIRONMENTAL MANAGEMENT AND ENGINEERING, (AASRI-EME 2011), VOL 1", (C) 2011 Published by American Applied Sciences Research Institute,Municipal Wastewater Treatment Plant Behavior: Sensitivity Analysis,2011
3518,"Davis, PK|Sisti, AF",ENABLING TECHNOLOGY FOR SIMULATION SCIENCE IV,,"Multiresolution, multiperspective modeling (MRMPM) as an enabler of exploratory analysis",2000
3524,"Saracco, P.|Batic, M.|Pia, M. G.|Caruge, D|Calvin, C|Diop, CM|Malvagi, F|Trama, JC",SNA + MC 2013 - JOINT INTERNATIONAL CONFERENCE ON SUPERCOMPUTING IN NUCLEAR APPLICATIONS + MONTE CARLO,,Uncertainty Quantification in Monte Carlo Simulation: Theoretical Foundations and Heuristic Investigations,2014
3527,"Sharma, Prakash|Reddy, Srikanth|Shrivastava, Sandeep|Kumar, Rajesh",2015 ANNUAL IEEE INDIA CONFERENCE (INDICON),,Strategic Plug Load Management System for Smart Buildings with Rooftop Photovoltaic System,2015
3528,"Nash, DL|Tait, L","15TH ANNUAL NATIONAL CONFERENCE ON BEACH PRESERVATION TECHNOLOGY, PROCEEDINGS",,Municipality dune vegetation production: An innovative approach,2002
3531,"Blakers, R. S.|Norton, J. P.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,Efficient Investigation of the Feasible Parameter Set for Large Models,2007
3538,"Zhang, QJ|Sawatzky, RP|Wallace, ED|London, MJ|Stanley, SJ",JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE,,Artificial neural network modelling of oil sands extraction processes,2004
3548,"Ristow, NE|Hansford, GS",WATER SA,,Modelling of a falling sludge bed reactor using AQUASIM,2001
3560,"Collins, Adrian L.|Walling, Desmond E.|Rowan, JS|Duck, RW|Werritty, A",SEDIMENT DYNAMICS AND THE HYDROMORPHOLOGY OF FLUVIAL SYSTEMS,,Investigating the remobilization of fine sediment stored on the channel bed of lowland permeable catchments in the UK,2006
3563,"Johnson, K|Lemcke, P|Karunasena, W|Sivakugan, N","MODSIM 2003: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION, VOLS 1-4",,Modelling the response of deep foundations under oblique loading,2003
3564,"Nikolaou, A.|Diakoulaki, D.|Lekkas, TD","PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND TECHNOLOGY, VOL B, POSTER PRESENTATIONS",,Life cycle assessment of a bio-electricity system in greece,2003
3572,"Di Giuseppe, Elisa|Massi, Andrea|D'Orazio, Marco|Ding, L|Fiorito, F|Osmond, P","INTERNATIONAL HIGH-PERFORMANCE BUILT ENVIRONMENT CONFERENCE - A SUSTAINABLE BUILT ENVIRONMENT CONFERENCE 2016 SERIES (SBE16), IHBE 2016", Published by Elsevier Ltd.,Probabilistic Life Cycle Cost analysis of building energy efficiency measures: selection and characterization of the stochastic inputs through a case study,2017
3575,"Baron, C|Geffroy, JC|Zamilpa, C|Moller, DPF",SIMULATION IN INDUSTRY'2000,,Genetic identification of evolutive systems - Some experiments,2000
3583,"Stamou, A.|Politis, M.|Xanthopoulou, I.|Lekkas, TD","PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON ENVIRONMENTAL SCIENCE AND TECHNOLOGY, VOL A - ORAL PRESENTATIONS, PTS A AND B", (c) The formulation of guidelines for DBA studies at national level is required.,The importance of dam break analysis in environmental impact studies for dams,2005
3585,"Faivre, Gaelle|Burston, Joanna|Ware, Dan|Tomlinson, Rodger|Weber, T|McPhee, MJ|Anderssen, RS",21ST INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2015),,Queensland Storm Surge Forecasting Model Design Using Sensitivity Analysis,2015
3598,"Uspuras, E|Simaityte, J|Brebbia, CA",RISK ANALYSIS III,,Kaunas dam overtopping probability estimation,2002
3602,"Bhushan, Bharat|Pal, Ajay|Kumar, Satish|Rajesh, |Singh, Archana",JOURNAL OF ENVIRONMENTAL BIOLOGY,,Evaluation of post-germinative lipid peroxidation and enzymatic antioxidant potential in lead absorbing oat (Avena sativa) seedlings,2015
3605,"Coultas, E. H.|Maheepala, S.|Mirza, F.|Chan, F|Marinova, D|Anderssen, RS",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),,Towards the quantification of water quantity and quality impacts of rainwater tanks in South East Queensland,2011
3609,"Wu, Jianfeng|Wu, Jichun|Zhu, Xiaobin|Wang, YX|Ge, S|Hill, MC|Zheng, CM",CALIBRATION AND RELIABILITY IN GROUNDWATER MODELLING: MANAGING GROUNDWATER AND THE ENVIRONMENT,,Estimation of the leak term and sensitivity analysis at a LUST groundwater system under data scarcity,2011
3612,"Abbaspour, K. C.|Vejdani, M.|Haghighat, S.|Oxley, L|Kulasiri, D",MODSIM 2007: INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION,,SWAT-CUP Calibration and Uncertainty Programs for SWAT,2007
3636,"Syn, Wendy Tan Wei|How, Bong Chih","PROCEEDINGS 5TH IEEE INTERNATIONAL CONFERENCE ON CONTROL SYSTEM, COMPUTING AND ENGINEERING (ICCSCE 2015)",,CompUX(LSA): A Computational Model in Predicting User Experience from Reviews using Latent Semantic Analysis,2015
3638,"Wang, Shiyan|Ellett, Kevin M.|Ardekani, Arezoo M.|Dixon, T|Laloui, L|Twinning, S","13TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES, GHGT-13", Published by Elsevier Ltd.,Assessing the utility of high-level CO2 storage and utilization resource estimates for CCS system modelling,2017
3646,"Khan, R. A.|Ahmad, S.",PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING,,Safety of a deep water marine riser under random loads,2007
3649,"Zablocka-Malicka, Monika|Szczepaniak, Wlodzimierz|Zielinska, Amelia|Rutkowski, Piotr",ECOLOGICAL CHEMISTRY AND ENGINEERING S-CHEMIA I INZYNIERIA EKOLOGICZNA S,,STEAM GASIFICATION OF OAT WITH CONVERSION OF TARS ON CLAY CATALYST AND GAS CLEANING BY CONDENSATION OF STEAM,2016
3653,"Li Guirong, |Zhao Baoping, |Hu Yuegao, |Cheng Fangmin, |Zeng Zhaohai, |Zhao Ningchun, |Hu, YG|Huang, GH|Li, ZH","PRINCIPLES AND PRACTICES OF DESERTIFICATION CONTROL, VOL I",,Effect of irrigation regimes on concentrations of phytic acid and minerals in hulled and naked oats,2007
3658,"Andronopoulos, Spyros|Sfetsos, Athanasios|Vlachogiannis, Diamando|Yiotis, Andreas|Gounaris, Nikolaos",INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION,,Application of adjoint CMAQ chemical transport model in the Athens greater area: sensitivities study on ozone concentrations,2011
