,AU,SO,copyright,title,year
128,"Finsterle, S|Commer, M|Edmiston, JK|Jung, Y|Kowalsky, MB|Pau, GSH|Wainwright, HM|Zhang, Y",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,iTOUGH2: A multiphysics simulation-optimization framework for analyzing subsurface systems,2017
129,"Astaraie-Imani, M|Kapelan, Z|Fu, GT|Butler, D",JOURNAL OF ENVIRONMENTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,Assessing the combined effects of urbanisation and climate change on the river water quality in an integrated urban wastewater system in the UK,2012
130,"Moreau, P|Viaud, V|Parnaudeau, V|Salmon-Monviola, J|Durand, P",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,An approach for global sensitivity analysis of a complex environmental model to spatial inputs and parameters: A case study of an agro-hydrological model,2013
131,"Zhou, CC|Lu, ZZ|Zhang, LG|Hu, JX",APPLIED MATHEMATICAL MODELLING, (C) 2014 Elsevier Inc. All rights reserved.,Moment independent sensitivity analysis with correlations,2014
132,"Wentworth, MT|Smith, RC|Banks, HT",SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION,,Parameter Selection and Verification Techniques Based on Global Sens Analysis Illustrated for an HIV Model,2016
133,"Menz, WJ|Brownbridge, GPE|Kraft, M",JOURNAL OF AEROSOL SCIENCE, Elsevier Ltd. All rights reserved.,Global sensitivity analysis of a model for silicon nanoparticle synthesis,2014
134,"Minunno, F|van Oijen, M|Cameron, DR|Cerasoli, S|Pereira, JS|Tome, M",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Using a Bayesian framework and global sensitivity analysis to identify strengths and weaknesses of two process-based models differing in representation of autotrophic respiration,2013
135,"Liang, H|Qi, ZM|DeJonge, KC|Hu, KL|Li, BG",COMPUTERS AND ELECTRONICS IN AGRICULTURE, (c) 2017 Elsevier B.V. All rights reserved.,Global sensitivity and uncertainty analysis of nitrate leaching and crop yield simulation under different water and nitrogen management practices,2017
136,"Huang, Y|Duan, HF|Zhao, M|Zhang, QZ|Zhao, HB|Zhang, K",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT, (C) 2017 American Society of Civil Engineers.,Probabilistic Analysis and Evaluation of Nodal Demand Effect on Transient Analysis in Urban Water Distribution Systems,2017
137,"Kumar, JV|Kumar, DMV|Edukondalu, K",APPLIED SOFT COMPUTING, (C) 2012 Elsevier B. V. All rights reserved.,Strategic bidding using fuzzy adaptive gravitational search algorithm in a pool based electricity market,2013
138,"Sweetapple, C|Fu, GT|Butler, D",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Identifying sensitive sources and key control handles for the reduction of greenhouse gas emissions from wastewater treatment,2014
139,"Bababdani, BM|Mousavi, M",CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS, (C) 2013 Elsevier B.V. All rights reserved.,"Gravitational search algorithm: A new feature selection method for QSAR study of anticancer potency of imidazo[4,5-b]pyridine derivatives",2013
140,"He, XD|Gou, WX|Liu, YS|Gao, ZZ",MATHEMATICAL PROBLEMS IN ENGINEERING,,A Practical Method of Nonprobabilistic Reliability and Parameter Sensitivity Analysis Based on Space-Filling Design,2015
141,"Liu, XY|Zhao, YC|Shi, XZ|Liu, Y|Wang, SH|Yu, DS",JOURNAL OF SOILS AND SEDIMENTS,,Sensitivity and uncertainty analysis of CENTURY-modeled SOC dynamics in upland soils under different climate-soil-management conditions: a case study in China,2017
142,"Li, HY|Tian, Q|Wang, XJ|Wu, YN",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2014 American Society of Civil Engineers.,Multivariate Coupling Sensitivity Analysis Method Based on a Back-Propagation Network and Its Application,2015
143,"Han, XH|Quan, L|Xiong, XY|Wu, B",ENGINEERING WITH COMPUTERS,,Diversity enhanced and local search accelerated gravitational search algorithm for data fitting with B-splines,2015
144,"Pudleiner, D|Colton, J",BUILDING AND ENVIRONMENT, Elsevier Ltd. All rights reserved.,Using sensitivity analysis to improve the efficiency of a Net-Zero Energy vaccine warehouse design,2015
145,"Vandenberghe, V|Bauwens, W|Vanrollegem, PA",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Evaluation of uncertainty propagation into river water quality predictions to guide future monitoring campaigns,2007
146,"Vogel, LE|Makowski, D|Garnier, P|Vieuble-Gonod, L|Coquet, Y|Raynaud, X|Nunan, N|Chenu, C|Falconer, R|Pot, V",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Modeling the effect of soil meso- and macropores topology on the biodegradation of a soluble carbon substrate,2015
147,"Wainwright, HM|Finsterle, S|Jung, YJ|Zhou, QL|Birkholzer, JT",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Making sense of global sensitivity analyses,2014
148,"Rafe, V|Moradi, M|Yousefian, R|Nikanjam, A",APPLIED SOFT COMPUTING, (C) 2015 Elsevier B.V. All rights reserved.,A meta-heuristic solution for automated refutation of complex software systems specified through graph transformations,2015
149,"Lu, T|Zhu, J",APPLIED SOFT COMPUTING, (C) 2012 Elsevier B. V. All rights reserved.,A genetic algorithm for finding a path subject to two constraints,2013
150,"Tarantola, S|Giglioli, N|Jesinghaus, J|Saltelli, A",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Can global sensitivity analysis steer the implementation of models for environmental assessments and decision-making?,2002
151,"Da Veiga, S",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Global sensitivity analysis with dependence measures,2015
152,"Raleigh, MS|Lundquist, JD|Clark, MP",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Exploring the impact of forcing error characteristics on physically based snow simulations within a global sensitivity analysis framework,2015
153,"Fu, GT|Kapelan, Z|Reed, P",JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT-ASCE, (C) 2012 American Society of Civil Engineers.,Reducing the Complexity of Multiobjective Water Distribution System Optimization through Global Sensitivity Analysis,2012
154,"Rojas, J|Zhelev, T",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Energy efficiency optimisation of wastewater treatment: Study of ATAD,2012
155,"Martinez, G|Pachepsky, YA|Whelan, G|Yakirevich, AM|Guber, A|Gish, TJ",ENVIRONMENT INTERNATIONAL, Published by Elsevier Ltd,Rainfall-induced fecal indicator organisms transport from manured fields: Model sensitivity analysis,2014
156,"Chen, HL|Ding, GP|Han, WS|Kim, KY|Park, E",WATER RESOURCES RESEARCH,,Multispecies transport coupled to a first-order reaction network in a double-domain medium,2012
157,"Zhang, C|Chu, JG|Fu, GT",JOURNAL OF HYDROLOGY, (C) 2012 Elsevier B.V. All rights reserved.,"Sobol''s sensitivity analysis for a distributed hydrological model of Yichun River Basin, China",2013
158,"Mo, SX|Lu, D|Shi, XQ|Zhang, GN|Ye, M|Wu, JF|Wu, JC",WATER RESOURCES RESEARCH,,A Taylor Expansion-Based Adaptive Design Strategy for Global Surrogate Modeling With Applications in Groundwater Modeling,2017
159,"Pistikopoulos, EN|Diangelakis, NA",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,"Towards the integration of process design, control and scheduling: Are we getting closer?",2016
160,"Dai, ZX|Viswanathan, H|Middleton, R|Pan, F|Ampomah, W|Yang, CB|Jia, W|Xiao, T|Lee, SY|McPherson, B|Balch, R|Grigg, R|White, M",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,CO2 Accounting and Risk Analysis for CO2 Sequestration at Enhanced Oil Recovery Sites,2016
161,"Ratto, M",COMPUTATIONAL ECONOMICS,,Analysing DSGE models with global sensitivity analysis,2008
162,"Liang, B|Mahadevan, S",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,ERROR AND UNCERTAINTY QUANTIFICATION AND SENSITIVITY ANALYSIS IN MECHANICS COMPUTATIONAL MODELS,2011
163,"Flores-Alsina, X|Corominas, L|Neumann, MB|Vanrolleghem, PA",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Assessing the use of activated sludge process design guidelines in wastewater treatment plant projects: A methodology based on global sensitivity analysis,2012
164,"Rojas, J|Zhelev, T|Bojarski, AD",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Modelling and sensitivity analysis of ATAD,2010
165,"Gonzalez-Nicolas, A|Bau, D|Cody, BM|Alzraiee, A",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Stochastic and global sensitivity analyses of uncertain parameters affecting the safety of geological carbon storage in saline aquifers of the Michigan Basin,2015
166,"Marrel, A|Perot, N|Mottet, C",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Development of a surrogate model and sensitivity analysis for spatio-temporal numerical simulators,2015
167,"Naji, HR|Sohrabi, M|Rashedi, E",COMPUTING IN SCIENCE & ENGINEERING,,"A High-Speed, Performance-Optimization Algorithm Based on a Gravitational Approach",2012
168,"Ghasemizade, M|Baroni, G|Abbaspour, K|Schirmer, M",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Combined analysis of time-varying sensitivity and identifiability indices to diagnose the response of a complex environmental model,2017
169,"Shahkarami, P|Liu, LC|Moreno, L|Neretnieks, I",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Radionuclide migration through fractured rock for arbitrary-length decay chain: Analytical solution and global sensitivity analysis,2015
170,"Yatheendradas, S|Wagener, T|Gupta, H|Unkrich, C|Goodrich, D|Schaffner, M|Stewart, A",WATER RESOURCES RESEARCH,,Understanding uncertainty in distributed flash flood forecasting for semiarid regions,2008
171,"Cao, LNY|Chen, SC|Fissan, H|Asbach, C|Pui, DYH",JOURNAL OF AEROSOL SCIENCE,,Development of a geometric surface area monitor (GSAM) for aerosol nanoparticles,2017
172,"Marrel, A|Iooss, B|Jullien, M|Laurent, B|Volkova, E",ENVIRONMETRICS," Copyright (C) 2010 John Wiley & Sons, Ltd.",Global sensitivity analysis for models with spatially dependent outputs,2011
173,"Kodaganallur, V|Sen, AK|Mitra, S",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Application of graph search and genetic algorithms for the single machine scheduling problem with sequence-dependent setup times and quadratic penalty function of completion times,2014
174,"Law, EA|Ferraro, PJ|Arcese, P|Bryan, BA|Davis, K|Gordon, A|Holden, MH|Iacona, G|Martinez, RM|McAlpine, CA|Rhodes, JR|Sze, JS|Wilson, KA",BIOLOGICAL CONSERVATION,,Projecting the performance of conservation interventions,2017
175,"Roustant, O|Fruth, J|Iooss, B|Kuhnt, S",MATHEMATICS AND COMPUTERS IN SIMULATION, Published by Elsevier B.V. All rights reserved.,Crossed-derivative based sensitivity measures for interaction screening,2014
176,"Chen, GG|Liu, LL|Zhang, ZZ|Huang, SW",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,Optimal reactive power dispatch by improved GSA-based algorithm with the novel strategies to handle constraints,2017
177,"Mohammadi, B",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2015 Elsevier B.V. All rights reserved.,Ensemble Kalman Filters and geometric characterization of sensitivity spaces for uncertainty quantification in optimization,2015
178,"Wang, H|Chen, LM|Ye, F|Chen, L",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Global sensitivity analysis for fiber reinforced composite fiber path based on D-MORPH-HDMR algorithm,2017
179,"Najafzadeh, M|Azamathulla, HM",JOURNAL OF COMPUTING IN CIVIL ENGINEERING, (C) 2014 American Society of Civil Engineers.,Neuro-Fuzzy GMDH to Predict the Scour Pile Groups due to Waves,2015
180,"Makler-Pick, V|Gal, G|Gorfine, M|Hipsey, MR|Carmel, Y",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Sensitivity analysis for complex ecological models - A new approach,2011
181,"Li, CS|Zhou, JZ|Xiao, J|Xiao, H",CHAOS SOLITONS & FRACTALS, Elsevier Ltd. All rights reserved.,Parameters identification of chaotic system by chaotic gravitational search algorithm,2012
182,"Khatibinia, M|Khosravi, S",APPLIED SOFT COMPUTING, (C) 2013 Elsevier B.V. All rights reserved.,A hybrid approach based on an improved gravitational search algorithm and orthogonal crossover for optimal shape design of concrete gravity dams.,2014
183,"Pau, GSH|Zhang, YQ|Finsterle, S|Wainwright, H|Birkholzer, J",COMPUTERS & GEOSCIENCES, Published by Elsevier Ltd.,Reduced order modeling in iTOUGH2,2014
184,"Kroll, S|Dirckx, G|Donckels, BMR|Van Dorpe, M|Weemaes, M|Willems, P",WATER SCIENCE AND TECHNOLOGY,,Modelling real-time control of WWTP influent flow under data scarcity,2016
185,"Wang, XD|Yang, M|Zhang, YS|Kiang, M",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,A screening approach for non-parametric global sensitivity analysis,2016
186,"Moro, AM|Brucker, N|Charao, MF|Sauer, E|Freitas, F|Durgante, J|Bubols, G|Campanharo, S|Linden, R|Souza, AP|Bonorino, C|Moresco, R|Pilger, D|Gioda, A|Farsky, S|Duschl, A|Garcia, SC",ENVIRONMENTAL RESEARCH, (C) 2014 Elsevier Inc. All rights reserved.,Early hematological and immunological alterations in gasoline station attendants exposed to benzene,2015
187,"Volkova, E|Iooss, B|Van Dorpe, F",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,"Global sensitivity analysis for a numerical model of radionuclide migration from the RRC ""Kurchatov Institute"" radwaste disposal site",2008
188,"Wang, XD|Chen, XP",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Symmetrical design for symmetrical global sensitivity analysis of model output,2017
189,"Herman, JD|Kollat, JB|Reed, PM|Wagener, T",HYDROLOGY AND EARTH SYSTEM SCIENCES,,From maps to movies: high-resolution time-varying sensitivity analysis for spatially distributed watershed models,2013
190,"Zadeh, FK|Nossent, J|Sarrazin, F|Pianosi, F|van Griensven, A|Wagener, T|Bauwens, W",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Comparison of variance-based and moment-independent global sensitivity analysis approaches by application to the SWAT model,2017
191,"Miro, S|Konig, M|Hartmann, D|Schanz, T",COMPUTERS AND GEOTECHNICS, Elsevier Ltd. All rights reserved.,A probabilistic analysis of subsoil parameters uncertainty impacts on tunnel-induced ground movements with a back-analysis study,2015
192,"Jordehi, AR",APPLIED SOFT COMPUTING, (C) 2014 Elsevier B.V. All rights reserved.,Chaotic bat swarm optimisation (CBSO),2015
193,"Tian, SY|Youssef, MA|Amatya, DM|Vance, ED",HYDROLOGICAL PROCESSES," Copyright (C) 2013 John Wiley & Sons, Ltd.","Global sensitivity analysis of DRAINMOD-FOREST, an integrated forest ecosystem model",2014
194,"Dai, H|Chen, XY|Ye, M|Song, XH|Zachara, JM",WATER RESOURCES RESEARCH,,A geostatistics-informed hierarchical sensitivity analysis method for complex groundwater flow and transport modeling,2017
195,"El Habachi, A|Moissenet, F|Duprey, S|Cheze, L|Dumas, R",MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,,Global sensitivity analysis of the joint kinematics during gait to the parameters of a lower limb multi-body model,2015
196,"Decostere, B|De Craene, J|Van Hoey, S|Vervaeren, H|Nopens, I|Van Hulle, SWH",CHEMICAL ENGINEERING JOURNAL, (C) 2015 Elsevier B.V. All rights reserved.,Validation of a microalgal growth model accounting with inorganic carbon and nutrient kinetics for wastewater treatment,2016
197,"Chhatre, S|Francis, R|Newcombe, AR|Zhou, Y|Titchener-Hooker, N|King, J|Keshavarz-Moore, E",JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY, (c) 2007 Society of Chemical Industry.,Global sensitivity analysis for the determination of parameter importance in the chromatographic purification of polyclonal antibodies,2008
198,"Mara, TA|Belfort, B|Fontaine, V|Younes, A",ENVIRONMENTAL MODELLING & SOFTWARE, (C) 2016 Published by Elsevier Ltd.,Addressing factors fixing setting from given data: A comparison of different methods,2017
199,"Ceccato, P|Gobron, N|Flasse, S|Pinty, B|Tarantola, S",REMOTE SENSING OF ENVIRONMENT,,Designing a spectral index to estimate vegetation water content from remote sensing data: Part 1 - Theoretical approach,2002
200,"Gonzalez, PB|Aguilera-Benavente, F|Gomez-Delgado, M",ENVIRONMENTAL MODELLING & SOFTWARE," Elsevier Ltd. All rights reserved,",Partial validation of cellular automata based model simulations of urban growth: An approach to assessing factor influence using spatial methods,2015
201,"Fajraoui, N|Ramasomanana, F|Younes, A|Mara, TA|Ackerer, P|Guadagnini, A",WATER RESOURCES RESEARCH,,Use of global sensitivity analysis and polynomial chaos expansion for interpretation of nonreactive transport experiments in laboratory-scale porous media,2011
202,"Avagliano, S|Parrella, L",ENVIRONMENTAL MODELING & ASSESSMENT,,Managing Uncertainty in Risk-Based Corrective Action Design: Global Sensitivity Analysis of Contaminant Fate and Exposure Models Used in the Dose Assessment,2009
203,"Ahmad, A|El-Shafie, A|Razali, SFM|Mohamad, ZS",WATER RESOURCES MANAGEMENT,,Reservoir Optimization in Water Resources: a Review,2014
204,"Chu, J|Zhang, C|Fu, G|Li, Y|Zhou, H",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Improving multi-objective reservoir operation optimization with sensitivity-informed dimension reduction,2015
205,"Garambois, PA|Roux, H|Larnier, K|Labat, D|Dartus, D",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Characterization of catchment behaviour and rainfall selection for flash flood hydrological model calibration: catchments of the eastern Pyrenees,2015
206,"Hu, XC|Pedrycz, W|Wang, XM",APPLIED SOFT COMPUTING, (C) 2016 Elsevier B.V. All rights reserved.,Optimal allocation of information granularity in system modeling through the maximization of information specificity: A development of granular input space,2016
207,"Lee, HS|Im, W",JOURNAL OF CHEMICAL INFORMATION AND MODELING,,Ligand Binding Site Detection by Local Structure Alignment and Its Performance Complementarity,2013
208,"Niu, MF|Sun, SL|Wu, J|Yu, L|Wang, JZ",APPLIED MATHEMATICAL MODELLING, (C) 2015 Elsevier Inc. All rights reserved.,An innovative integrated model using the singular spectrum analysis and nonlinear multi-layer perceptron network optimized by hybrid intelligent algorithm for short-term load forecasting,2016
209,"Koks, EE|Bockarjova, M|de Moel, H|Aerts, JCJH",RISK ANALYSIS,,Integrated Direct and Indirect Flood Risk Modeling: Development and Sensitivity Analysis,2015
210,"Dale, AP|Vella, K|Pressey, RL|Brodie, J|Gooch, M|Potts, R|Eberhard, R",JOURNAL OF ENVIRONMENTAL MANAGEMENT, Elsevier Ltd. All rights reserved.,Risk analysis of the governance system affecting outcomes in the Great Barrier Reef,2016
211,"He, L|Huang, GD|Lu, HW|Wang, S|Xu, Y",JOURNAL OF HAZARDOUS MATERIALS, (C) 2012 Elsevier B.V. All rights reserved.,Quasi-Monte Carlo based global uncertainty and sensitivity analysis in modeling free product migration and recovery from petroleum-contaminated aquifers,2012
212,"Pau, GSH|Zhang, YQ|Finsterle, S",COMPUTATIONAL GEOSCIENCES,,Reduced order models for many-query subsurface flow applications,2013
213,"Cucurachi, S|Borgonovo, E|Heijungs, R",RISK ANALYSIS,,A Protocol for the Global Sensitivity Analysis of Impact Assessment Models in Life Cycle Assessment,2016
214,"Amiri, E|Mahmoudi, S",APPLIED SOFT COMPUTING, (C) 2015 Elsevier B.V. All rights reserved.,Efficient protocol for data clustering by fuzzy Cuckoo Optimization Algorithm,2016
215,"Kiczko, A|Romanowicz, RJ|Osuch, M",PHYSICS AND CHEMISTRY OF THE EARTH, Elsevier Ltd. All rights reserved.,Impact of water management policy on flow conditions in wetland areas,2011
216,"Linhoss, A|Munoz-Carpena, R|Kiker, G|Hughes, D",JOURNAL OF HYDROLOGIC ENGINEERING,,"Hydrologic Modeling, Uncertainty, and Sensitivity in the Okavango Basin: Insights for Scenario Assessment",2013
217,"Sun, Y|Tong, C|Trainor-Guitton, WJ|Lu, C|Mansoor, K|Carroll, SA",INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL, Elsevier Ltd. All rights reserved.,Global sampling for integrating physics-specific subsystems and quantifying uncertainties of CO2 geological sequestration,2013
218,"Sidhu, DS|Dhillon, JS|Kaur, D",MATHEMATICAL PROBLEMS IN ENGINEERING,,Design of Digital IIR Filter with Conflicting Objectives Using Hybrid Gravitational Search Algorithm,2015
219,"Baroni, G|Tarantola, S",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A General Probabilistic Framework for uncertainty and global sensitivity analysis of deterministic models: A hydrological case study,2014
220,"Lin, L|Webster, JR|Hwang, T|Band, LE",WATER RESOURCES RESEARCH,,Effects of lateral nitrate flux and instream processes on dissolved inorganic nitrogen export in a forested catchment: A model sensitivity analysis,2015
221,"Ma, HP|Ye, SG|Simon, D|Fei, MR",SOFT COMPUTING,,Conceptual and numerical comparisons of swarm intelligence optimization algorithms,2017
222,"Read, M|Andrews, PS|Timmis, J|Kumar, V",MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,,Techniques for grounding agent-based simulations in the real domain: a case study in experimental autoimmune encephalomyelitis,2012
223,"Kisekka, I|Migliaccio, KW|Munoz-Carpena, R|Schaffer, B|Khare, Y",HYDROLOGICAL PROCESSES," Copyright (C) 2014 John Wiley & Sons, Ltd.",Modelling soil water dynamics considering measurement uncertainty,2015
224,"Mousivand, A|Menenti, M|Gorte, B|Verhoef, W",REMOTE SENSING OF ENVIRONMENT, (c) 2014 Elsevier Inc. All rights reserved.,Global sensitivity analysis of the spectral radiance of a soil-vegetation system,2014
225,"Linhoss, AC|Munoz-Carpena, R|Kiker, G|Wolski, P",WATER SA,,Reducing uncertainty based on model fitness: Application to a reservoir model,2015
226,"Rohmer, J",NATURAL HAZARDS,,Dynamic sensitivity analysis of long-running landslide models through basis set expansion and meta-modelling,2014
227,"Suryawanshi, A|Ghosh, D",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Reliability based optimization in aeroelastic stability problems using polynomial chaos based metamodels,2016
228,"Beh, EHY|Maier, HR|Dandy, GC",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Scenario driven optimal sequencing under deep uncertainty,2015
229,"Li, Y|Kinzelbach, W|Zhou, J|Cheng, GD|Li, X",HYDROLOGY AND EARTH SYSTEM SCIENCES,,"Modelling irrigated maize with a combination of coupled-model simulation and uncertainty analysis, in the northwest of China",2012
230,"Younes, A|Delay, F|Fajraoui, N|Fahs, M|Mara, TA",JOURNAL OF CONTAMINANT HYDROLOGY, (C) 2016 Elsevier B.V. All rights reserved.,Global sensitivity analysis and Bayesian parameter inference for solute transport in porous media colonized by biofilms,2016
231,"Fraga, I|Cea, L|Puertas, J|Suarez, J|Jimenez, V|Jacome, A",JOURNAL OF HYDROLOGIC ENGINEERING, (C) 2016 American Society of Civil Engineers.,Global Sensitivity and GLUE-Based Uncertainty Analysis of a 2D-1D Dual Urban Drainage Model,2016
232,"Mirhosseini, M|Barani, F|Nezamabadi-pour, H",JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,,QQIGSA: A quadrivalent quantum-inspired GSA and its application in optimal adaptive design of wireless sensor networks,2017
233,"Zhao, J|Fang, YL|Scheibe, TD|Lovley, DR|Mahadevan, R",JOURNAL OF CONTAMINANT HYDROLOGY, (C) 2009 Elsevier B.V. All rights reserved.,Modeling and sensitivity analysis of electron capacitance for Geobacter in sedimentary environments,2010
234,"Chen, HX|Li, P",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,"Optimization of (R, Q) policies for serial inventory systems using the guaranteed service approach",2015
235,"Dahri, N|Abida, H",ENVIRONMENTAL EARTH SCIENCES,,Monte Carlo simulation-aided analytical hierarchy process (AHP) for flood susceptibility mapping in Gabes Basin (southeastern Tunisia),2017
236,"Li, B|Stenstrom, MK",CHEMICAL ENGINEERING JOURNAL, (C) 2015 Elsevier B.V. All rights reserved.,A sensitivity and model reduction analysis of one-dimensional secondary settling tank models under wet-weather flow and sludge bulking conditions,2016
237,"Chen, HL|Ito, Y|Sawamukai, M|Tokunaga, T",NATURAL HAZARDS,,"Flood hazard assessment in the Kujukuri Plain of Chiba Prefecture, Japan, based on GIS and multicriteria decision analysis",2015
238,"Dai, H|Ye, M",JOURNAL OF HYDROLOGY, (C) 2015 Elsevier B.V. All rights reserved.,Variance-based global sensitivity analysis for multiple scenarios and models with implementation using sparse grid collocation,2015
239,"Jin, WZ|Luo, ZJ|Wu, XH",BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT,,Sensitivity analysis of related parameters in simulation of land subsidence and ground fissures caused by groundwater exploitation,2016
240,"Tiede, C|Tiampo, K|Fernandez, J|Gerstenecker, C",NONLINEAR PROCESSES IN GEOPHYSICS,,Deeper understanding of non-linear geodetic data inversion using a quantitative sensitivity analysis,2005
241,"Zhao, J|Tiede, C",NONLINEAR PROCESSES IN GEOPHYSICS,,Using a variance-based sensitivity analysis for analyzing the relation between measurements and unknown parameters of a physical model,2011
242,"Wei, PF|Lu, ZZ|Wu, DQ|Zhou, CC",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Moment-independent regional sensitivity analysis: Application to an environmental model,2013
243,"DeJonge, KC|Ahmadi, M|Ascough, JC|Kinzli, KD",COMPUTERS AND ELECTRONICS IN AGRICULTURE, Published by Elsevier B.V.,Sensitivity analysis of reference evapotranspiration to sensor accuracy,2015
244,"Zaicenco, AG",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2016 John Wiley & Sons, Ltd.",Sparse collocation method for global sensitivity analysis and calculation of statistics of solutions in SPDEs,2017
245,"Haeri, A|Fadaee, MJ",INTERNATIONAL JOURNAL OF COMPUTATIONAL METHODS,,The Gravitational Search Algorithm in Antiresonance Layer Optimization of Laminated Composite Plates,2017
246,"Chen, GG|Liu, LL|Huang, SW",MATHEMATICAL PROBLEMS IN ENGINEERING,,Enhanced GSA-Based Optimization for Minimization of Power Losses in Power System,2015
247,"Hall, JW|Tarantola, S|Bates, PD|Horritt, MS",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,,Distributed sensitivity analysis of flood inundation model calibration,2005
248,"Morin, E|Yakir, H",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,,Hydrological impact and potential flooding of convective rain cells in a semi-arid environment,2014
249,"Zajac, Z|Revilla-Romero, B|Salamon, P|Burek, P|Hirpa, FA|Beck, H",JOURNAL OF HYDROLOGY, Published by Elsevier B.V.,The impact of lake and reservoir parameterization on global streamflow simulation,2017
250,"Pagano, TC|Wang, QJ|Hapuarachchi, P|Robertson, D",JOURNAL OF HYDROLOGY, Crown Copyright (C) 2011 Published by Elsevier B.V. All rights reserved.,A dual-pass error-correction technique for forecasting streamflow,2011
251,"Rahman, I|Vasant, PM|Singh, BSM|Abdullah-Al-Wadud, M",MATHEMATICAL PROBLEMS IN ENGINEERING,,Swarm Intelligence-Based Smart Energy Allocation Strategy for Charging Stations of Plug-In Hybrid Electric Vehicles,2015
252,"Herman, JD|Kollat, JB|Reed, PM|Wagener, T",HYDROLOGY AND EARTH SYSTEM SCIENCES,,Technical Note: Method of Morris effectively reduces the computational demands of global sensitivity analysis for distributed watershed models,2013
253,"Mirjalili, S|Gandomi, AH",APPLIED SOFT COMPUTING, (C) 2017 Elsevier B.V. All rights reserved.,Chaotic gravitational constants for the gravitational search algorithm,2017
254,"Yin, XL|Chen, W|To, A|McVeigh, C|Liu, WK",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2008 Elsevier B.V. All rights reserved.,Statistical volume element method for predicting micro structure-constitutive property relations,2008
