AU,SO,copyright,title,year
"Li, ZJ|Chen, QW|Xu, Q",JOURNAL OF HYDRO-ENVIRONMENT RESEARCH, Published by Elsevier B.V. All rights reserved.,Modeling algae dynamics in Meiliang Bay of Taihu Lake and parameter sensitivity analysis,2015
"Wei, PF|Lu, ZZ|Song, JW",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,A comprehensive comparison of two variable importance analysis techniques in high dimensions: Application to an environmental multi-indicators system,2015
"Politano, M|Castro, A|Hadjerioua, B",JOURNAL OF HYDRAULIC ENGINEERING, (C) 2017 American Society of Civil Engineers.,Modeling Total Dissolved Gas for Optimal Operation of Multireservoir Systems,2017
"Snoek, DJW|Hofstee, JW|den Hollander, AWV|Vernooij, RE|Ogink, NWM|Koerkamp, PWGG",COMPUTERS AND ELECTRONICS IN AGRICULTURE, (C) 2017 Elsevier B.V. All rights reserved.,Quantification of simulated cow urine puddle areas using a thermal IR camera,2017
"Harrison, JA|Frings, PJ|Beusen, AHW|Conley, DJ|McCrackin, ML",GLOBAL BIOGEOCHEMICAL CYCLES,,"Global importance, patterns, and controls of dissolved silica retention in lakes and reservoirs",2012
"Ni, AX|Wang, QQ",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2017 Elsevier Inc. All rights reserved.,Sensitivity analysis on chaotic dynamical systems by Non-Intrusive Least Squares Shadowing (NILSS),2017
"Someya, H|Yamamura, M",SOFT COMPUTING,,A robust real-coded evolutionary algorithm with toroidal search space conversion,2005
"Chen, X|Chen, YD|Xu, CY",HYDROLOGICAL PROCESSES," Copyright (c) 2006 John Wiley & Sons, Ltd.",A distributed monthly hydrological model for integrating spatial variations of basin topography and rainfall,2007
"Su, L|Zhao, CM|Xu, WT|Xie, ZQ",ECOHYDROLOGY," Copyright (C) 2016 John Wiley & Sons, Ltd.",Modelling interception loss using the revised Gash model: a case study in a mixed evergreen and deciduous broadleaved forest in China,2016
"Le Maitre, OP|Najm, HN|Ghanem, RG|Knio, OM",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2004 Elsevier Inc. All rights reserved.,Multi-resolution analysis of Wiener-type uncertainty propagation schemes,2004
"Ghosh, D|Avery, P|Farhat, C",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2009 John Wiley & Son, Ltd",An FETI-preconditioned conjuerate gradient method for large-scale stochastic finite element problems,2009
"Palomar, P|Lara, JL|Losada, IJ|Tarrade, L",DESALINATION AND WATER TREATMENT,,"Numerical modeling of brine discharge: commercial models, MEDVSA online simulation tools and advanced computational fluid dynamics",2013
"Mandal, S|Debnath, M|Ray, S|Ghosh, PB|Roy, M|Ray, S",APPLIED MATHEMATICAL MODELLING, (C) 2011 Elsevier Inc. All rights reserved.,"Dynamic modelling of dissolved oxygen in the creeks of Sagar island, Hooghly-Matla estuarine system, West Bengal, India",2012
"Resmini, A|Peter, J|Lucor, D",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (c) 2015 John Wiley & Sons, Ltd.",Sparse grids-based stochastic approximations with applications to aerodynamics sensitivity analysis,2016
"Parker, GT|Droste, RL|Rennie, CD",WATER ENVIRONMENT RESEARCH,,Stochastic Calibration of Riverine Water Quality Models,2010
"Valery, A|Andreassian, V|Perrin, C",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,'As simple as possible but not simpler': What is useful in a temperature-based snow-accounting routine? Part 2 - Sensitivity analysis of the Cemaneige snow accounting routine on 380 catchments,2014
"Shao, Q|Weatherley, D|Huang, LB|Baumgartl, T",JOURNAL OF HYDROLOGY, (C) 2015 Elsevier B.V. All rights reserved.,RunCA: A cellular automata model for simulating surface runoff at different scales,2015
"Ragettli, S|Pellicciotti, F|Bordoy, R|Immerzeel, WW",WATER RESOURCES RESEARCH,,Sources of uncertainty in modeling the glaciohydrological response of a Karakoram watershed to climate change,2013
"Kleuter, B|Menzel, A|Steinmann, P",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (c) 2007 Elsevier B.V. All rights reserved.,Generalized parameter identification for finite viscoelasticity,2007
"Liu, J|Williams, JR|Wang, XY|Yang, H",ENVIRONMENTAL MODELLING & SOFTWARE, Elsevier Ltd. All rights reserved.,Using MODAWEC to generate daily weather data for the EPIC model,2009
"Seredynski, M|Battaglioli, S|Mooney, RP|Robinson, AJ|Banaszek, J|McFadden, S",INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,,Code-to-code verification of an axisymmetric model of the Bridgman solidification process for alloys,2017
"Soize, C|Farhat, C",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2016 John Wiley & Sons, Ltd.",A nonparametric probabilistic approach for quantifying uncertainties in low-dimensional and high-dimensional nonlinear models,2017
"Trigg, MA|Cook, PG|Brunner, P",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Groundwater fluxes in a shallow seasonal wetland pond: The effect of bathymetric uncertainty on predicted water and solute balances,2014
"Padulo, M|Guenov, MD",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2011 John Wiley & Sons, Ltd.",Worst-case robust design optimization under distributional assumptions,2011
"Nordstrom, J|Wahlsten, M",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2014 Elsevier Inc. All rights reserved.,Variance reduction through robust design of boundary conditions for stochastic hyperbolic systems of equations,2015
"Watts, S|Tortorelli, DA",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,,A geometric projection method for designing three-dimensional open lattices with inverse homogenization,2017
"Koh, G|Lee, DY",COMPUTERS IN BIOLOGY AND MEDICINE, Elsevier Ltd. All rights reserved.,Mathematical modeling and sensitivity analysis of the integrated TNF alpha-mediated apoptotic pathway for identifying key regulators,2011
"Alzbutas, R|Iesmantas, T|Povilaitis, M|Vitkute, J",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,Risk and uncertainty analysis of gas pipeline failure and gas combustion consequence,2014
"Choi, JH|Penmetsa, RC|Grandhi, RV",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Shape optimization of the cavitator for a supercavitating torpedo,2005
"Dussaillant, AR",JOURNAL OF SOIL AND WATER CONSERVATION,,"Estimation of combined splash, interrill, and rill erosion using a hillslope erosion numerical model: An application to dry lands of Chile",2011
"Wang, FY",IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,,An efficient coordinate frame calibration method for 3-D measurement by multiple camera systems,2005
"Lopes, CG|Novotny, AA",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Topology design of compliant mechanisms with stress constraints based on the topological derivative concept,2016
"Zhang, ZW|Ci, ML|Hou, TY",MULTISCALE MODELING & SIMULATION,,A MULTISCALE DATA-DRIVEN STOCHASTIC METHOD FOR ELLIPTIC PDEs WITH RANDOM COEFFICIENTS,2015
"Wilkinson, SK|Turnbull, SA|Yan, Z|Stitt, EH|Marigo, M",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,A parametric evaluation of powder flowability using a Freeman rheometer through statistical and sensitivity analysis: A discrete element method (DEM) study,2017
"Sarma, P|Durlofsky, LJ|Aziz, K|Chen, WH",COMPUTATIONAL GEOSCIENCES,,Efficient real-time reservoir management using adjoint-based optimal control and model updating,2006
"Saxena, P|Liu, CL",IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,,Optimization of the maximum delay of global interconnects during layer assignment,2001
"Subber, W|Loisel, S",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,Schwarz preconditioners for stochastic elliptic PDEs,2014
"Blumberg, AF|Georgas, N",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,,Quantifying uncertainty in estuarine and coastal ocean circulation modeling,2008
"Reeve, ST|Strachan, A",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2016 Elsevier Inc. All rights reserved.,Error correction in multi-fidelity molecular dynamics simulations using functional uncertainty quantification,2017
"Schiavazzi, DE|Arbia, G|Baker, C|Hlavacek, AM|Hsia, TY|Marsden, AL|Vignon-Clementel, IE",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING," Copyright (c) 2015 John Wiley & Sons, Ltd.",Uncertainty quantification in virtual surgery hemodynamics predictions for single ventricle palliation,2016
"Linkov, I|Burmistrov, D",HEALTH PHYSICS,,Reconstruction of doses from radionuclide inhalation for nuclear power plant workers using air concentration measurements and associated uncertainties,2001
"Jung, SH|Hong, JW|Chang, W|Lie, CH",COMPUTERS & INDUSTRIAL ENGINEERING, Elsevier Ltd. All rights reserved.,Quality of service estimation for soft handoff region ratio and call admission control in CDMA cellular systems,2009
"Pedersen, NL",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,On simultaneous shape and orientational design for eigenfrequency optimization,2007
"Bottazzi, F|Della Rossa, E",MATHEMATICAL GEOSCIENCES,,A Functional Data Analysis Approach to Surrogate Modeling in Reservoir and Geomechanics Uncertainty Quantification,2017
"Zhang, B|Liu, XM",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Topology optimization study of arterial bypass configurations using the level set method,2015
"Cross, DM|Canfield, RA",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Local continuum shape sensitivity with spatial gradient reconstruction for nonlinear analysis,2015
"Yang, DH|Yi, TH|Li, HN",COMPUTERS AND CONCRETE,,A performance-based design method for chloride-induced cover cracking of RC structures,2017
"Roos, M|Held, L",BAYESIAN ANALYSIS,,Sensitivity analysis in Bayesian generalized linear mixed models for binary data,2011
"Kaminski, M",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2003 Elsevier Science B.V. All rights reserved.,Sensitivity analysis of homogenized characteristics for some elastic composites,2003
"Di Maggio, J|Ricci, JCD|Diaz, MS",COMPUTERS & CHEMICAL ENGINEERING, Elsevier Ltd. All rights reserved.,Global sensitivity analysis in dynamic metabolic networks,2010
"Diez, M|Campana, EF|Stern, F",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,Design-space dimensionality reduction in shape optimization by Karhunen-Loeve expansion,2015
"Xu, J|Harold, MP|Balakotaiah, V",APPLIED CATALYSIS B-ENVIRONMENTAL, (C) 2008 Elsevier B.V. All rights reserved.,Microkinetic modeling of steady-state NO/H-2/O-2 on Pt/BaO/Al2O3 NOx storage and reduction monolith catalysts,2009
"Compton, BW|McGarigal, K|Cushman, SA|Gamble, LR",CONSERVATION BIOLOGY,,A resistant-kernel model of connectivity for amphibians that breed in vernal pools,2007
"Kasolis, F|Wadbro, E|Berggren, M",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Fixed-mesh curvature-parameterized shape optimization of an acoustic horn,2012
"Doostan, A|Iaccarino, G",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2009 Elsevier Inc. All rights reserved.,A least-squares approximation of partial differential equations with high-dimensional random inputs,2009
"Guo, J|Du, XP",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2009 John Wiley & Sons, Ltd.",Reliability sensitivity analysis with random and interval variables,2009
"Nguyen, HX|Bae, W|Ryoo, WS|Nam, MJ|Tu, TN",ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS,,Application of D-optimal Design for Modeling and Optimization of Operation Conditions in SAGD Process,2014
"Keller, PA",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2001 Elsevier Science B.V. All rights reserved.,Comparison of two inversion techniques of a semi-analytical model for the determination of lake water constituents using imaging spectrometry data,2001
"Pang, G|Perdikaris, P|Cai, W|Karniadakis, GE",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2017 Elsevier Inc. All rights reserved.,Discovering variable fractional orders of advection-dispersion equations from field data using multi-fidelity Bayesian optimization,2017
"Oxberry, GM|Kostova-Vassilevska, T|Arrighi, W|Chand, K",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2016 John Wiley & Sons, Ltd.",Limited-memory adaptive snapshot selection for proper orthogonal decomposition,2017
"Hvejsel, CF|Lund, E|Stolpe, M",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Optimization strategies for discrete multi-material stiffness optimization,2011
"Chantrasmi, T|Iaccarino, G",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,FORWARD AND BACKWARD UNCERTAINTY PROPAGATION FOR DISCONTINUOUS SYSTEM RESPONSE USING THE PADE-LEGENDRE METHOD,2012
"Mathias, SA|McIntyre, N|Oughton, RH",JOURNAL OF HYDROLOGY, (C) 2016 Elsevier B.V. All rights reserved.,A study of non-linearity in rainfall-runoff response using 120 UK catchments,2016
"Li, QY|Pham, H",APPLIED MATHEMATICAL MODELLING, (C) 2017 Elsevier Inc. All rights reserved.,NHPP software reliability model considering the uncertainty of operating environments with imperfect debugging and testing coverage,2017
"Pisaroni, M|Nobile, F|Leyland, P",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2017 Elsevier B.V. All rights reserved.,A Continuation Multi Level Monte Carlo (C-MLMC) method for uncertainty quantification in compressible inviscid aerodynamics,2017
"Reagan, MT|Najm, HN|Debusschere, BJ|Le Maitre, OP|Knio, M|Ghanem, RG",COMBUSTION THEORY AND MODELLING,,Spectral stochastic uncertainty quantification in chemical systems,2004
"Jakeman, JD|Narayan, A|Xiu, DB",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2013 Elsevier Inc. All rights reserved.,Minimal multi-element stochastic collocation for uncertainty quantification of discontinuous functions,2013
"Xu, CG|Gertner, GZ",JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,,Reliability of global sensitivity indices,2011
"Balin, D|Lee, H|Rode, M",WATER RESOURCES RESEARCH,,Is point uncertain rainfall likely to have a great impact on distributed complex hydrological modeling?,2010
"Gilmour, JK|Letcher, RA|Jakeman, A",MATHEMATICS AND COMPUTERS IN SIMULATION, Published by Elsevier B.V. All rights reserved.,Analysis of an integrated model for assessing land and water policy options,2005
"Han, X|Jiang, C|Gong, S|Huang, YH",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2007 John Wiley & Sons, Ltd.",Transient waves in composite-laminated plates with uncertain load and material property,2008
"Tao, S|Yang, Y|Cao, HY|Liu, WX|Coveney, RM|Xu, FL|Cao, J|Li, BG|Wang, XJ|Hu, JY|Fang, JY",ENVIRONMENTAL POLLUTION, Elsevier Ltd. All rights reserved.,Modeling the dynamic changes in concentrations of gamma-hexachlorocyclohexane (gamma-HCH) in Tianjin region from 1953 to 2020,2006
"Goovaerts, P|Semrau, J|Lontoh, S",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Monte Carlo analysis of uncertainty attached to microbial pollutant degradation rates,2001
"Ahmadi, M|Christie, M|Gerritsen, M|Bazargan, H",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS," Copyright (c) 2015 John Wiley & Sons, Ltd.",New hybrid Cartesian cut cell/enriched multipoint flux approximation approach for modelling and quantification of structural uncertainties in petroleum reservoirs,2016
"Sattar, AMA|Gharabaghi, B",JOURNAL OF HYDROLOGY, (C) 2015 Elsevier B.V. All rights reserved.,Gene expression models for prediction of longitudinal dispersion coefficient in streams,2015
"Shen, ZY|Hong, Q|Yu, H",SCIENCE OF THE TOTAL ENVIRONMENT, (C) 2008 Elsevier B.V. All rights reserved.,"Parameter uncertainty analysis of the non-point source pollution in the Daning River watershed of the Three Gorges Reservoir Region, China",2008
"Keum, J|Kaluarachchi, JJ",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,,Calibration and Uncertainty Analysis Using the Sparrow Model for Dissolved-Solids Transport in the Upper Colorado River Basin,2015
"Breinholt, A|Thordarson, FO|Moller, JK|Grum, M|Mikkelsen, PS|Madsen, H",ENVIRONMETRICS," Copyright (C) 2011 John Wiley & Sons, Ltd.",Grey-box modelling of flow in sewer systems with state-dependent diffusion,2011
"Chiodi, M|Adelfio, G",ENVIRONMETRICS," Copyright (C) 2011 John Wiley & Sons, Ltd.",Forward likelihood-based predictive approach for space-time point processes,2011
"Flores-Alsina, X|Saagi, R|Lindblom, E|Thirsing, C|Thornberg, D|Gernaey, KV|Jeppsson, U",WATER RESEARCH, Elsevier Ltd. All rights reserved.,Calibration and validation of a phenomenological influent pollutant disturbance scenario generator using full-scale data,2014
"Ryu, HY|Shoemaker, KT|Kneip, E|Pidgeon, AM|Heglund, PJ|Bateman, BL|Thogmartin, WE|Akcakaya, HR",BIOLOGICAL CONSERVATION, Elsevier Ltd. All rights reserved.,Developing population models with data from marked individuals,2016
"Navarrina, F|Lopez-Fontan, S|Colominas, I|Bendito, E|Casteleiro, M",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2000 Elsevier Science S.A. All rights reserved.,High order shape design sensitivity: a unified approach,2000
"Hamamoto, S|Moldrup, P|Kawamoto, K|Komatsu, T",VADOSE ZONE JOURNAL,,Organic Matter Fraction Dependent Model for Predicting the Gas Diffusion Coefficient in Variably Saturated Soils,2012
"Constantinescu, EM|Anitescu, M",INTERNATIONAL JOURNAL FOR UNCERTAINTY QUANTIFICATION,,PHYSICS-BASED COVARIANCE MODELS FOR GAUSSIAN PROCESSES WITH MULTIPLE OUTPUTS,2013
"Sankaran, S|Grady, L|Taylor, CA",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2015 Elsevier B.V. All rights reserved.,Impact of geometric uncertainty on hemodynamic simulations using machine learning,2015
"Kang, Z|Bai, S",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,On robust design optimization of truss structures with bounded uncertainties,2013
"Zhu, PH|Zhang, LH|Zhou, R|Chen, LH|Yu, B|Xie, QZ",MATHEMATICAL PROBLEMS IN ENGINEERING,,A Novel Sensitivity Analysis Method in Structural Performance of Hydraulic Press,2012
"Silva, CAC|Bittencourt, ML",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,An object-oriented structural optimization program,2000
"Barco, J|Wong, KM|Stenstrom, MK",JOURNAL OF HYDRAULIC ENGINEERING-ASCE,,Automatic calibration of the US EPA SWMM model for a large urban catchment,2008
"Yan, WC|Ong, XJ|Pun, KT|Tan, DY|Sharma, VK|Tong, YW|Wang, CH",CHEMICAL ENGINEERING JOURNAL, (C) 2016 Elsevier B.V. All rights reserved.,Preparation of tPA-loaded microbubbles as potential theranostic agents: A novel one-step method via coaxial electrohydrodynamic atomization technique,2017
"Kim, J|Gobas, FAPC|Arnot, JA|Powell, DE|Seston, RM|Woodburn, KB",SCIENCE OF THE TOTAL ENVIRONMENT, Published by Elsevier B.V.,"Evaluating the roles of biotransformation, spatial concentration differences, organism home range, and field sampling design on trophic magnification factors",2016
"Kim, DM|Nakada, N|Horiguchi, T|Takada, H|Shiraishi, H|Nakasugi, O",MARINE POLLUTION BULLETIN, Elsevier Ltd. All rights reserved.,Numerical simulation of organic chemicals in a marine environment using a coupled 3D hydrodynamic and ecotoxicological model,2004
"Sun, N|Hall, M|Hong, BG|Zhang, LJ",JOURNAL OF HYDROLOGIC ENGINEERING,,"Impact of SWMM Catchment Discretization: Case Study in Syracuse, New York",2014
"Li, SG|Liao, HS|Ni, CF",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Stochastic modeling of complex nonstationary groundwater systems,2004
"McElwee, CD",JOURNAL OF HYDROLOGY, (C) 2002 Elsevier Science B.V. All rights reserved.,Improving the analysis of slug tests,2002
"van Dijk, JWE",RADIATION PROTECTION DOSIMETRY,,Uncertainties in personal dosimetry for external radiation: A Monte Carlo approach,2006
"Jia, WX|Liu, M|Yang, YH|He, HL|Zhu, XD|Yang, F|Yin, C|Xiang, WN",ECOLOGICAL INDICATORS, Elsevier Ltd. All rights reserved.,Estimation and uncertainty analyses of grassland biomass in Northern China: Comparison of multiple remote sensing data sources and modeling approaches,2016
"Edwards, DA",HYDROGEOLOGY JOURNAL,,Effects of parameter error on Cooper-Jacob drawdown estimates,2010
"Kumblad, L|Kautsky, U|Naeslund, B",JOURNAL OF ENVIRONMENTAL RADIOACTIVITY, Elsevier Ltd. All rights reserved.,Transport and fate of radionuclides in aquatic environments - the use of ecosystem modelling for exposure assessments of nuclear facilities,2006
"Milani, R|Quarteroni, A|Rozza, G",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (c) 2008 Elsevier B.V. All rights reserved.,Reduced basis method for linear elasticity problems with many parameters,2008
"Lin, KR|Liu, P|He, YH|Guo, SL",JOURNAL OF HYDROINFORMATICS,,Multi-site evaluation to reduce parameter uncertainty in a conceptual hydrological modeling within the GLUE framework,2014
"Bettebghor, D|Blondeau, C|Toal, D|Eres, H",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Bi-objective optimization of pylon-engine-nacelle assembly: weight vs. tip clearance criterion,2013
"Ko, SS|Kang, J|Kwon, EY",JOURNAL OF INDUSTRIAL AND MANAGEMENT OPTIMIZATION,,"AN (s, S) INVENTORY MODEL WITH LEVEL-DEPENDENT G/M/1-TYPE STRUCTURE",2016
"Girault, R|Rousseau, P|Steyer, JP|Bernet, N|Beline, F",WATER SCIENCE AND TECHNOLOGY,,Combination of batch experiments with continuous reactor data for ADM1 calibration: application to anaerobic digestion of pig slurry,2011
"Roy, T|Serrat-Capdevila, A|Gupta, H|Valdes, J",WATER RESOURCES RESEARCH,,A platform for probabilistic Multimodel and Multiproduct Streamflow Forecasting,2017
"Srinivasan, G|Tartakovsky, DM|Robinson, BA|Aceves, AB",WATER RESOURCES RESEARCH,,Quantification of uncertainty in geochemical reactions,2007
"Long, XY|Jiang, C|Han, X|Gao, W|Bi, RG",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (C) 2014 Elsevier B.V. All rights reserved.,Sensitivity analysis of the scaled boundary finite element method for elastostatics,2014
"Mishra, S|Deeds, N|Ruskauff, G",GROUND WATER,,Global Sensitivity Analysis Techniques for Probabilistic Ground Water Modeling,2009
"Jayakumar, P|Melanz, D|MacLennan, J|Gorsich, D|Senatore, C|Iagnemma, K",JOURNAL OF TERRAMECHANICS, Elsevier Ltd. on behalf of ISTVS.,Scalability of classical terramechanics models for lightweight vehicle applications incorporating stochastic modeling and uncertainty propagation,2014
"Lee, AWC|Rajagopal, V|Gamage, TPB|Doyle, AJ|Nielsen, PMF|Nash, MP",MEDICAL IMAGE ANALYSIS, (C) 2013 Elsevier B.V. All rights reserved.,Breast lesion co-localisation between X-ray and MR images using finite element modelling,2013
"Dai, YT|Yang, C",DISCRETE DYNAMICS IN NATURE AND SOCIETY,,Smolyak-Grid-Based Flutter Analysis with the Stochastic Aerodynamic Uncertainty,2014
"Wan, J|Zabaras, N",JOURNAL OF COMPUTATIONAL PHYSICS, (C) 2014 Elsevier Inc. All rights reserved.,A probabilistic graphical model based stochastic input model construction,2014
"Pedersen, P",COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING, (c) 2006 Elsevier B.V. All rights reserved.,Analytical stiffness matrices for tetrahedral elements,2006
"Blanke, JH|Lindeskog, M|Lindstrom, J|Lehsten, V",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,Effect of climate data on simulated carbon and nitrogen balances for Europe,2016
"Xu, CG|Gertner, G",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2010 Elsevier B.V. All rights reserved.,Understanding and comparisons of different sampling approaches for the Fourier Amplitudes Sensitivity Test (FAST),2011
"Dong, J|Choi, KK|Wang, AM|Zhang, WG|Vlahopoulos, N",INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING," Copyright (C) 2004 John Wiley Sons, Ltd.",Parametric design sensitivity analysis of high-frequency structural-acoustic problems using energy finite element method,2005
"Johansen, L|Lund, E",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Optimization of laminated composite structures using delamination criteria and hierarchical models,2009
"Klarbring, A|Stromberg, N",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,Topology optimization of hyperelastic bodies including non-zero prescribed displacements,2013
"Di Barba, P|Dughiero, F|Sieni, E",COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,,Non-parametric optimal shape design of a magnetic device for biomedical applications,2012
"Santilio, A|Stefanelli, P|Girolimetti, S|Dommarco, R",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,,Determination of acidic herbicides in cereals by QuEChERS extraction and LC/MS/MS,2011
"Wania, F|McLachlan, MS",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Estimating the influence of forests on the overall fate of semivolatile organic compounds using a multimedia fate model,2001
"Wu, SJ|Huang, SR",COMPUTATIONAL STATISTICS & DATA ANALYSIS, (C) 2011 Elsevier B.V. All rights reserved.,Progressively first-failure censored reliability sampling plans with cost constraint,2012
"Tian, LF|Lu, ZZ|Hao, WR",APPLIED MATHEMATICAL MODELLING, (C) 2012 Elsevier Inc. All rights reserved.,Moving least squares based sensitivity analysis for models with dependent variables,2013
"Larour, E|Schlegel, N",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,On ISSM and leveraging the Cloud towards faster quantification of the uncertainty in ice-sheet mass balance projections,2016
"Zou, T|Mahadevan, S",STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,,A direct decoupling approach for efficient reliability-based design optimization,2006
"Bradley, AV|Thornes, JE|Chapman, L|Unwin, D|Roy, M",CLIMATE RESEARCH,,Modelling spatial and temporal road thermal climatology in rural and urban areas using a GIS,2002
"Abbasi, M|Abduli, MA|Omidvar, B|Baghvand, A",ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY," (c) 2013 American Institute of Chemical Engineers Environ Prog, 33: 220-228, 2014",Results Uncertainty of Support Vector Machine and Hybrid of Wavelet Transform-Support Vector Machine Models for Solid Waste Generation Forecasting,2014
"Kurtulus, B|Flipo, N",COMPUTERS & GEOSCIENCES, Elsevier Ltd. All rights reserved.,Hydraulic head interpolation using ANFIS-model selection and sensitivity analysis,2012
"Schenker, U|Scheringer, M|Sohn, MD|Maddalena, RL|McKone, TE|Hungerbuhler, K",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,Using Information on Uncertainty to Improve Environmental Fate Modeling: A Case Study on DDT,2009
"Rajabi, MM|Ataie-Ashtiani, B|Janssen, H",ADVANCES IN WATER RESOURCES, Elsevier Ltd. All rights reserved.,Efficiency enhancement of optimized Latin hypercube sampling strategies: Application to Monte Carlo uncertainty analysis and meta-modeling,2015
"Ballesteros-Canovas, JA|Marquez-Penaranda, JF|Sanchez-Silva, M|Diez-Herrero, A|Ruiz-Villanueva, V|Bodoque, JM|Eguibar, MA|Stoffel, M",JOURNAL OF HYDROLOGY, (C) 2014 Elsevier B.V. All rights reserved.,Can tree tilting be used for paleoflood discharge estimations?,2015
"Chang, CT|Cheng, MC|Ouyang, LY",APPLIED MATHEMATICAL MODELLING, (C) 2014 Elsevier Inc. All rights reserved.,Optimal pricing and ordering policies for non-instantaneously deteriorating items under order-size-dependent delay in payments,2015
