AU,year,title,journal,citations,Avg. Citations,DOI link
"Brouwer, R|De Blois, C",2008,Integrated modelling of risk and uncertainty underlying the cost and effectiveness of water quality measures,ENVIRONMENTAL MODELLING & SOFTWARE,39,3.9,https://dx.doi.org/10.1016/j.envsoft.2007.10.006
"Joseph, JF|Guillaume, JHA",2013,Using a parallelized MCMC algorithm in R to identify appropriate likelihood functions for SWAT,ENVIRONMENTAL MODELLING & SOFTWARE,39,7.8,https://dx.doi.org/10.1016/j.envsoft.2013.03.012
"Anquetin, S|Braud, I|Vannier, O|Viallet, P|Boudevillain, B|Creutin, JD|Manus, C",2010,Sensitivity of the hydrological response to the variability of rainfall fields and soils for the Gard 2002 flash-flood event,JOURNAL OF HYDROLOGY,39,4.88,https://dx.doi.org/10.1016/j.jhydrol.2010.07.002
"Schwanitz, VJ",2013,Evaluating integrated assessment models of global climate change,ENVIRONMENTAL MODELLING & SOFTWARE,37,7.4,https://dx.doi.org/10.1016/j.envsoft.2013.09.005
"Ligmann-Zielinska, A|Jankowski, P",2014,Spatially-explicit integrated uncertainty and sensitivity analysis of criteria weights in multicriteria land suitability evaluation,ENVIRONMENTAL MODELLING & SOFTWARE,37,9.25,https://dx.doi.org/10.1016/j.envsoft.2014.03.007
"Ponthot, JP|Kleinermann, JP",2006,A cascade optimization methodology for automatic parameter identification and shape/process optimization in metal forming simulation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,37,3.08,https://dx.doi.org/10.1016/j.cma.2005.11.012
"Choi, JS|Yoo, J",2008,Structural optimization of ferromagnetic materials based on the magnetic reluctivity for magnetic field problems,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,37,3.7,https://dx.doi.org/10.1016/j.cma.2008.04.019
"Pappenberger, F|Iorgulescu, I|Beven, KJ",2006,Sensitivity analysis based on regional splits and regression trees (SARS-RT),ENVIRONMENTAL MODELLING & SOFTWARE,37,3.08,https://dx.doi.org/10.1016/j.envsoft.2005.04.010
"Jakeman, J|Eldred, M|Xiu, DB",2010,Numerical approach for quantification of epistemic uncertainty,JOURNAL OF COMPUTATIONAL PHYSICS,36,4.5,https://dx.doi.org/10.1016/j.jcp.2010.03.003
"Sun, ZG|Wang, QX|Matsushita, B|Fukushima, T|Ouyang, Z|Watanabe, M",2009,Development of a Simple Remote Sensing EvapoTranspiration model (Sim-ReSET): Algorithm and model test,JOURNAL OF HYDROLOGY,36,4.0,https://dx.doi.org/10.1016/j.jhydrol.2009.07.054
"Yegnan, A|Williamson, DG|Graettinger, AJ",2002,Uncertainty analysis in air dispersion modeling,ENVIRONMENTAL MODELLING & SOFTWARE,36,2.25,https://dx.doi.org/10.1016/S1364-8152(02)00026-9
"Lin, G|Tartakovsky, AM|Tartakovsky, DM",2010,Uncertainty quantification via random domain decomposition and probabilistic collocation on sparse grids,JOURNAL OF COMPUTATIONAL PHYSICS,35,4.38,https://dx.doi.org/10.1016/j.jcp.2010.05.036
"Eigel, M|Gittelson, CJ|Schwab, C|Zander, E",2014,Adaptive stochastic Galerkin FEM,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,35,8.75,https://dx.doi.org/10.1016/j.cma.2013.11.015
"Ganapathysubramanian, S|Zabaras, N",2004,Design across length scales: a reduced-order model of polycrystal plasticity for the control of micro structure-sensitive material properties,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,35,2.5,https://dx.doi.org/10.1016/j.cma.2004.04.004
"Stefanescu, R|Sandu, A|Navon, IM",2015,POD/DEIM reduced-order strategies for efficient four dimensional variational data assimilation,JOURNAL OF COMPUTATIONAL PHYSICS,34,11.33,https://dx.doi.org/10.1016/j.jcp.2015.04.030
"Murakami, S|Liu, Y|Mizuno, M",2000,Computational methods for creep fracture analysis by damage mechanics,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,34,1.89,https://dx.doi.org/10.1016/S0045-7825(99)00209-1
"Park, GJ",2011,Technical overview of the equivalent static loads method for non-linear static response structural optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,34,4.86,https://dx.doi.org/10.1007/s00158-010-0530-x
"D'Ambrosio, D|Iovine, G|Spataro, W|Miyarrioto, H",2007,A macroscopic collisional model for debris-flows simulation,ENVIRONMENTAL MODELLING & SOFTWARE,34,3.09,https://dx.doi.org/10.1016/j.envsoft.2006.09.009
"Cosenza, A|Mannina, G|Vanrolleghem, PA|Neumann, MB",2013,Global sensitivity analysis in wastewater applications: A comprehensive comparison of different methods,ENVIRONMENTAL MODELLING & SOFTWARE,34,6.8,https://dx.doi.org/10.1016/j.envsoft.2013.07.009
"Acharjee, S|Zabaras, N",2006,Uncertainty propagation in finite deformations - A spectral stochastic Lagrangian approach,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,34,2.83,https://dx.doi.org/10.1016/j.cma.2005.05.005
"Greene, MS|Liu, Y|Chen, W|Liu, WK",2011,Computational uncertainty analysis in multiresolution materials via stochastic constitutive theory,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,34,4.86,https://dx.doi.org/10.1016/j.cma.2010.08.013
"Hauet, A|Creutin, JD|Belleudy, P",2008,Sensitivity study of large-scale particle image velocimetry measurement of river discharge using numerical simulation,JOURNAL OF HYDROLOGY,34,3.4,https://dx.doi.org/10.1016/j.jhydrol.2007.10.062
"Freni, G|Mannina, G",2010,Uncertainty in water quality modelling The applicability of Variance Decomposition Approach,JOURNAL OF HYDROLOGY,33,4.12,https://dx.doi.org/10.1016/j.jhydrol.2010.09.006
"Ma, X|Zabaras, N",2011,A stochastic mixed finite element heterogeneous multiscale method for flow in porous media,JOURNAL OF COMPUTATIONAL PHYSICS,33,4.71,https://dx.doi.org/10.1016/j.jcp.2011.03.001
"Zhang, XP|Kang, Z",2014,Dynamic topology optimization of piezoelectric structures with active control for reducing transient response,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,33,8.25,https://dx.doi.org/10.1016/j.cma.2014.08.011
"Cai, SY|Zhang, WH|Zhu, JH|Gao, T",2014,Stress constrained shape and topology optimization with fixed mesh: A B-spline finite cell method combined with level set function,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,32,8.0,https://dx.doi.org/10.1016/j.cma.2014.06.007
"Arnst, M|Ghanem, R",2008,Probabilistic equivalence and stochastic model reduction in multiscale analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,32,3.2,https://dx.doi.org/10.1016/j.cma.2008.03.016
"Hadjidoukas, PE|Angelikopoulos, P|Papadimitriou, C|Koumoutsakos, P",2015,Pi 4U: A high performance computing framework for Bayesian uncertainty quantification of complex models,JOURNAL OF COMPUTATIONAL PHYSICS,31,10.33,https://dx.doi.org/10.1016/j.jcp.2014.12.006
"Xiao, H|Wu, JL|Wang, JX|Sun, R|Roy, CJ",2016,"Quantifying and reducing model-form uncertainties in Reynolds-averaged Navier-Stokes simulations: A data-driven, physics-informed Bayesian approach",JOURNAL OF COMPUTATIONAL PHYSICS,31,15.5,https://dx.doi.org/10.1016/j.jcp.2016.07.038
"Liao, JF|Tang, LN|Shao, GF|Su, XD|Chen, DK|Xu, T",2016,Incorporation of extended neighborhood mechanisms and its impact on urban land-use cellular automata simulations,ENVIRONMENTAL MODELLING & SOFTWARE,31,15.5,https://dx.doi.org/10.1016/j.envsoft.2015.10.014
"de Kort, IAT|Booij, MJ",2007,Decision making under uncertainty in a decision support system for the Red River,ENVIRONMENTAL MODELLING & SOFTWARE,31,2.82,https://dx.doi.org/10.1016/j.envsoft.2005.07.014
"Vandenberghe, V|Bauwens, W|Vanrollegem, PA",2007,Evaluation of uncertainty propagation into river water quality predictions to guide future monitoring campaigns,ENVIRONMENTAL MODELLING & SOFTWARE,31,2.82,https://dx.doi.org/10.1016/j.envsoft.2005.12.019
"Milano, M|Koumoutsakos, P",2002,A clustering genetic algorithm for cylinder drag optimization,JOURNAL OF COMPUTATIONAL PHYSICS,31,1.94,https://dx.doi.org/10.1006/jcph.2001.6882
"Lindgaard, E|Dahl, J",2013,On compliance and buckling objective functions in topology optimization of snap-through problems,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,31,6.2,https://dx.doi.org/10.1007/s00158-012-0832-2
"Bilionis, I|Zabaras, N",2012,Multi-output local Gaussian process regression: Applications to uncertainty quantification,JOURNAL OF COMPUTATIONAL PHYSICS,30,5.0,https://dx.doi.org/10.1016/j.jcp.2012.04.047
"Chaudhuri, A|Chakraborty, S",2004,Sensitivity evaluation in seismic reliability analysis of structures,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,30,2.14,https://dx.doi.org/10.1016/j.cma.2003.09.007
"Bhunya, PK|Berndtsson, R|Ojha, CSP|Mishra, SK",2007,"Suitability of Gamma, Chi-square, Weibull, and beta distributions as synthetic unit hydrographs",JOURNAL OF HYDROLOGY,30,2.73,https://dx.doi.org/10.1016/j.jhydrol.2006.09.022
"Yao, W|Chen, XQ|Ouyang, Q|van Tooren, M",2013,A reliability-based multidisciplinary design optimization procedure based on combined probability and evidence theory,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,30,6.0,https://dx.doi.org/10.1007/s00158-013-0901-1
"Sankaran, S|Audet, C|Marsden, AL",2010,A method for stochastic constrained optimization using derivative-free surrogate pattern search and collocation,JOURNAL OF COMPUTATIONAL PHYSICS,29,3.62,https://dx.doi.org/10.1016/j.jcp.2010.03.005
"Massmann, C|Holzmann, H",2012,Analysis of the behavior of a rainfall-runoff model using three global sensitivity analysis methods evaluated at different temporal scales,JOURNAL OF HYDROLOGY,29,4.83,https://dx.doi.org/10.1016/j.jhydrol.2012.09.026
"Fiener, P|Auerswald, K",2005,Measurement and modeling of concentrated runoff in grassed waterways,JOURNAL OF HYDROLOGY,29,2.23,https://dx.doi.org/10.1016/j.jhydrol.2004.06.030
"Alcamo, J|Schaldach, R|Koch, J|Kolking, C|Lapola, D|Priess, J",2011,Evaluation of an integrated land use change model including a scenario analysis of land use change for continental Africa,ENVIRONMENTAL MODELLING & SOFTWARE,29,4.14,https://dx.doi.org/10.1016/j.envsoft.2011.03.002
"Kara, EL|Hanson, P|Hamilton, D|Hipsey, MR|McMahon, KD|Read, JS|Winslow, L|Dedrick, J|Rose, K|Carey, CC|Bertilsson, S|Marques, DD|Beversdorf, L|Miller, T|Wu, C|Hsieh, YF|Gaiser, E|Kratz, T",2012,"Time-scale dependence in numerical simulations: Assessment of physical, chemical, and biological predictions in a stratified lake at temporal scales of hours to months",ENVIRONMENTAL MODELLING & SOFTWARE,29,4.83,https://dx.doi.org/10.1016/j.envsoft.2012.02.014
"Marburg, S",2002,Efficient optimization of a noise transfer function by modification of a shell structure geometry - Part I: Theory,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,28,1.75,https://dx.doi.org/10.1007/s00158-002-0213-3
"Impollonia, N|Sofi, A",2003,A response surface approach for the static analysis of stochastic structures with geometrical nonlinearities,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,28,1.87,https://dx.doi.org/10.1016/S0045-7825(03)00379-7
"Gao, L|Bryan, BA|Nolan, M|Connor, JD|Song, XD|Zhao, G",2016,Robust global sensitivity analysis under deep uncertainty via scenario analysis,ENVIRONMENTAL MODELLING & SOFTWARE,28,14.0,https://dx.doi.org/10.1016/j.envsoft.2015.11.001
"Clement, A|Soize, C|Yvonnet, J",2013,Uncertainty quantification in computational stochastic multiscale analysis of nonlinear elastic materials,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,28,5.6,https://dx.doi.org/10.1016/j.cma.2012.10.016
"Leon, LF|Lam, DCL|Schertzer, WM|Swayne, DA|Imberger, J",2007,Towards coupling a 3D hydrodynamic lake model with the Canadian Regional Climate Model: Simulation on Great Slave Lake,ENVIRONMENTAL MODELLING & SOFTWARE,28,2.55,https://dx.doi.org/10.1016/j.envsoft.2006.03.005
"Youn, BD|Jung, BC|Xi, ZM|Kim, SB|Lee, WR",2011,A hierarchical framework for statistical model calibration in engineering product development,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,28,4.0,https://dx.doi.org/10.1016/j.cma.2010.12.012
"Freni, G|Mannina, G|Viviani, G",2009,Assessment of data availability influence on integrated urban drainage modelling uncertainty,ENVIRONMENTAL MODELLING & SOFTWARE,28,3.11,https://dx.doi.org/10.1016/j.envsoft.2009.03.007
"Laloy, E|Fasbender, D|Bielders, CL",2010,Parameter optimization and uncertainty analysis for plot-scale continuous modeling of runoff using a formal Bayesian approach,JOURNAL OF HYDROLOGY,28,3.5,https://dx.doi.org/10.1016/j.jhydrol.2009.10.025
"Hughes, DA|Kapangaziwiri, E|Sawunyama, T",2010,Hydrological model uncertainty assessment in southern Africa,JOURNAL OF HYDROLOGY,28,3.5,https://dx.doi.org/10.1016/j.jhydrol.2010.04.010
"Brown, HE|Huth, NI|Holzworth, DP|Teixeira, EI|Zyskowski, RF|Hargreaves, JNG|Moot, DJ",2014,Plant Modelling Framework: Software for building and running crop models on the APSIM platform,ENVIRONMENTAL MODELLING & SOFTWARE,28,7.0,https://dx.doi.org/10.1016/j.envsoft.2014.09.005
"Ammar, A|Huerta, A|Chinesta, F|Cueto, E|Leygue, A",2014,Parametric solutions involving geometry: A step towards efficient shape optimization,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,27,6.75,https://dx.doi.org/10.1016/j.cma.2013.09.003
"Sun, SA|Fu, GT|Djordjevic, S|Khu, ST",2012,Separating aleatory and epistemic uncertainties: Probabilistic sewer flooding evaluation using probability box,JOURNAL OF HYDROLOGY,27,4.5,https://dx.doi.org/10.1016/j.jhydrol.2011.12.027
"Smith, T|Marshall, L|Sharma, A",2015,Modeling residual hydrologic errors with Bayesian inference,JOURNAL OF HYDROLOGY,27,9.0,https://dx.doi.org/10.1016/j.jhydrol.2015.05.051
"Feijoo, RA|Padra, C|Saliba, R|Taroco, E|Venere, MJ",2000,Shape sensitivity analysis for energy release rate evaluation and its application to the study of three-dimensional cracked bodies,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,27,1.5,https://dx.doi.org/10.1016/S0045-7825(99)00353-9
"Zhang, J|Zhang, WH|Zhu, JH|Xia, L",2012,Integrated layout design of multi-component systems using XFEM and analytical sensitivity analysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,27,4.5,https://dx.doi.org/10.1016/j.cma.2012.06.022
"Richards, R|Sano, M|Roiko, A|Carter, RW|Bussey, M|Matthews, J|Smith, TF",2013,Bayesian belief modeling of climate change impacts for informing regional adaptation options,ENVIRONMENTAL MODELLING & SOFTWARE,27,5.4,https://dx.doi.org/10.1016/j.envsoft.2012.07.008
"Zhang, SL|Zhu, P|Chen, W|Arendt, P",2013,Concurrent treatment of parametric uncertainty and metamodeling uncertainty in robust design,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,5.2,https://dx.doi.org/10.1007/s00158-012-0805-5
"Makhija, D|Maute, K",2014,Numerical instabilities in level set topology optimization with the extended finite element method,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,6.5,https://dx.doi.org/10.1007/s00158-013-0982-x
"Rahman, S|Wei, D",2008,Design sensitivity and reliability-based structural optimization by univariate decomposition,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,26,2.6,https://dx.doi.org/10.1007/s00158-007-0133-3
"Ahmadi, M|Arabi, M|Ascough, JC|Fontane, DG|Engel, BA",2014,Toward improved calibration of watershed models: Multisite multiobjective measures of information,ENVIRONMENTAL MODELLING & SOFTWARE,26,6.5,https://dx.doi.org/10.1016/j.envsoft.2014.05.012
"Xie, H|Lian, YQ",2013,Uncertainty-based evaluation and comparison of SWAT and HSPF applications to the Illinois River Basin,JOURNAL OF HYDROLOGY,25,5.0,https://dx.doi.org/10.1016/j.jhydrol.2012.12.027
"Liu, P|Luo, YJ|Kang, Z",2016,Multi-material topology optimization considering interface behavior via XFEM and level set method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,25,12.5,https://dx.doi.org/10.1016/j.cma.2016.05.016
"Kirsch, U|Papalambros, PY",2001,Accurate displacement derivatives for structural optimization using approximate reanalysis,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,1.41,https://dx.doi.org/10.1016/S0045-7825(00)00306-6
"Long, Q|Scavino, M|Tempone, R|Wang, SJ",2013,Fast estimation of expected information gains for Bayesian experimental designs based on Laplace approximations,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,24,4.8,https://dx.doi.org/10.1016/j.cma.2013.02.017
"Volpi, S|Diez, M|Gaul, NJ|Song, H|Iemma, U|Choi, KK|Campana, EF|Stern, F",2015,Development and validation of a dynamic metamodel based on stochastic radial basis functions and uncertainty quantification,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,23,7.67,https://dx.doi.org/10.1007/s00158-014-1128-5
"Yoon, GH",2012,Topological layout design of electro-fluid-thermal-compliant actuator,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,23,3.83,https://dx.doi.org/10.1016/j.cma.2011.11.005
"Lucor, D|Enaux, C|Jourdren, H|Sagaut, P",2007,Stochastic design optimization: Application to reacting flows,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,23,2.09,https://dx.doi.org/10.1016/j.cma.2007.07.003
"Simon, F|Guillen, P|Sagaut, P|Lucor, D",2010,A gPC-based approach to uncertain transonic aerodynamics,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,23,2.88,https://dx.doi.org/10.1016/j.cma.2009.11.021
"Li, L|Xu, CY|Xia, J|Engeland, K|Reggiani, P",2011,Uncertainty estimates by Bayesian method with likelihood of AR (1) plus Normal model and AR (1) plus Multi-Normal model in different time-scales hydrological models,JOURNAL OF HYDROLOGY,23,3.29,https://dx.doi.org/10.1016/j.jhydrol.2011.05.052
"Hulme, KF|Bloebaum, CL",2000,A simulation-based comparison of multidisciplinary design optimization solution strategies using CASCADE,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,22,1.22,https://dx.doi.org/10.1007/s001580050083
"Faramarzi, M|Srinivasan, R|Iravani, M|Bladon, KD|Abbaspour, KC|Zehnder, AJB|Goss, GG",2015,Setting up a hydrological model of Alberta: Data discrimination analyses prior to calibration,ENVIRONMENTAL MODELLING & SOFTWARE,22,7.33,https://dx.doi.org/10.1016/j.envsoft.2015.09.006
"Boyaval, S",2012,A fast Monte-Carlo method with a reduced basis of control variates applied to uncertainty propagation and Bayesian estimation,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,22,3.67,https://dx.doi.org/10.1016/j.cma.2012.05.003
"Gibbs, MS|Maier, HR|Dandy, GC",2012,A generic framework for regression regionalization in ungauged catchments,ENVIRONMENTAL MODELLING & SOFTWARE,22,3.67,https://dx.doi.org/10.1016/j.envsoft.2011.10.006
"Cai, SY|Zhang, WH",2015,Stress constrained topology optimization with free-form design domains,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,21,7.0,https://dx.doi.org/10.1016/j.cma.2015.02.012
"Asokan, BV|Zabaras, N",2005,Using stochastic analysis to capture unstable equilibrium in natural convection,JOURNAL OF COMPUTATIONAL PHYSICS,21,1.62,https://dx.doi.org/10.1016/j.jcp.2005.02.007
"Wang, MY|Li, L",2013,Shape equilibrium constraint: a strategy for stress-constrained structural topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,21,4.2,https://dx.doi.org/10.1007/s00158-012-0846-9
"Noori, R|Yeh, HD|Abbasi, M|Kachoosangi, FT|Moazami, S",2015,Uncertainty analysis of support vector machine for online prediction of five-day biochemical oxygen demand,JOURNAL OF HYDROLOGY,21,7.0,https://dx.doi.org/10.1016/j.jhydrol.2015.05.046
"Rosic, BV|Litvinenko, A|Pajonk, O|Matthies, HG",2012,Sampling-free linear Bayesian update of polynomial chaos representations,JOURNAL OF COMPUTATIONAL PHYSICS,21,3.5,https://dx.doi.org/10.1016/j.jcp.2012.04.044
"Khadam, IM|Kaluarachchi, JJ",2006,Water quality modeling under hydrologic variability and parameter uncertainty using erosion-scaled export coefficients,JOURNAL OF HYDROLOGY,21,1.75,https://dx.doi.org/10.1016/j.jhydrol.2006.03.033
"Agarwal, N|Aluru, NR",2008,Stochastic modeling of coupled electromechanical interaction for uncertainty quantification in electrostatically actuated MEMS,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,21,2.1,https://dx.doi.org/10.1016/j.cma.2008.01.005
"Barbato, M|Conte, JP",2005,Finite element response sensitivity analysis: a comparison between force-based and displacement-based frame element models,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,21,1.62,https://dx.doi.org/10.1016/j.cma.2004.04.011
"Barcelos, M|Maute, K",2008,Aeroelastic design optimization for laminar and turbulent flows,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,21,2.1,https://dx.doi.org/10.1016/j.cma.2007.03.009
"Farrell, K|Oden, JT|Faghihi, D",2015,"A Bayesian framework for adaptive selection, calibration, and validation of coarse-grained models of atomistic systems",JOURNAL OF COMPUTATIONAL PHYSICS,21,7.0,https://dx.doi.org/10.1016/j.jcp.2015.03.071
"Tripp, DR|Niernann, JD",2008,Evaluating the parameter identifiability and structural validity of a probability-distributed model for soil moisture,JOURNAL OF HYDROLOGY,20,2.0,https://dx.doi.org/10.1016/j.jhydrol.2008.01.028
"Xu, YP|Booij, MJ|Mynett, AE",2007,An appropriateness framework for the Dutch Meuse decision support system,ENVIRONMENTAL MODELLING & SOFTWARE,20,1.82,https://dx.doi.org/10.1016/j.envsoft.2007.01.002
"Elshall, AS|Tsai, FTC",2014,Constructive epistemic modeling of groundwater flow with geological structure and boundary condition uncertainty under the Bayesian paradigm,JOURNAL OF HYDROLOGY,20,5.0,https://dx.doi.org/10.1016/j.jhydrol.2014.05.027
"Tsoukalas, I|Makropoulos, C",2015,Multiobjective optimisation on a budget: Exploring surrogate modelling for robust multi-reservoir rules generation under hydrological uncertainty,ENVIRONMENTAL MODELLING & SOFTWARE,20,6.67,https://dx.doi.org/10.1016/j.envsoft.2014.09.023
"Petrucci, G|Bonhomme, C",2014,"The dilemma of spatial representation for urban hydrology semi-distributed modelling: Trade-offs among complexity, calibration and geographical data",JOURNAL OF HYDROLOGY,20,5.0,https://dx.doi.org/10.1016/j.jhydrol.2014.06.019
"Wu, D|Gao, W",2017,Hybrid uncertain static analysis with random and interval fields,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,20,20.0,https://dx.doi.org/10.1016/j.cma.2016.10.047
"Taheri, AH|Hassani, B",2014,Simultaneous isogeometrical shape and material design of functionally graded structures for optimal eigenfrequencies,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,20,5.0,https://dx.doi.org/10.1016/j.cma.2014.04.014
"Del Giudice, D|Reichert, P|Bares, V|Albert, C|Rieckermann, J",2015,Model bias and complexity - Understanding the effects of structural deficits and input errors on runoff predictions,ENVIRONMENTAL MODELLING & SOFTWARE,20,6.67,https://dx.doi.org/10.1016/j.envsoft.2014.11.006
"James, KA|Waisman, H",2014,Failure mitigation in optimal topology design using a coupled nonlinear continuum damage model,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,20,5.0,https://dx.doi.org/10.1016/j.cma.2013.10.022
"Smith, TJ|Marshall, LA",2010,Exploring uncertainty and model predictive performance concepts via a modular snowmelt-runoff modeling framework,ENVIRONMENTAL MODELLING & SOFTWARE,20,2.5,https://dx.doi.org/10.1016/j.envsoft.2009.11.010
"Gain, AL|Paulino, GH",2013,A critical comparative assessment of differential equation-driven methods for structural topology optimization,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,20,4.0,https://dx.doi.org/10.1007/s00158-013-0935-4
"Lu, D|Ye, M|Hill, MC|Poeter, EP|Curtis, GP",2014,A computer program for uncertainty analysis integrating regression and Bayesian methods,ENVIRONMENTAL MODELLING & SOFTWARE,19,4.75,https://dx.doi.org/10.1016/j.envsoft.2014.06.002
"Park, C|Haftka, RT|Kim, NH",2017,Remarks on multi-fidelity surrogates,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,19,19.0,https://dx.doi.org/10.1007/s00158-016-1550-y
"Flores-Alsina, X|Corominas, L|Neumann, MB|Vanrolleghem, PA",2012,Assessing the use of activated sludge process design guidelines in wastewater treatment plant projects: A methodology based on global sensitivity analysis,ENVIRONMENTAL MODELLING & SOFTWARE,19,3.17,https://dx.doi.org/10.1016/j.envsoft.2012.04.005
"Srivastava, PK|Han, DW|Rico-Ramirez, MA|O'Neill, P|Islam, T|Gupta, M",2014,Assessment of SMOS soil moisture retrieval parameters using tau-omega algorithms for soil moisture deficit estimation,JOURNAL OF HYDROLOGY,19,4.75,https://dx.doi.org/10.1016/j.jhydrol.2014.07.056
"Najafi, AR|Safdari, M|Tortorelli, DA|Geubelle, PH",2015,A gradient-based shape optimization scheme using an interface-enriched generalized FEM,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,19,6.33,https://dx.doi.org/10.1016/j.cma.2015.07.024
"James, KA|Waisman, H",2015,Topology optimization of viscoelastic structures using a time-dependent adjoint method,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,19,6.33,https://dx.doi.org/10.1016/j.cma.2014.11.012
"Zhang, XD|Huang, HZ|Xu, HW",2010,Multidisciplinary design optimization with discrete and continuous variables of various uncertainties,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,18,2.25,https://dx.doi.org/10.1007/s00158-010-0513-y
"Acharjee, S|Zabaras, N",2006,The continuum sensitivity method for the computational design of three-dimensional deformation processes,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,18,1.5,https://dx.doi.org/10.1016/j.cma.2004.05.033
"Landuyt, D|Van der Biest, K|Broekx, S|Staes, J|Meire, P|Goethals, PLM",2015,A GIS plug-in for Bayesian belief networks: Towards a transparent software framework to assess and visualise uncertainties in ecosystem service mapping,ENVIRONMENTAL MODELLING & SOFTWARE,18,6.0,https://dx.doi.org/10.1016/j.envsoft.2015.05.002
"Jurado, JA|Hernandez, S",2004,Sensitivity analysis of bridge flutter with respect to mechanical parameters of the deck,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,18,1.29,https://dx.doi.org/10.1007/s00158-003-0374-8
"Zeng, XK|Ye, M|Burkardt, J|Wu, JC|Wang, D|Zhu, XB",2016,Evaluating two sparse grid surrogates and two adaptation criteria for groundwater Bayesian uncertainty quantification,JOURNAL OF HYDROLOGY,17,8.5,https://dx.doi.org/10.1016/j.jhydrol.2016.01.058
"Ahmadisharaf, E|Kalyanapu, AJ|Chung, ES",2016,Spatial probabilistic multi-criteria decision making for assessment of flood management alternatives,JOURNAL OF HYDROLOGY,17,8.5,https://dx.doi.org/10.1016/j.jhydrol.2015.12.031
"Hu, JW|Jin, S",2016,A stochastic Galerkin method for the Boltzmann equation with uncertainty,JOURNAL OF COMPUTATIONAL PHYSICS,17,8.5,https://dx.doi.org/10.1016/j.jcp.2016.03.047
"Sami, M|Shiekhdavoodi, MJ|Pazhohanniya, M|Pazhohanniya, F",2014,"Environmental comprehensive assessment of agricultural systems at the, farm level using fuzzy logic: A case study in cane farms in Iran",ENVIRONMENTAL MODELLING & SOFTWARE,17,4.25,https://dx.doi.org/10.1016/j.envsoft.2014.02.014
"Hadigol, M|Doostan, A|Matthies, HG|Niekamp, R",2014,Partitioned treatment of uncertainty in coupled domain problems: A separated representation approach,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,17,4.25,https://dx.doi.org/10.1016/j.cma.2014.02.004
