AU,year,title,journal,citations,Avg. Citations,abstract,DOI,DOI link
"Dostert, P | Efendiev, Y | Hou, TY",2008,Multiscale finite element methods for stochastic porous media flow equations and application to uncertainty quantification,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,33,3.3,"In this paper. we study multiscale finite element methods for stochastic porous media flow equations as well as applications to uncertainty quantification. We assume that the permeability field (the diffusion coefficient) is stochastic and can be described in a finite dimensional stochastic space. This is common in applications where the coefficients are expanded using chaos approximations. The proposed multiscale method constructs multiscale basis functions corresponding to sparse realizations, and these basis functions are used to approximate the solution on the coarse-grid for any realization. Furthermore, we apply our coarse-scale model to uncertainty quantification problem where the goal is to sample the porous media properties given an integrated response such as production data. Our algorithm employs pre-computed posterior response surface obtained via the proposed coarse-scale model. Using fast analytical computations of the gradients of this posterior, we propose approximate Langevin samples. These samples are further screened through the coarse-scale simulation and, finally, used as a proposal in Metropolis-Hasting Markov chain Monte Carlo method. Numerical results are presented which demonstrate the efficiency of the proposed approach.",10.1016/j.cma.2008.02.030,https://dx.doi.org/10.1016/j.cma.2008.02.030
"Xiang, YJ | Arora, JS | Abdel-Malek, K",2009,Optimization-based motion prediction of mechanical systems: sensitivity analysis,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,33,3.67,"In this study, we derive sensitivity equations for the problem of optimization-based motion prediction of a mechanical system using the inverse recursive Lagrangian formulation. The simulation and sensitivity formulations are based on Denavit-Hartenberg transformation matrices. External forces and moments are taken into account in the formulation. The sensitivity information is needed in the optimization-based simulation process. The proposed formulation is demonstrated by calculating sensitivities for the optimal time trajectory planning problem of a two-link manipulator. In addition, sensitivities obtained using the proposed algorithm are compared to those obtained using the closed-form equations of motion. The two sensitivities match quite closely. The lifting motion of the two-link manipulator with external loads is also optimized by using the algorithm developed in this paper. More complex applications of the proposed formulation to digital human motion prediction are presented elsewhere.",10.1007/s00158-008-0247-2,https://dx.doi.org/10.1007/s00158-008-0247-2
"Zhang, XJ | Xu, YP | Fu, GT",2014,Uncertainties in SWAT extreme flow simulation under climate change,Applications_JOURNAL OF HYDROLOGY,33,8.25,"Uncertainty in climate change impact analysis has been widely recognized. Analyzing it becomes an important task particularly when impact analysis results are used for adaptation purposes. A methodology aiming to investigate the impact of climate change and the separate and combined impacts of several uncertainty sources on future extreme flows in the Lanjiang catchment, East China is proposed. A regional climate model PRECIS (Providing REgional Climates for Impacts Studies) is applied to downscale the General Circulation Model (GCM) outputs and the extreme flows are simulated by the SWAT (Soil and Water Assessment Tool) model. Besides emission scenarios and extreme value models, the main uncertainty source, namely SWAT parameters is taken into account and the sequential uncertainty analysis method is employed to analyze the parameter uncertainties. The SWAT model calibration and validation results indicate that the model has a good performance in Lanjiang catchment. The projected future extreme flows show that the design discharges of small return periods are likely larger than those in the baseline period, while those of large return periods will be likely smaller than those in the baseline period at Misai, Quzhou and Lanxi stations. The uncertainty analysis results show that for small return periods such as  years, the uncertainty introduced from the SWAT model parameters is much larger than those from emission scenarios and extreme value models at Misai and Quzhou stations while for large return periods such as  years, the uncertainty introduced from all three sources are substantial. However, the already large uncertainty due to SWAT model parameters, emissions scenarios and extreme flow distributions might be dwarfed by GCM uncertainty, which is not concerned in this study.",10.1016/j.jhydrol.2014.04.064,https://dx.doi.org/10.1016/j.jhydrol.2014.04.064
"Kirsch, U",2010,Reanalysis and sensitivity reanalysis by combined approximations,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,33,4.12,"One of the main obstacles in the solution of structural optimization problems is the need to repeat solutions of the analysis and sensitivity analysis equations. In large-scale structures, having complex analysis models, the computational effort may become prohibitive. To alleviate this difficulty a general approach for repeated analysis and repeated sensitivity analysis, called combined approximations, was developed during the last  years. The solution is based on the integration of several algorithms and methods. As a result, accurate results can be achieved efficiently. In previous studies, solution procedures for various particular problems were developed. This article summarizes the various formulations and solution procedures for reanalysis and sensitivity reanalysis of linear, nonlinear, static and dynamic systems. It is shown that the various solution procedures are based on applications of similar basic algorithms. Numerical examples demonstrate the efficiency of the calculations and the accuracy of the results.",10.1007/s00158-009-0369-1,https://dx.doi.org/10.1007/s00158-009-0369-1
"Bonte, MHA | van den Boogaard, AH | Huetink, J",2008,An optimisation strategy for industrial metal forming processes,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,33,3.3,"Product improvement and cost reduction have always been important goals in the metal forming industry. The rise of finite element (FEM) simulations for processes has contributed to these goals in a major way. More recently, coupling FEM simulations to mathematical optimisation techniques has shown the potential to make a further giant contribution to product improvement and cost reduction. Much research on the optimisation of metal forming processes has been published during the last couple of years. Although the results are impressive, the optimisation techniques are generally only applicable to specific optimisation problems for specific products and specific metal forming processes. As a consequence, applying optimisation techniques to other metal forming problems requires a lot of optimisation expertise, which forms a barrier for more general industrial application of these techniques. In this paper, we overcome this barrier by proposing a generally applicable optimisation strategy that makes use of FEM simulations of metal forming processes. It consists of a structured methodology for modelling optimisation problems related to metal forming. Subsequently, screening is applied to reduce the size of the optimisation problem by selecting only the most important design variables. Finally, the reduced optimisation problem is solved by an efficient optimisation algorithm. The strategy is generally applicable in a sense that it is not constrained to a certain type of metal forming problem, product or process. Also, any FEM code may be included in the strategy. Furthermore, the structured approach for modelling and solving optimisation problems should enable non-optimisation specialists to apply optimisation techniques to improve their products and processes. The optimisation strategy has been successfully applied to a hydroforming process, which demonstrates the potential of the optimisation of metal forming processes in general and more specific the proposed optimisation strategy.",10.1007/s00158-007-0206-3,https://dx.doi.org/10.1007/s00158-007-0206-3
"Schleupen, A | Maute, K | Ramm, E",2000,Adaptive FE-procedures in shape optimization,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,33,1.83,"In structural optimization the quality of the optimization result strongly depends on the reliability of the underlying structural analysis. This comprises the quality and range of the mechanical model, e.g. linear elastic or geometrically and materially nonlinear, as well as the accuracy of the numerical model, e.g, the discretization error of the FE-model. The latter aspect is addressed in the present contribution. In order to guarantee the quality of the numerical results the discretization error of the finite element solution is controlled and the finite element discretization is adaptively refined during the optimization process. Conventionally, so-called global error estimates are applied in structural optimization which estimate the error of the total strain energy. In the present paper local error estimates are introduced in shape optimisation which allow to control directly the discretization error of local optimization criteria. In general! the adaptive refinement of the finite element discretization by remeshing affects the convergence of the optimization process if a gradient-based optimization algorithm is applied. In order to reduce this effect the sensitivity of the discretization error must also be restricted. Suitable refinement indicators are developed for globally and locally adaptive procedures. Finally, the potential of two techniques, which may improve the numerical efficiency of adaptive FE-procedures within the optimization process, is studied. The proposed methods and procedures are verified by -D shape optimization examples.",10.1007/s001580050125,https://dx.doi.org/10.1007/s001580050125
"Kolakowski, P | Wiklo, M | Holnicki-Szulc, J",2008,The virtual distortion method - a versatile reanalysis tool for structures and systems,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,32,3.2,"For  years of development, the virtual distortion method (VDM) has proved to be a versatile reanalysis tool in various applications, including structures and truss-like systems. This article presents a summary of principal achievements, demonstrating the capabilities of the VDM both in statics and dynamics, in linear and nonlinear analysis. The major advantage of VDM is its exactness and no need for matrix inversion in the reanalysis algorithm. The influence matrix-numerical core of the VDM-contains the whole mechanical knowledge about a structure, by looking at all global responses due to local disturbances. The strength of the method is demonstrated for truss structures.",10.1007/s00158-007-0158-7,https://dx.doi.org/10.1007/s00158-007-0158-7
"Huang, XD | Zhou, SW | Sun, GY | Li, GY | Xie, YM",2015,Topology optimization for microstructures of viscoelastic composite materials,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,32,10.67,"The viscoelastic response of materials is often utilized for wide applications such as vibration reduction devices. This paper extends the bi-directional evolutionary structural optimization (BESO) method to the design of composite microstructure with optimal viscoelastic characteristics. Both storage and loss moduli of composite materials are calculated through the homogenization theory using complex variables. Then, the BESO method is established based on the sensitivity analysis. Through iteratively redistributing the base material phases within the unit cell, optimized microstructures of composites with the desirable viscoelastic properties will be achieved. Numerical examples demonstrate the effectiveness of the proposed optimization method for the design of viscoelastic composite materials. Various microstructures of optimized composites are presented and discussed. Meanwhile, the storage and loss moduli of the optimized viscoelastic composites are compared with available theoretical bounds.",10.1016/j.cma.2014.10.007,https://dx.doi.org/10.1016/j.cma.2014.10.007
"Lund, E | Moller, H | Jakobsen, LA",2003,Shape design optimization of stationary fluid-structure interaction problems with large displacements and turbulence,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,32,2.13,"This paper presents general and efficient methods for analysis and gradient based shape optimization of systems characterized as strongly coupled stationary fluid-structure interaction (FSI) problems. The incompressible fluid flow can be laminar or turbulent and is described using the Reynolds-averaged Navier-Stokes equations (RANS) together with the algebraic Baldwin-Lomax turbulence model. The structure may exhibit large displacements due to the interaction with the fluid domain, resulting in geometrically nonlinear structural behaviour and nonlinear interface coupling conditions. The problem is discretized using Galerkin and Streamline-Upwind/Petrov-Galerkin finite element methods, and the resulting nonlinear equations are solved using Newton's method. Due to the large displacements of the structure, an efficient update algorithm for the fluid mesh must be applied, leading to the use of an approximate Jacobian matrix in the solution routine. Expressions for Design Sensitivity Analysis (DSA) are derived using the direct differentiation approach, and the use of an inexact Jacobian matrix in the analysis leads to an iterative but very efficient scheme for DSA. The potential of gradient based shape optimization of fluid flow and FSI problems is illustrated by several examples.",10.1007/s00158-003-0288-5,https://dx.doi.org/10.1007/s00158-003-0288-5
"Audouze, C | De Vuyst, F | Nair, PB",2009,Reduced-order modeling of parameterized PDEs using time-space-parameter principal component analysis,Applications_INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,32,3.56,"This paper presents a methodology for constructing low-order surrogate models of finite element/finite volume discrete solutions of parameterized steady-state partial differential equations. The construction of proper orthogonal decomposition modes in both physical space and parameter space allows us to represent high-dimensional discrete solutions using only a few coefficients. An incremental greedy approach is developed for efficiently tackling problems with high-dimensional parameter spaces. For numerical experiments and validation, several non-linear steady-state convection-diffusion-reaction problems are considered: first in one spatial dimension with two parameters, and then in two spatial dimensions with two and five parameters. In the two-dimensional spatial case with two parameters, it is shown that a  x  coefficient matrix is sufficient to accurately reproduce the expected solution, while in the five parameters problem, a  x  coefficient matrix is shown to reproduce the Solution with sufficient accuracy. The proposed methodology is expected to find applications to parameter variation Studies, uncertainty analysis, inverse problems and optimal design.",10.1002/nme.2540,https://dx.doi.org/10.1002/nme.2540
"Lin, JZ | Luo, Z | Tong, LY",2010,A new multi-objective programming scheme for topology optimization of compliant mechanisms,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,32,4.0,"This paper presents an alternative method in implementing multi-objective optimization of compliant mechanisms in the field of continuum-type topology optimization. The method is designated as ""SIMP-PP"" and it achieves multi-objective topology optimization by merging what is already a mature topology optimization method-solid isotropic material with penalization (SIMP) with a variation of the robust multi-objective optimization method-physical programming (PP). By taking advantages of both sides, the combination causes minimal variation in computation algorithm and numerical scheme, yet yields improvements in the multi-objective handling capability of topology optimization. The SIMP-PP multi-objective scheme is introduced into the systematic design of compliant mechanisms. The final optimization problem is formulated mathematically using the aggregate objective function which is derived from the original individual design objectives with PP, subjected to the specified constraints. A sequential convex programming method, the method of moving asymptotes (MMA) is then utilized to process the optimization evolvement based on the design sensitivity analysis. The main findings in this study include distinct advantages of the SIMP-PP method in various aspects such as computation efficiency, adaptability in convex and non-convex multi-criteria environment, and flexibility in problem formulation. Observations are made regarding its performance and the effect of multi-objective optimization on the final topologies. In general, the proposed SIMP-PP method is an appealing multi-objective topology optimization scheme suitable for ""real world"" problems, and it bridges the gap between standard topological design and multi-criteria optimization. The feasibility of the proposed topology optimization method is exhibited by benchmark examples.",10.1007/s00158-008-0355-z,https://dx.doi.org/10.1007/s00158-008-0355-z
"Amir, O | Sigmund, O",2013,Reinforcement layout design for concrete structures based on continuum damage and truss topology optimization,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,31,6.2,"This article presents a new procedure for the layout design of reinforcement in concrete structures. Concrete is represented by a gradient-enhanced continuum damage model with strain-softening and reinforcement is modeled as elastic bars that are embedded into the concrete domain. Adjoint sensitivity analysis is derived in complete consistency with respect to path-dependency and the nonlocal model. Classical truss topology optimization based on the ground structure approach is applied to determine the optimal topology and cross-sections of the reinforcement bars. This approach facilitates a fully digital work flow that can be highly effective, especially for the design of complex structures. Several test cases involving two- and three-dimensional concrete structures illustrate the capabilities of the proposed procedure.",10.1007/s00158-012-0817-1,https://dx.doi.org/10.1007/s00158-012-0817-1
"Han, JS | Kwak, BM",2004,Robust optimization using a gradient index: MEMS applications,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,31,2.21,"This paper discusses a simple and effective robust optimization formulation and illustrates its application to MicroElectroMechanical Systems (MEMS) devices. The proposed formulation improves robustness of the objective function by minimizing a gradient index (GI), defined as a function of gradients of performance functions with respect to uncertain variables. The level of constraint feasibility is also enhanced by adding a term determined by a constraint value and the gradient index. In the robust optimal design procedure, a deterministic optimization for performance improvement is followed by a sensitivity analysis with respect to uncertainties such as MEMS fabrication errors and changes of material properties. During the process of the deterministic optimization and sensitivity analysis, dominant performances and critical uncertain variables are identified to define the GI. Our approach for robust design requires no statistical information on the uncertainties and yet achieves robustness effectively. Two MEMS application examples including a micro accelerometer and a resonant-type micro probe are presented.",10.1007/s00158-004-0410-3,https://dx.doi.org/10.1007/s00158-004-0410-3
"Ganis, B | Klie, H | Wheeler, MF | Wildey, T | Yotov, I | Zhang, DX",2008,Stochastic collocation and mixed finite elements for flow in porous media,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,30,3.0,"The aim of this paper is to quantify uncertainty of flow in porous media through stochastic modeling and computation of statistical moments. The governing equations are based on Darcy's law with stochastic permeability. Starting from a specified covariance relationship, the log permeability is decomposed using a truncated Karhunen-Loeve expansion. Mixed finite element approximations are used in the spatial domain and collocation at the zeros of tensor product Hermite polynomials is used in the stochastic dimensions. Error analysis is performed and experimentally verified with numerical simulations. Computational results include incompressible and slightly compressible single and two-phase flow.",10.1016/j.cma.2008.03.025,https://dx.doi.org/10.1016/j.cma.2008.03.025
"Forsberg, J | Nilsson, L",2007,Topology optimization in crashworthiness design,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,30,2.73,"Topology optimization has developed rapidly, primarily with application on linear elastic structures subjected to static loadcases. In its basic form, an approximated optimization problem is formulated using analytical or semi-analytical methods to perform the sensitivity analysis. When an explicit finite element method is used to solve contact-impact problems, the sensitivities cannot easily be found. Hence, the engineer is forced to use numerical derivatives or other approaches. Since each finite element simulation of an impact problem may take days of computing time, the sensitivity-based methods are not a useful approach. Therefore, two alternative formulations for topology optimization are investigated in this work. The fundamental approach is to remove elements or, alternatively, change the element thicknesses based on the internal energy density distribution in the model. There is no automatic shift between the two methods within the existing algorithm. Within this formulation, it is possible to treat nonlinear effects, e.g., contact-impact and plasticity. Since no sensitivities are used, the updated design might be a step in the wrong direction for some finite elements. The load paths within the model will change if elements are removed or the element thicknesses are altered. Therefore, care should be taken with this procedure so that small steps are used, i.e., the change of the model should not be too large between two successive iterations and, therefore, the design parameters should not be altered too much. It is shown in this paper that the proposed method for topology optimization of a nonlinear problem gives similar result as a standard topology optimization procedures for the linear elastic case. Furthermore, the proposed procedures allow for topology optimization of nonlinear problems. The major restriction of the method is that responses in the optimization formulation must be coupled to the thickness updating procedure, e.g., constraint on a nodal displacement, acceleration level that is allowed.",10.1007/s00158-006-0040-z,https://dx.doi.org/10.1007/s00158-006-0040-z
"Vandenbohede, A | Hermans, T | Nguyen, F | Lebbe, L",2011,Shallow heat injection and storage experiment: Heat transport simulation and sensitivity analysis,Applications_JOURNAL OF HYDROLOGY,30,4.29,"Interest in heat transport in porous media has increased because of its many applications such use as tracer or in geotechnical engineering solutions. Understanding of the physical processes and parameters determining heat transport is therefore important. In this paper, heat transport is studied during a shallow heat injection and storage field test. The test is simulated using SEAWAT. Sensitivity analyses and collinear diagnostics are used to derive which parameters can be derived from the test and how reliable these values are. Heat transport during the test is compared with heat transport in the surficial zone at the same field site to compare parameter values. The most sensitive parameter is the thermal conductivity of the solid followed by the porosity, heat capacity of the solid and the longitudinal dispersivity. This indicates the predominance of conductive transport during the storage phase over the convective transport during the injection phase. Whereas heat transport in the surficial zone is insensitive to the longitudinal dispersivity, this parameter must be included to simulate the field test. This indicates that dispersivity cannot be ignored simulating convective heat transport in aquifers.",10.1016/j.jhydrol.2011.08.024,https://dx.doi.org/10.1016/j.jhydrol.2011.08.024
"Rais-Rohani, M | Singh, MN",2004,Comparison of global and local response surface techniques in reliability-based optimization of composite structures,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,29,2.07,"This paper discusses the development and application of two alternative strategies, in the form of global and sequential local response surface (RS) techniques, for the solution of reliability-based optimization (RBO) problems. The problem of a thin-walled composite circular cylinder under axial buckling instability is used as a demonstrative example. In this case, the global technique uses a single second-order RS model to estimate the axial buckling load over the entire feasible design space (FDS), whereas the local technique uses multiple first-order RS models, with each applied to a small subregion of the FDS. Alternative methods for the calculation of unknown coefficients in each RS model are explored prior to the solution of the optimization problem. The example RBO problem is formulated as a function of  uncorrelated random variables that include material properties, the thickness and orientation angle of each ply, the diameter and length of the cylinder, as well as the applied load. The mean values of the  ply thicknesses are treated as independent design variables. While the coefficients of variation of all random variables are held fixed, the standard deviations of the ply thicknesses can vary during the optimization process as a result of changes in the design variables. The structural reliability analysis is based on the first-order reliability method with the reliability index treated as the design constraint. In addition to the probabilistic sensitivity analysis of the reliability index, the results of the RBO problem are presented for different combinations of cylinder length and diameter and laminate ply patterns. The two strategies are found to produce similar results in terms of accuracy, with the sequential local RS technique having a considerably better computational efficiency.",10.1007/s00158-003-0353-0,https://dx.doi.org/10.1007/s00158-003-0353-0
"Bae, HR | Grandhi, RV | Canfield, RA",2006,Sensitivity analysis of structural response uncertainty propagation using evidence theory,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,29,2.42,"Sensitivity analysis for the quantified uncertainty in evidence theory is developed. In reliability quantification, classical probabilistic analysis has been a popular approach in many engineering disciplines. However, when we cannot obtain sufficient data to construct probability distributions in a large-complex system, the classical probability methodology may not be appropriate to quantify the uncertainty. Evidence theory, also called Dempster-Shafer Theory, has the potential to quantify aleatory (random) and epistemic (subjective) uncertainties because it can directly handle insufficient data and incomplete knowledge situations. In this paper, interval information is assumed for the best representation of imprecise information, and the sensitivity analysis of plausibility in evidence theory is analytically derived with respect to expert opinions and structural parameters. The results from the sensitivity analysis are expected to be very useful in finding the major contributors for quantified uncertainty and also in redesigning the structural system for risk minimization.",10.1007/s00158-006-0606-9,https://dx.doi.org/10.1007/s00158-006-0606-9
"Lee, I | Choi, KK | Gorsich, D",2010,System reliability-based design optimization using the MPP-based dimension reduction method,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,29,3.62,"The system probability of failure calculation of the series system entails multi-dimensional integration, which is very difficult and numerically expensive. To resolve the computational burden, the narrow bound method, which accounts for the component failures and joint failures between two failure modes, has been widely used. For the analytic calculation of the component probability of failure, this paper proposes to use the most probable point (MPP)-based dimension reduction method (DRM). For the joint probability of failure calculation, three cases are considered based on the convexity or concavity of the performance functions. Design sensitivity analysis for the system reliability-based design optimization (RBDO), which is the major contribution of this paper, is carried out as well. Based on the results of numerical examples, the system probability of failure and its sensitivity calculation show very good agreement with the results obtained by Monte Carlo simulation (MCS) and the finite difference method (FDM).",10.1007/s00158-009-0459-0,https://dx.doi.org/10.1007/s00158-009-0459-0
"Xiao, NC | Huang, HZ | Wang, ZL | Liu, Y | Zhang, XL",2012,Unified uncertainty analysis by the mean value first order saddlepoint approximation,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,29,4.83,"Uncertainties exist in products or systems widely. In general, uncertainties are classified as epistemic uncertainty or aleatory uncertainty. This paper proposes a unified uncertainty analysis (UUA) method based on the mean value first order saddlepoint approximation (MVFOSPA), denoted as MVFOSPA-UUA, to estimate the systems probabilities of failure considering both epistemic and aleatory uncertainties simultaneously. In this method, the input parameters with epistemic uncertainty are modeled using interval variables while input parameters with aleatory uncertainty are modeled using probability distribution or random variables. In order to calculate the lower and upper bounds of system probabilities of failure, both the best case and the worst case scenarios of the system performance function need to be considered, and the proposed MVFOSPA-UUA method can handle these two cases easily. The proposed method is demonstrated to be more efficient, robust and in some situations more accurate than the existing methods such as uncertainty analysis based on the first order reliability method. The proposed method is demonstrated using several examples.",10.1007/s00158-012-0794-4,https://dx.doi.org/10.1007/s00158-012-0794-4
"Kim, NH | Chang, YM",2005,Eulerian shape design sensitivity analysis and optimization with a fixed grid,Applications_COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,29,2.23,"Conventional shape optimization based on the finite element method uses Lagrangian representation in which the finite element mesh moves according to shape change, while modern topology optimization uses Eulerian representation. In this paper, an approach to shape optimization using Eulerian representation such that the mesh distortion problem in the conventional approach can be resolved is proposed. A continuum geometric model is defined on the fixed grid of finite elements. An active set of finite elements that defines the discrete domain is determined using a procedure similar to topology optimization, in which each element has a unique shape density. The shape design parameter that is defined on the geometric model is transformed into the corresponding shape density variation of the boundary elements. Using this transformation, it has been shown that the shape design problem can be treated as a parameter design problem, which is a much easier method than the former. A detailed derivation of how the shape design velocity field can be converted into the shape density variation is presented along with sensitivity calculation. Very efficient sensitivity coefficients are calculated by integrating only those elements that belong to the structural boundary. The accuracy of the sensitivity information is compared with that derived by the finite difference method with excellent agreement. Two design optimization problems are presented to show the feasibility of the proposed design approach.",10.1016/j.cma.2004.12.019,https://dx.doi.org/10.1016/j.cma.2004.12.019
"Massmann, C | Holzmann, H",2012,Analysis of the behavior of a rainfall-runoff model using three global sensitivity analysis methods evaluated at different temporal scales,Applications_JOURNAL OF HYDROLOGY,29,4.83,"The effect of  parameters on the discharge of a conceptual rainfall-runoff model was analyzed for a small Austrian catchment. The sensitivities were computed using three methods: Sobol's indices, the mutual entropy and regional sensitivity analysis (RSA). The calculations were carried out for different temporal scales of evaluation ranging from daily to a multiannual period. A comparison of the methods shows that the mutual entropy and the RSA methods give more robust results than Sobol's method, which shows a higher variability in the sensitivities when they are calculated using different data sets. While all sensitivity methods are suitable for identifying the most sensitive parameters of a model, there are increasing differences in the results when the parameters become less important and also when shorter temporal scales are considered. A correlation analysis further indicated that the periods in which the parameter sensitivity rankings did not agree between the different methods are characterized by a higher impact of the parameters interactions on the modeled discharge. An analysis of the parameter sensitivity across the scales showed that the number of important parameter decreases when longer evaluation periods are considered. For instance, it was observed that all parameters were important at least during  day a daily scale, while at a yearly scale only the parameters characterizing the soil storage and the recession constants for interflow and percolation had high sensitivities. With respect to the impact of the interactions between parameters on the model results, it was observed that the largest effect is related to the parameters describing the size of the soil storage, the interflow and the percolation flow recession constants. Further, it was observed that there is a positive correlation between the importance of the interactions and the measured discharge. While the study focuses on quantitative sensitivity measures, it is also highlighted that graphical RSA analyses provide additional information regarding the parameter ranges associated with different discharge levels. This information can be used for increasing the understanding of the mechanisms by which the parameters affect the model results.",10.1016/j.jhydrol.2012.09.026,https://dx.doi.org/10.1016/j.jhydrol.2012.09.026
"Cheng, M | Hou, TY | Zhang, Z",2013,A dynamically bi-orthogonal method for time-dependent stochastic partial differential equations I: Derivation and algorithms,Applications_JOURNAL OF COMPUTATIONAL PHYSICS,29,5.8,"We propose a dynamically bi-orthogonal method (DyBO) to solve time dependent stochastic partial differential equations (SPDEs). The objective of our method is to exploit some intrinsic sparse structure in the stochastic solution by constructing the sparsest representation of the stochastic solution via a bi-orthogonal basis. It is well-known that the Karhunen-Loeve expansion (KLE) minimizes the total mean squared error and gives the sparsest representation of stochastic solutions. However, the computation of the KL expansion could be quite expensive since we need to form a covariance matrix and solve a large-scale eigenvalue problem. The main contribution of this paper is that we derive an equivalent system that governs the evolution of the spatial and stochastic basis in the KL expansion. Unlike other reduced model methods, our method constructs the reduced basis on-the-fly without the need to form the covariance matrix or to compute its eigendecomposition. In the first part of our paper, we introduce the derivation of the dynamically bi-orthogonal formulation for SPDEs, discuss several theoretical issues, such as the dynamic bi-orthogonality preservation and some preliminary error analysis of the DyBO method. We also give some numerical implementation details of the DyBO methods, including the representation of stochastic basis and techniques to deal with eigenvalue crossing. In the second part of our paper [], we will present an adaptive strategy to dynamically remove or add modes, perform a detailed complexity analysis, and discuss various generalizations of this approach. An extensive range of numerical experiments will be provided in both parts to demonstrate the effectiveness of the DyBO method.",10.1016/j.jcp.2013.02.033,https://dx.doi.org/10.1016/j.jcp.2013.02.033
"Yang, XF | Liu, YS | Gao, Y | Zhang, YS | Gao, ZZ",2015,An active learning kriging model for hybrid reliability analysis with both random and interval variables,Applications_STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,28,9.33,"Hybrid reliability analysis (HRA) with both random and interval variables is investigated in this paper. Firstly, it is figured out that a surrogate model just rightly predicting the sign of performance function can meet the requirement of HRA in accuracy. According to this idea, a methodology based on active learning Kriging (ALK) model named ALK-HRA is proposed. When constructing the Kriging model, the presented method only finely approximates the performance function in the region of interest: the region where the sign tends to be wrongly predicted. Based on the constructed Kriging model, Monte Carlo Simulation (MCS) is carried out to estimate both the lower and upper bounds of failure probability. ALK-HRA is accurate enough with calling the performance function as few times as possible. Four numerical examples and one engineering application are investigated to demonstrate the performance of the proposed method.",10.1007/s00158-014-1189-5,https://dx.doi.org/10.1007/s00158-014-1189-5
"Hughes, DA | Kapangaziwiri, E | Sawunyama, T",2010,Hydrological model uncertainty assessment in southern Africa,Applications_JOURNAL OF HYDROLOGY,28,3.5,"The importance of hydrological uncertainty analysis has been emphasized in recent years and there is an urgent need to incorporate uncertainty estimation into water resources assessment procedures used in the southern Africa region. The region is characterized by a paucity of accurate data and limited human resources, but the need for informed development decisions is critical to social and economic development. One of the main sources of uncertainty is related to the estimation of the parameters of hydrological models. This paper proposes a framework for establishing parameter values, exploring parameter inter-dependencies and setting parameter uncertainty bounds for a monthly time-step rainfall-runoff model (Pitman model) that is widely used in the region. The method is based on well-documented principles of sensitivity and uncertainty analysis, but recognizes the limitations that exist within the region (data scarcity and accuracy, model user attitudes, etc.). Four example applications taken from different climate and physiographic regions of South Africa illustrate that the methods are appropriate for generating behavioural stream flow simulations which include parameter uncertainty. The parameters that dominate the model response and their degree of uncertainty vary between regions. Some of the results suggest that the uncertainty bounds will be too wide for effective water resources decision making. Further work is required to reduce some of the subjectivity in the methods and to investigate other approaches for constraining the uncertainty. The paper recognizes that probability estimates of uncertainty and methods to include input climate data uncertainties need to be incorporated into the framework in the future.",10.1016/j.jhydrol.2010.04.010,https://dx.doi.org/10.1016/j.jhydrol.2010.04.010
